;age;geo;sex;isced11;Frequent drinkers;Non-drinkers;Occasional drinkers
44;75 years or over;Croatia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);45.5;31.2;23.4
48;75 years or over;Cyprus;Females;Less than primary, primary and lower secondary education (levels 0-2);2.9;86.3;10.8
49;75 years or over;Cyprus;Females;Tertiary education (levels 5-8);0.0;0.0;0.0
50;75 years or over;Cyprus;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);9.5;72.5;18.1
54;75 years or over;Cyprus;Males;Less than primary, primary and lower secondary education (levels 0-2);26.8;47.3;26.0
55;75 years or over;Cyprus;Males;Tertiary education (levels 5-8);23.1;44.8;32.199999999999996
56;75 years or over;Cyprus;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);38.900000000000006;29.4;31.6
60;75 years or over;Czechia;Females;Less than primary, primary and lower secondary education (levels 0-2);13.799999999999999;47.8;38.4
61;75 years or over;Czechia;Females;Tertiary education (levels 5-8);21.3;25.2;53.5
62;75 years or over;Czechia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);14.3;39.5;46.3
66;75 years or over;Czechia;Males;Less than primary, primary and lower secondary education (levels 0-2);38.400000000000006;30.2;31.400000000000002
67;75 years or over;Czechia;Males;Tertiary education (levels 5-8);59.4;11.1;29.6
68;75 years or over;Czechia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);56.6;17.7;25.700000000000003
72;75 years or over;Denmark;Females;Less than primary, primary and lower secondary education (levels 0-2);43.5;18.4;38.1
73;75 years or over;Denmark;Females;Tertiary education (levels 5-8);56.3;11.4;32.4
74;75 years or over;Denmark;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);51.5;11.1;37.4
78;75 years or over;Denmark;Males;Less than primary, primary and lower secondary education (levels 0-2);59.9;11.6;28.5
79;75 years or over;Denmark;Males;Tertiary education (levels 5-8);82.4;6.4;11.3
80;75 years or over;Denmark;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);78.0;5.9;16.1
84;75 years or over;Estonia;Females;Less than primary, primary and lower secondary education (levels 0-2);1.6;69.8;28.6
85;75 years or over;Estonia;Females;Tertiary education (levels 5-8);1.8;44.3;54.0
86;75 years or over;Estonia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;49.6;50.4
90;75 years or over;Estonia;Males;Less than primary, primary and lower secondary education (levels 0-2);13.0;29.5;57.400000000000006
91;75 years or over;Estonia;Males;Tertiary education (levels 5-8);17.1;21.9;61.0
92;75 years or over;Estonia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);15.0;31.5;53.4
96;75 years or over;Finland;Females;Less than primary, primary and lower secondary education (levels 0-2);13.7;48.7;37.6
97;75 years or over;Finland;Females;Tertiary education (levels 5-8);21.4;33.7;44.9
98;75 years or over;Finland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);7.2;48.4;44.3
99;75 years or over;Finland;Males;Less than primary, primary and lower secondary education (levels 0-2);28.0;37.1;34.9
100;75 years or over;Finland;Males;Tertiary education (levels 5-8);47.9;22.1;30.0
101;75 years or over;Finland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);44.0;23.9;32.1
108;75 years or over;Germany;Females;Less than primary, primary and lower secondary education (levels 0-2);26.2;34.9;38.8
109;75 years or over;Germany;Females;Tertiary education (levels 5-8);48.6;19.7;31.7
110;75 years or over;Germany;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);33.5;26.2;40.3
114;75 years or over;Germany;Males;Less than primary, primary and lower secondary education (levels 0-2);58.699999999999996;14.7;26.599999999999998
115;75 years or over;Germany;Males;Tertiary education (levels 5-8);70.0;6.5;23.5
116;75 years or over;Germany;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);61.0;12.8;26.200000000000003
120;75 years or over;Greece;Females;Less than primary, primary and lower secondary education (levels 0-2);8.4;72.5;19.1
121;75 years or over;Greece;Females;Tertiary education (levels 5-8);24.5;32.0;43.5
122;75 years or over;Greece;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);7.8;64.8;27.4
126;75 years or over;Greece;Males;Less than primary, primary and lower secondary education (levels 0-2);38.0;37.2;24.7
127;75 years or over;Greece;Males;Tertiary education (levels 5-8);58.4;18.3;23.299999999999997
128;75 years or over;Greece;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);39.3;26.0;34.7
132;75 years or over;Hungary;Females;Less than primary, primary and lower secondary education (levels 0-2);13.3;62.4;24.299999999999997
133;75 years or over;Hungary;Females;Tertiary education (levels 5-8);26.400000000000002;35.0;38.6
134;75 years or over;Hungary;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);11.6;58.4;30.0
138;75 years or over;Hungary;Males;Less than primary, primary and lower secondary education (levels 0-2);46.3;34.4;19.4
139;75 years or over;Hungary;Males;Tertiary education (levels 5-8);45.8;15.4;38.8
140;75 years or over;Hungary;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);42.1;36.9;21.0
144;75 years or over;Iceland;Females;Less than primary, primary and lower secondary education (levels 0-2);2.7;57.0;40.3
145;75 years or over;Iceland;Females;Tertiary education (levels 5-8);0.0;0.0;0.0
146;75 years or over;Iceland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);11.4;47.8;40.8
150;75 years or over;Iceland;Males;Less than primary, primary and lower secondary education (levels 0-2);19.1;43.9;37.0
151;75 years or over;Iceland;Males;Tertiary education (levels 5-8);15.700000000000001;39.1;45.1
152;75 years or over;Iceland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);19.0;30.3;50.6
156;75 years or over;Ireland;Females;Less than primary, primary and lower secondary education (levels 0-2);14.5;64.2;21.299999999999997
157;75 years or over;Ireland;Females;Tertiary education (levels 5-8);37.0;31.9;31.1
158;75 years or over;Ireland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);27.2;41.5;31.200000000000003
162;75 years or over;Ireland;Males;Less than primary, primary and lower secondary education (levels 0-2);38.3;42.5;19.1
163;75 years or over;Ireland;Males;Tertiary education (levels 5-8);55.2;27.3;17.4
164;75 years or over;Ireland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);43.5;32.8;23.8
168;75 years or over;Latvia;Females;Less than primary, primary and lower secondary education (levels 0-2);1.3;69.8;28.9
169;75 years or over;Latvia;Females;Tertiary education (levels 5-8);2.4;48.0;49.599999999999994
170;75 years or over;Latvia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.3;64.2;34.6
174;75 years or over;Latvia;Males;Less than primary, primary and lower secondary education (levels 0-2);8.3;49.0;42.7
175;75 years or over;Latvia;Males;Tertiary education (levels 5-8);19.3;23.6;57.1
176;75 years or over;Latvia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);4.3;35.2;60.5
180;75 years or over;Lithuania;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;71.3;28.7
181;75 years or over;Lithuania;Females;Tertiary education (levels 5-8);2.2;56.5;41.3
182;75 years or over;Lithuania;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;69.5;30.5
186;75 years or over;Lithuania;Males;Less than primary, primary and lower secondary education (levels 0-2);10.0;39.5;50.4
187;75 years or over;Lithuania;Males;Tertiary education (levels 5-8);9.0;49.1;41.900000000000006
188;75 years or over;Lithuania;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);20.4;33.8;45.900000000000006
192;75 years or over;Luxembourg;Females;Less than primary, primary and lower secondary education (levels 0-2);28.4;43.7;27.9
193;75 years or over;Luxembourg;Females;Tertiary education (levels 5-8);0.0;0.0;0.0
194;75 years or over;Luxembourg;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);40.4;29.1;30.5
198;75 years or over;Luxembourg;Males;Less than primary, primary and lower secondary education (levels 0-2);52.4;24.4;23.1
199;75 years or over;Luxembourg;Males;Tertiary education (levels 5-8);85.6;10.8;3.6
200;75 years or over;Luxembourg;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);77.0;12.3;10.600000000000001
204;75 years or over;Malta;Females;Less than primary, primary and lower secondary education (levels 0-2);8.8;62.2;29.0
205;75 years or over;Malta;Females;Tertiary education (levels 5-8);0.0;0.0;0.0
206;75 years or over;Malta;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;0.0;0.0
210;75 years or over;Malta;Males;Less than primary, primary and lower secondary education (levels 0-2);29.5;33.0;37.6
211;75 years or over;Malta;Males;Tertiary education (levels 5-8);0.0;0.0;0.0
212;75 years or over;Malta;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;0.0;0.0
222;75 years or over;Norway;Females;Less than primary, primary and lower secondary education (levels 0-2);13.3;53.2;33.5
223;75 years or over;Norway;Females;Tertiary education (levels 5-8);40.2;34.9;24.9
224;75 years or over;Norway;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);23.4;43.5;33.1
228;75 years or over;Norway;Males;Less than primary, primary and lower secondary education (levels 0-2);24.5;39.0;36.5
229;75 years or over;Norway;Males;Tertiary education (levels 5-8);49.6;21.9;28.5
230;75 years or over;Norway;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);34.4;39.4;26.2
234;75 years or over;Poland;Females;Less than primary, primary and lower secondary education (levels 0-2);2.6;79.2;18.2
235;75 years or over;Poland;Females;Tertiary education (levels 5-8);8.0;53.1;39.0
236;75 years or over;Poland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.4;66.3;32.3
240;75 years or over;Poland;Males;Less than primary, primary and lower secondary education (levels 0-2);7.9;46.6;45.5
241;75 years or over;Poland;Males;Tertiary education (levels 5-8);26.8;33.7;39.6
242;75 years or over;Poland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);11.3;41.5;47.2
246;75 years or over;Portugal;Females;Less than primary, primary and lower secondary education (levels 0-2);24.7;61.8;13.5
247;75 years or over;Portugal;Females;Tertiary education (levels 5-8);28.9;52.1;19.0
248;75 years or over;Portugal;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);63.5;22.3;14.2
252;75 years or over;Portugal;Males;Less than primary, primary and lower secondary education (levels 0-2);65.7;26.0;8.4
253;75 years or over;Portugal;Males;Tertiary education (levels 5-8);78.39999999999999;13.3;8.4
254;75 years or over;Portugal;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);63.5;12.1;24.4
258;75 years or over;Romania;Females;Less than primary, primary and lower secondary education (levels 0-2);4.4;76.7;18.9
259;75 years or over;Romania;Females;Tertiary education (levels 5-8);0.0;78.3;21.8
260;75 years or over;Romania;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.4;79.1;20.5
264;75 years or over;Romania;Males;Less than primary, primary and lower secondary education (levels 0-2);21.5;45.3;33.1
265;75 years or over;Romania;Males;Tertiary education (levels 5-8);11.399999999999999;54.4;34.1
266;75 years or over;Romania;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);13.8;47.2;39.0
276;75 years or over;Slovakia;Females;Less than primary, primary and lower secondary education (levels 0-2);1.2;80.3;18.4
277;75 years or over;Slovakia;Females;Tertiary education (levels 5-8);0.0;0.0;0.0
278;75 years or over;Slovakia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);4.6;61.3;34.0
282;75 years or over;Slovakia;Males;Less than primary, primary and lower secondary education (levels 0-2);23.4;30.5;46.1
283;75 years or over;Slovakia;Males;Tertiary education (levels 5-8);23.799999999999997;33.4;42.7
284;75 years or over;Slovakia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);21.3;37.2;41.4
288;75 years or over;Slovenia;Females;Less than primary, primary and lower secondary education (levels 0-2);23.0;44.6;32.400000000000006
289;75 years or over;Slovenia;Females;Tertiary education (levels 5-8);17.4;30.9;51.6
290;75 years or over;Slovenia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);21.8;36.1;42.2
294;75 years or over;Slovenia;Males;Less than primary, primary and lower secondary education (levels 0-2);58.1;21.9;20.1
295;75 years or over;Slovenia;Males;Tertiary education (levels 5-8);44.3;39.7;16.0
296;75 years or over;Slovenia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);57.0;15.2;27.7
300;75 years or over;Spain;Females;Less than primary, primary and lower secondary education (levels 0-2);15.0;68.3;16.7
301;75 years or over;Spain;Females;Tertiary education (levels 5-8);37.4;31.5;31.099999999999998
302;75 years or over;Spain;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);26.400000000000002;47.0;26.5
306;75 years or over;Spain;Males;Less than primary, primary and lower secondary education (levels 0-2);48.6;36.4;15.0
307;75 years or over;Spain;Males;Tertiary education (levels 5-8);62.300000000000004;22.7;15.1
308;75 years or over;Spain;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);43.8;34.9;21.3
312;75 years or over;Sweden;Females;Less than primary, primary and lower secondary education (levels 0-2);22.3;39.5;38.3
313;75 years or over;Sweden;Females;Tertiary education (levels 5-8);43.5;22.1;34.4
314;75 years or over;Sweden;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);30.8;35.2;34.0
318;75 years or over;Sweden;Males;Less than primary, primary and lower secondary education (levels 0-2);40.8;26.8;32.4
319;75 years or over;Sweden;Males;Tertiary education (levels 5-8);62.9;7.1;30.0
320;75 years or over;Sweden;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);44.7;22.1;33.2
324;75 years or over;Türkiye;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;98.4;1.6
325;75 years or over;Türkiye;Females;Tertiary education (levels 5-8);0.0;0.0;0.0
326;75 years or over;Türkiye;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;0.0;0.0
330;75 years or over;Türkiye;Males;Less than primary, primary and lower secondary education (levels 0-2);0.7;96.1;3.2
331;75 years or over;Türkiye;Males;Tertiary education (levels 5-8);6.6;90.5;2.9
332;75 years or over;Türkiye;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);3.8;83.1;13.1
336;75 years or over;United Kingdom;Females;Less than primary, primary and lower secondary education (levels 0-2);26.8;41.3;31.9
337;75 years or over;United Kingdom;Females;Tertiary education (levels 5-8);52.900000000000006;19.9;27.200000000000003
338;75 years or over;United Kingdom;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);48.400000000000006;23.6;28.0
339;75 years or over;United Kingdom;Males;Less than primary, primary and lower secondary education (levels 0-2);48.1;24.5;27.4
340;75 years or over;United Kingdom;Males;Tertiary education (levels 5-8);70.6;14.0;15.399999999999999
341;75 years or over;United Kingdom;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);62.099999999999994;15.2;22.6
342;From 15 to 24 years;Austria;Females;Less than primary, primary and lower secondary education (levels 0-2);17.6;26.1;56.3
343;From 15 to 24 years;Austria;Females;Tertiary education (levels 5-8);22.1;9.3;68.6
344;From 15 to 24 years;Austria;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);23.1;15.1;61.8
348;From 15 to 24 years;Austria;Males;Less than primary, primary and lower secondary education (levels 0-2);27.400000000000002;24.4;48.2
349;From 15 to 24 years;Austria;Males;Tertiary education (levels 5-8);53.7;5.8;40.5
350;From 15 to 24 years;Austria;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);41.7;9.0;49.3
354;From 15 to 24 years;Belgium;Females;Less than primary, primary and lower secondary education (levels 0-2);21.5;27.4;51.1
355;From 15 to 24 years;Belgium;Females;Tertiary education (levels 5-8);46.2;13.8;40.1
356;From 15 to 24 years;Belgium;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);36.6;26.2;37.3
360;From 15 to 24 years;Belgium;Males;Less than primary, primary and lower secondary education (levels 0-2);39.5;31.6;28.799999999999997
361;From 15 to 24 years;Belgium;Males;Tertiary education (levels 5-8);55.4;6.8;37.800000000000004
362;From 15 to 24 years;Belgium;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);53.199999999999996;18.3;28.4
366;From 15 to 24 years;Bulgaria;Females;Less than primary, primary and lower secondary education (levels 0-2);2.0;72.1;25.900000000000002
367;From 15 to 24 years;Bulgaria;Females;Tertiary education (levels 5-8);0.0;0.0;0.0
368;From 15 to 24 years;Bulgaria;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);13.700000000000001;41.8;44.6
372;From 15 to 24 years;Bulgaria;Males;Less than primary, primary and lower secondary education (levels 0-2);18.8;58.8;22.4
373;From 15 to 24 years;Bulgaria;Males;Tertiary education (levels 5-8);0.0;0.0;0.0
374;From 15 to 24 years;Bulgaria;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);23.4;28.3;48.400000000000006
378;From 15 to 24 years;Croatia;Females;Less than primary, primary and lower secondary education (levels 0-2);3.4;65.0;31.7
379;From 15 to 24 years;Croatia;Females;Tertiary education (levels 5-8);6.4;45.1;48.5
380;From 15 to 24 years;Croatia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);5.6;38.1;56.199999999999996
384;From 15 to 24 years;Croatia;Males;Less than primary, primary and lower secondary education (levels 0-2);6.6;57.9;35.5
385;From 15 to 24 years;Croatia;Males;Tertiary education (levels 5-8);11.1;30.0;58.9
386;From 15 to 24 years;Croatia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);18.2;25.4;56.4
390;From 15 to 24 years;Cyprus;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;90.3;9.7
391;From 15 to 24 years;Cyprus;Females;Tertiary education (levels 5-8);21.6;38.4;40.0
392;From 15 to 24 years;Cyprus;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);8.3;61.5;30.2
396;From 15 to 24 years;Cyprus;Males;Less than primary, primary and lower secondary education (levels 0-2);2.5999999999999996;62.5;34.9
397;From 15 to 24 years;Cyprus;Males;Tertiary education (levels 5-8);38.4;15.0;46.699999999999996
398;From 15 to 24 years;Cyprus;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);25.0;26.2;48.8
402;From 15 to 24 years;Czechia;Females;Less than primary, primary and lower secondary education (levels 0-2);12.5;41.4;46.1
403;From 15 to 24 years;Czechia;Females;Tertiary education (levels 5-8);43.2;0.0;56.8
404;From 15 to 24 years;Czechia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);23.4;8.5;68.1
408;From 15 to 24 years;Czechia;Males;Less than primary, primary and lower secondary education (levels 0-2);21.700000000000003;31.4;46.900000000000006
409;From 15 to 24 years;Czechia;Males;Tertiary education (levels 5-8);0.0;0.0;0.0
410;From 15 to 24 years;Czechia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);64.10000000000001;6.4;29.400000000000002
414;From 15 to 24 years;Denmark;Females;Less than primary, primary and lower secondary education (levels 0-2);18.7;17.2;64.1
415;From 15 to 24 years;Denmark;Females;Tertiary education (levels 5-8);30.4;4.3;65.19999999999999
416;From 15 to 24 years;Denmark;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);24.8;1.9;73.2
420;From 15 to 24 years;Denmark;Males;Less than primary, primary and lower secondary education (levels 0-2);25.0;24.1;50.9
421;From 15 to 24 years;Denmark;Males;Tertiary education (levels 5-8);0.0;0.0;0.0
422;From 15 to 24 years;Denmark;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);39.4;9.2;51.3
426;From 15 to 24 years;Estonia;Females;Less than primary, primary and lower secondary education (levels 0-2);10.1;19.2;70.69999999999999
427;From 15 to 24 years;Estonia;Females;Tertiary education (levels 5-8);14.5;9.1;76.4
428;From 15 to 24 years;Estonia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);16.4;20.0;63.6
432;From 15 to 24 years;Estonia;Males;Less than primary, primary and lower secondary education (levels 0-2);16.7;23.3;60.0
433;From 15 to 24 years;Estonia;Males;Tertiary education (levels 5-8);0.0;0.0;0.0
434;From 15 to 24 years;Estonia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);38.6;6.8;54.5
438;From 15 to 24 years;Finland;Females;Less than primary, primary and lower secondary education (levels 0-2);7.6;45.5;47.0
439;From 15 to 24 years;Finland;Females;Tertiary education (levels 5-8);26.9;11.0;62.2
440;From 15 to 24 years;Finland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);22.7;13.6;63.7
441;From 15 to 24 years;Finland;Males;Less than primary, primary and lower secondary education (levels 0-2);9.4;35.5;55.2
442;From 15 to 24 years;Finland;Males;Tertiary education (levels 5-8);0.0;0.0;0.0
443;From 15 to 24 years;Finland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);31.9;16.3;51.8
450;From 15 to 24 years;Germany;Females;Less than primary, primary and lower secondary education (levels 0-2);18.799999999999997;28.2;53.099999999999994
451;From 15 to 24 years;Germany;Females;Tertiary education (levels 5-8);47.3;7.5;45.2
452;From 15 to 24 years;Germany;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);29.9;9.0;61.099999999999994
456;From 15 to 24 years;Germany;Males;Less than primary, primary and lower secondary education (levels 0-2);28.5;24.9;46.599999999999994
457;From 15 to 24 years;Germany;Males;Tertiary education (levels 5-8);63.4;6.0;30.6
458;From 15 to 24 years;Germany;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);47.199999999999996;9.8;43.0
462;From 15 to 24 years;Greece;Females;Less than primary, primary and lower secondary education (levels 0-2);2.8;69.9;27.3
463;From 15 to 24 years;Greece;Females;Tertiary education (levels 5-8);38.1;17.0;44.9
464;From 15 to 24 years;Greece;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);34.1;13.9;51.900000000000006
468;From 15 to 24 years;Greece;Males;Less than primary, primary and lower secondary education (levels 0-2);12.5;48.2;39.3
469;From 15 to 24 years;Greece;Males;Tertiary education (levels 5-8);0.0;0.0;0.0
470;From 15 to 24 years;Greece;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);44.3;7.4;48.4
474;From 15 to 24 years;Hungary;Females;Less than primary, primary and lower secondary education (levels 0-2);2.7;55.1;42.3
475;From 15 to 24 years;Hungary;Females;Tertiary education (levels 5-8);12.6;19.8;67.6
476;From 15 to 24 years;Hungary;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);8.5;26.0;65.5
480;From 15 to 24 years;Hungary;Males;Less than primary, primary and lower secondary education (levels 0-2);9.1;33.0;57.900000000000006
481;From 15 to 24 years;Hungary;Males;Tertiary education (levels 5-8);0.0;0.0;0.0
482;From 15 to 24 years;Hungary;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);31.5;11.5;57.099999999999994
486;From 15 to 24 years;Iceland;Females;Less than primary, primary and lower secondary education (levels 0-2);6.5;44.2;49.3
487;From 15 to 24 years;Iceland;Females;Tertiary education (levels 5-8);0.0;0.0;0.0
488;From 15 to 24 years;Iceland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);8.8;8.0;83.3
492;From 15 to 24 years;Iceland;Males;Less than primary, primary and lower secondary education (levels 0-2);6.5;46.5;47.099999999999994
493;From 15 to 24 years;Iceland;Males;Tertiary education (levels 5-8);0.0;0.0;0.0
494;From 15 to 24 years;Iceland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);21.0;17.0;62.0
498;From 15 to 24 years;Ireland;Females;Less than primary, primary and lower secondary education (levels 0-2);12.4;39.1;48.5
499;From 15 to 24 years;Ireland;Females;Tertiary education (levels 5-8);41.6;2.8;55.599999999999994
500;From 15 to 24 years;Ireland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);39.9;16.9;43.2
504;From 15 to 24 years;Ireland;Males;Less than primary, primary and lower secondary education (levels 0-2);15.1;43.9;41.0
505;From 15 to 24 years;Ireland;Males;Tertiary education (levels 5-8);0.0;0.0;0.0
506;From 15 to 24 years;Ireland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);49.0;10.9;40.099999999999994
510;From 15 to 24 years;Latvia;Females;Less than primary, primary and lower secondary education (levels 0-2);3.8;54.9;41.3
511;From 15 to 24 years;Latvia;Females;Tertiary education (levels 5-8);18.3;9.8;71.8
512;From 15 to 24 years;Latvia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);9.2;17.6;73.1
516;From 15 to 24 years;Latvia;Males;Less than primary, primary and lower secondary education (levels 0-2);6.5;46.1;47.3
517;From 15 to 24 years;Latvia;Males;Tertiary education (levels 5-8);21.8;6.5;71.69999999999999
518;From 15 to 24 years;Latvia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);15.4;10.5;74.2
522;From 15 to 24 years;Lithuania;Females;Less than primary, primary and lower secondary education (levels 0-2);2.4;67.1;30.6
523;From 15 to 24 years;Lithuania;Females;Tertiary education (levels 5-8);6.8;23.5;69.7
524;From 15 to 24 years;Lithuania;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);8.1;24.1;67.8
528;From 15 to 24 years;Lithuania;Males;Less than primary, primary and lower secondary education (levels 0-2);5.8;60.2;34.1
529;From 15 to 24 years;Lithuania;Males;Tertiary education (levels 5-8);14.7;18.4;66.8
530;From 15 to 24 years;Lithuania;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);16.4;13.4;70.19999999999999
