;Unnamed: 0;frequenc;isced11;sex;age;geo;TIME_PERIOD;OBS_VALUE;OBS_FLAG;frequenc_simplified
605;605;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Spain;2019;1.2;;Frequent drinkers
610;610;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;France;2019;1.5;;Frequent drinkers
613;613;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Hungary;2014;0.0;;Frequent drinkers
614;614;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Hungary;2019;3.1;u;Frequent drinkers
615;615;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Ireland;2014;0.0;u;Frequent drinkers
616;616;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Ireland;2019;1.6;u;Frequent drinkers
617;617;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Iceland;2014;0.0;;Frequent drinkers
618;618;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Iceland;2019;0.0;u;Frequent drinkers
623;623;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Luxembourg;2014;0.0;u;Frequent drinkers
625;625;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Latvia;2014;0.0;u;Frequent drinkers
626;626;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Latvia;2019;0.0;u;Frequent drinkers
627;627;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Malta;2014;4.8;;Frequent drinkers
628;628;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Malta;2019;0.0;;Frequent drinkers
629;629;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Netherlands;2019;0.0;;Frequent drinkers
630;630;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Norway;2014;0.0;;Frequent drinkers
631;631;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Norway;2019;0.0;;Frequent drinkers
632;632;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Poland;2014;4.0;;Frequent drinkers
633;633;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Poland;2019;0.0;u;Frequent drinkers
634;634;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Portugal;2014;5.2;;Frequent drinkers
635;635;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Portugal;2019;0.1;;Frequent drinkers
636;636;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Romania;2014;0.2;;Frequent drinkers
637;637;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Romania;2019;0.2;;Frequent drinkers
638;638;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Serbia;2019;0.0;u;Frequent drinkers
639;639;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Sweden;2014;0.0;u;Frequent drinkers
640;640;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Sweden;2019;0.0;u;Frequent drinkers
643;643;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Slovakia;2014;0.0;u;Frequent drinkers
644;644;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Slovakia;2019;0.0;u;Frequent drinkers
645;645;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Türkiye;2014;0.3;;Frequent drinkers
646;646;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Türkiye;2019;0.0;;Frequent drinkers
647;647;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;United Kingdom;2014;0.8;;Frequent drinkers
679;679;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Austria;2014;0.4;;Frequent drinkers
680;680;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Austria;2019;0.3;;Frequent drinkers
681;681;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Belgium;2014;4.1;u;Frequent drinkers
682;682;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Belgium;2019;3.8;;Frequent drinkers
683;683;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Bulgaria;2014;0.5;;Frequent drinkers
684;684;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Bulgaria;2019;7.2;;Frequent drinkers
685;685;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Cyprus;2014;0.0;;Frequent drinkers
686;686;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Cyprus;2019;0.0;u;Frequent drinkers
687;687;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Czechia;2014;1.5;u;Frequent drinkers
688;688;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Czechia;2019;0.0;u;Frequent drinkers
689;689;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Germany;2014;1.9;;Frequent drinkers
690;690;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Germany;2019;3.1;u;Frequent drinkers
691;691;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Denmark;2014;4.5;u;Frequent drinkers
692;692;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Denmark;2019;0.0;u;Frequent drinkers
693;693;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Estonia;2014;2.4;u;Frequent drinkers
694;694;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Estonia;2019;0.0;u;Frequent drinkers
695;695;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Greece;2014;3.0;;Frequent drinkers
696;696;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Greece;2019;0.0;;Frequent drinkers
697;697;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Spain;2014;4.0;;Frequent drinkers
698;698;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Spain;2019;1.9;;Frequent drinkers
703;703;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;France;2019;2.4;;Frequent drinkers
704;704;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Croatia;2014;0.0;;Frequent drinkers
705;705;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Croatia;2019;0.0;u;Frequent drinkers
706;706;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Hungary;2014;1.9;;Frequent drinkers
707;707;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Hungary;2019;0.0;u;Frequent drinkers
708;708;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Ireland;2014;0.0;;Frequent drinkers
709;709;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Ireland;2019;0.5;;Frequent drinkers
710;710;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Iceland;2014;0.0;u;Frequent drinkers
711;711;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Iceland;2019;0.0;u;Frequent drinkers
714;714;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Lithuania;2014;3.4;u;Frequent drinkers
715;715;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Lithuania;2019;0.0;u;Frequent drinkers
716;716;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Luxembourg;2014;3.5;;Frequent drinkers
717;717;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Luxembourg;2019;5.7;u;Frequent drinkers
718;718;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Latvia;2014;0.0;u;Frequent drinkers
719;719;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Latvia;2019;0.6;;Frequent drinkers
720;720;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Malta;2014;1.6;;Frequent drinkers
721;721;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Malta;2019;3.7;;Frequent drinkers
722;722;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Netherlands;2019;1.2;;Frequent drinkers
723;723;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Norway;2014;3.3;;Frequent drinkers
724;724;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Norway;2019;0.0;;Frequent drinkers
725;725;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Poland;2014;0.5;;Frequent drinkers
726;726;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Poland;2019;0.0;;Frequent drinkers
727;727;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Portugal;2014;12.5;;Frequent drinkers
728;728;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Portugal;2019;9.9;;Frequent drinkers
729;729;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Romania;2014;0.6;;Frequent drinkers
730;730;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Romania;2019;1.4;;Frequent drinkers
731;731;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Serbia;2019;0.0;;Frequent drinkers
732;732;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Sweden;2014;1.8;;Frequent drinkers
733;733;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Sweden;2019;2.5;u;Frequent drinkers
734;734;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Slovenia;2014;0.0;u;Frequent drinkers
735;735;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Slovenia;2019;0.0;u;Frequent drinkers
736;736;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Slovakia;2014;2.4;u;Frequent drinkers
737;737;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Slovakia;2019;0.0;u;Frequent drinkers
738;738;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Türkiye;2014;0.0;;Frequent drinkers
739;739;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;Türkiye;2019;0.0;;Frequent drinkers
740;740;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 35 to 44 years;United Kingdom;2014;2.8;;Frequent drinkers
741;741;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Austria;2014;1.4;;Frequent drinkers
742;742;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Austria;2019;0.3;;Frequent drinkers
743;743;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Belgium;2014;4.0;;Frequent drinkers
744;744;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Belgium;2019;3.0;;Frequent drinkers
745;745;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Bulgaria;2014;2.1;;Frequent drinkers
746;746;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Bulgaria;2019;5.5;;Frequent drinkers
747;747;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Cyprus;2014;1.1;;Frequent drinkers
748;748;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Cyprus;2019;0.0;;Frequent drinkers
749;749;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Czechia;2014;3.1;u;Frequent drinkers
750;750;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Czechia;2019;5.7;u;Frequent drinkers
751;751;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Germany;2014;3.8;;Frequent drinkers
752;752;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Germany;2019;0.6;;Frequent drinkers
753;753;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Denmark;2014;8.7;u;Frequent drinkers
754;754;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Denmark;2019;2.5;u;Frequent drinkers
756;756;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Estonia;2019;0.0;u;Frequent drinkers
757;757;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Greece;2014;2.7;;Frequent drinkers
758;758;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Greece;2019;3.7;;Frequent drinkers
759;759;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Spain;2014;6.2;;Frequent drinkers
760;760;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Spain;2019;7.1;;Frequent drinkers
764;764;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Finland;2014;0.0;u;Frequent drinkers
765;765;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;France;2019;4.8;;Frequent drinkers
766;766;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Croatia;2014;1.8;;Frequent drinkers
767;767;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Croatia;2019;1.1;;Frequent drinkers
768;768;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Hungary;2014;0.9;;Frequent drinkers
769;769;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Hungary;2019;4.2;;Frequent drinkers
770;770;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Ireland;2014;0.0;;Frequent drinkers
771;771;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Ireland;2019;3.1;;Frequent drinkers
772;772;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Iceland;2014;0.0;;Frequent drinkers
773;773;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Iceland;2019;0.0;;Frequent drinkers
778;778;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Luxembourg;2014;2.6;;Frequent drinkers
779;779;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Luxembourg;2019;3.7;;Frequent drinkers
782;782;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Malta;2014;5.5;;Frequent drinkers
783;783;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Malta;2019;4.9;;Frequent drinkers
784;784;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Netherlands;2019;7.5;;Frequent drinkers
785;785;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Norway;2014;1.1;;Frequent drinkers
786;786;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Norway;2019;0.0;;Frequent drinkers
787;787;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Poland;2014;0.2;;Frequent drinkers
788;788;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Poland;2019;1.8;;Frequent drinkers
789;789;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Portugal;2014;15.3;;Frequent drinkers
790;790;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Portugal;2019;11.2;;Frequent drinkers
791;791;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Romania;2014;0.7;;Frequent drinkers
792;792;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Romania;2019;0.2;;Frequent drinkers
793;793;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Serbia;2019;0.0;u;Frequent drinkers
794;794;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Sweden;2014;1.4;;Frequent drinkers
795;795;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Sweden;2019;3.1;;Frequent drinkers
796;796;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Slovenia;2014;1.4;;Frequent drinkers
797;797;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Slovenia;2019;1.3;;Frequent drinkers
798;798;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Slovakia;2014;1.2;u;Frequent drinkers
799;799;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Slovakia;2019;0.0;u;Frequent drinkers
800;800;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 45 to 54 years;Türkiye;2014;0.0;;Frequent drinkers
