;age;geo;sex;deg_urb;Every day;Every month;Every week;Less than once a month;Never or not in the last 12 months;clusters
128;75 years or over;Greece;Males;Towns and suburbs;16.8;9.0;21.8;12.6;39.8;4
132;75 years or over;Hungary;Females;Cities;7.0;9.9;10.5;20.6;52.0;4
133;75 years or over;Hungary;Females;Rural areas;4.8;3.8;5.6;22.2;63.5;4
134;75 years or over;Hungary;Females;Towns and suburbs;10.4;5.2;4.2;20.3;60.0;4
144;75 years or over;Iceland;Females;Cities;0.0;26.6;5.9;18.4;49.1;4
145;75 years or over;Iceland;Females;Rural areas;0.0;23.0;0.0;20.5;56.5;4
146;75 years or over;Iceland;Females;Towns and suburbs;0.0;12.7;8.7;15.0;63.6;4
152;75 years or over;Iceland;Males;Towns and suburbs;3.2;28.8;8.9;15.6;43.4;4
156;75 years or over;Ireland;Females;Cities;5.9;17.3;23.7;10.6;42.7;4
157;75 years or over;Ireland;Females;Rural areas;1.3;11.1;12.6;11.1;63.9;4
158;75 years or over;Ireland;Females;Towns and suburbs;0.9;16.9;22.6;9.7;49.9;4
163;75 years or over;Ireland;Males;Rural areas;8.6;13.4;30.5;7.1;40.5;4
164;75 years or over;Ireland;Males;Towns and suburbs;9.9;8.1;23.5;8.0;50.6;4
168;75 years or over;Latvia;Females;Cities;0.0;7.4;1.6;28.1;62.9;4
169;75 years or over;Latvia;Females;Rural areas;0.0;4.5;1.1;31.3;63.1;4
170;75 years or over;Latvia;Females;Towns and suburbs;0.7;5.9;0.8;21.1;71.4;4
175;75 years or over;Latvia;Males;Rural areas;3.5;12.3;7.7;28.1;48.4;4
176;75 years or over;Latvia;Males;Towns and suburbs;0.0;15.4;1.7;43.6;39.3;4
180;75 years or over;Lithuania;Females;Cities;0.0;6.0;0.6;27.4;66.0;4
181;75 years or over;Lithuania;Females;Rural areas;0.0;4.2;0.0;24.7;71.1;4
182;75 years or over;Lithuania;Females;Towns and suburbs;0.0;3.7;0.0;22.3;74.0;4
186;75 years or over;Lithuania;Males;Cities;2.5;29.5;8.8;19.4;39.9;4
187;75 years or over;Lithuania;Males;Rural areas;1.6;22.1;11.0;26.5;38.8;4
194;75 years or over;Luxembourg;Females;Towns and suburbs;2.3;24.0;20.0;4.7;49.0;4
204;75 years or over;Malta;Females;Cities;1.5;15.6;3.0;24.2;55.7;4
206;75 years or over;Malta;Females;Towns and suburbs;3.6;9.8;10.5;9.0;67.2;4
222;75 years or over;Norway;Females;Cities;12.3;22.9;17.5;0.0;47.4;4
223;75 years or over;Norway;Females;Rural areas;0.0;33.4;12.7;0.0;53.9;4
234;75 years or over;Poland;Females;Cities;0.6;10.4;3.7;24.4;60.9;4
235;75 years or over;Poland;Females;Rural areas;0.4;3.7;1.1;13.1;81.6;4
236;75 years or over;Poland;Females;Towns and suburbs;0.0;5.7;2.1;16.3;76.0;4
241;75 years or over;Poland;Males;Rural areas;0.9;19.5;7.7;24.1;47.8;4
242;75 years or over;Poland;Males;Towns and suburbs;1.6;17.1;8.7;27.6;45.1;4
246;75 years or over;Portugal;Females;Cities;21.5;5.7;6.4;11.4;55.0;4
247;75 years or over;Portugal;Females;Rural areas;18.2;3.0;6.7;4.2;67.9;4
248;75 years or over;Portugal;Females;Towns and suburbs;16.5;6.0;5.5;10.1;61.9;4
258;75 years or over;Romania;Females;Cities;0.0;10.2;0.6;11.3;78.0;4
259;75 years or over;Romania;Females;Rural areas;1.7;10.4;3.3;8.0;76.6;4
260;75 years or over;Romania;Females;Towns and suburbs;0.3;9.8;4.7;8.1;77.1;4
264;75 years or over;Romania;Males;Cities;6.8;27.1;5.9;11.6;48.6;4
265;75 years or over;Romania;Males;Rural areas;5.7;24.8;14.3;8.2;46.9;4
266;75 years or over;Romania;Males;Towns and suburbs;6.1;28.8;16.2;5.8;43.1;4
276;75 years or over;Slovakia;Females;Cities;0.9;16.5;3.6;22.8;56.2;4
277;75 years or over;Slovakia;Females;Rural areas;0.0;7.9;0.7;11.9;79.6;4
278;75 years or over;Slovakia;Females;Towns and suburbs;2.2;8.1;2.0;17.9;69.8;4
283;75 years or over;Slovakia;Males;Rural areas;7.3;15.4;14.3;23.7;39.3;4
289;75 years or over;Slovenia;Females;Rural areas;9.3;13.4;16.8;15.7;44.8;4
290;75 years or over;Slovenia;Females;Towns and suburbs;9.9;19.1;9.0;16.2;45.8;4
300;75 years or over;Spain;Females;Cities;12.5;9.2;4.7;11.9;61.7;4
301;75 years or over;Spain;Females;Rural areas;12.7;6.1;1.7;7.1;72.4;4
302;75 years or over;Spain;Females;Towns and suburbs;11.2;4.9;6.6;11.6;65.7;4
312;75 years or over;Sweden;Females;Cities;1.7;21.1;21.9;16.4;39.0;4
336;75 years or over;United Kingdom;Females;Cities;11.2;12.0;22.1;18.5;36.3;4
354;From 15 to 24 years;Belgium;Females;Cities;0.5;15.7;29.0;14.7;40.1;4
366;From 15 to 24 years;Bulgaria;Females;Cities;0.8;19.7;9.7;20.3;49.6;4
367;From 15 to 24 years;Bulgaria;Females;Rural areas;0.6;16.3;3.1;13.5;66.6;4
368;From 15 to 24 years;Bulgaria;Females;Towns and suburbs;0.0;11.3;3.7;21.8;63.1;4
372;From 15 to 24 years;Bulgaria;Males;Cities;5.5;30.3;10.8;12.2;41.2;4
373;From 15 to 24 years;Bulgaria;Males;Rural areas;5.1;20.4;28.0;3.2;43.3;4
374;From 15 to 24 years;Bulgaria;Males;Towns and suburbs;0.0;21.2;16.5;11.8;50.5;4
379;From 15 to 24 years;Croatia;Females;Rural areas;0.0;25.7;2.8;20.2;51.3;4
380;From 15 to 24 years;Croatia;Females;Towns and suburbs;1.4;13.7;6.1;14.4;64.4;4
390;From 15 to 24 years;Cyprus;Females;Cities;0.0;18.0;9.8;9.9;62.2;4
391;From 15 to 24 years;Cyprus;Females;Rural areas;0.6;19.6;2.9;3.3;73.7;4
392;From 15 to 24 years;Cyprus;Females;Towns and suburbs;0.0;16.6;10.8;6.1;66.5;4
396;From 15 to 24 years;Cyprus;Males;Cities;0.0;27.9;18.9;12.1;41.0;4
398;From 15 to 24 years;Cyprus;Males;Towns and suburbs;1.1;27.5;11.9;17.4;42.1;4
463;From 15 to 24 years;Greece;Females;Rural areas;0.0;23.4;11.6;11.5;53.4;4
475;From 15 to 24 years;Hungary;Females;Rural areas;0.0;20.5;6.1;29.9;43.5;4
476;From 15 to 24 years;Hungary;Females;Towns and suburbs;0.0;22.7;1.7;35.5;40.0;4
522;From 15 to 24 years;Lithuania;Females;Cities;0.0;26.8;8.1;17.9;47.2;4
523;From 15 to 24 years;Lithuania;Females;Rural areas;0.0;29.9;3.7;23.8;42.6;4
577;From 15 to 24 years;Poland;Females;Rural areas;0.0;17.3;1.9;24.1;56.7;4
578;From 15 to 24 years;Poland;Females;Towns and suburbs;0.0;20.0;6.2;21.1;52.7;4
589;From 15 to 24 years;Portugal;Females;Rural areas;0.0;24.1;6.6;24.8;44.5;4
590;From 15 to 24 years;Portugal;Females;Towns and suburbs;0.0;26.9;12.1;19.3;41.7;4
600;From 15 to 24 years;Romania;Females;Cities;0.0;15.2;1.3;15.9;67.6;4
601;From 15 to 24 years;Romania;Females;Rural areas;0.0;14.5;1.2;10.1;74.2;4
602;From 15 to 24 years;Romania;Females;Towns and suburbs;0.0;12.1;1.7;11.3;74.9;4
606;From 15 to 24 years;Romania;Males;Cities;0.2;26.6;7.3;10.8;55.2;4
607;From 15 to 24 years;Romania;Males;Rural areas;1.1;24.3;10.8;9.1;54.6;4
608;From 15 to 24 years;Romania;Males;Towns and suburbs;0.0;21.5;10.3;12.1;56.1;4
618;From 15 to 24 years;Slovakia;Females;Cities;0.8;28.3;6.7;20.7;43.6;4
619;From 15 to 24 years;Slovakia;Females;Rural areas;0.0;23.9;3.5;28.4;44.3;4
620;From 15 to 24 years;Slovakia;Females;Towns and suburbs;0.0;32.0;7.9;19.0;41.2;4
643;From 15 to 24 years;Spain;Females;Rural areas;0.0;25.8;18.9;14.5;40.7;4
655;From 15 to 24 years;Sweden;Females;Rural areas;0.5;25.5;18.8;14.7;40.5;4
709;From 25 to 34 years;Bulgaria;Females;Rural areas;1.2;23.6;15.5;19.1;40.7;4
710;From 25 to 34 years;Bulgaria;Females;Towns and suburbs;2.6;24.3;7.9;16.9;48.3;4
721;From 25 to 34 years;Croatia;Females;Rural areas;2.2;16.2;5.5;20.7;55.4;4
722;From 25 to 34 years;Croatia;Females;Towns and suburbs;0.0;16.4;6.9;15.9;60.7;4
732;From 25 to 34 years;Cyprus;Females;Cities;2.0;26.7;9.3;11.8;50.2;4
733;From 25 to 34 years;Cyprus;Females;Rural areas;0.0;23.3;7.2;3.1;66.3;4
734;From 25 to 34 years;Cyprus;Females;Towns and suburbs;0.0;24.7;12.0;3.9;59.5;4
817;From 25 to 34 years;Hungary;Females;Rural areas;0.0;22.1;3.2;34.5;40.3;4
931;From 25 to 34 years;Portugal;Females;Rural areas;1.7;17.0;11.3;22.8;47.2;4
942;From 25 to 34 years;Romania;Females;Cities;0.0;27.8;3.6;16.9;51.7;4
943;From 25 to 34 years;Romania;Females;Rural areas;0.5;25.7;6.7;17.1;50.0;4
944;From 25 to 34 years;Romania;Females;Towns and suburbs;0.0;29.8;5.4;20.3;44.4;4
986;From 25 to 34 years;Spain;Females;Towns and suburbs;0.4;22.5;21.6;16.0;39.6;4
1051;From 35 to 44 years;Bulgaria;Females;Rural areas;4.0;24.1;7.7;20.9;43.3;4
1063;From 35 to 44 years;Croatia;Females;Rural areas;2.0;18.7;5.7;14.5;59.2;4
1064;From 35 to 44 years;Croatia;Females;Towns and suburbs;0.0;15.7;7.6;16.0;60.6;4
1074;From 35 to 44 years;Cyprus;Females;Cities;0.0;24.3;9.9;10.6;55.3;4
1075;From 35 to 44 years;Cyprus;Females;Rural areas;1.0;19.2;2.5;8.0;69.4;4
1076;From 35 to 44 years;Cyprus;Females;Towns and suburbs;1.2;18.9;9.7;7.6;62.6;4
1159;From 35 to 44 years;Hungary;Females;Rural areas;0.6;18.6;4.5;34.5;41.7;4
1160;From 35 to 44 years;Hungary;Females;Towns and suburbs;2.3;15.9;7.5;35.1;39.2;4
1273;From 35 to 44 years;Portugal;Females;Rural areas;6.9;15.7;14.4;17.7;45.4;4
1274;From 35 to 44 years;Portugal;Females;Towns and suburbs;7.9;18.9;16.5;19.2;37.5;4
1284;From 35 to 44 years;Romania;Females;Cities;0.0;34.0;4.8;16.5;44.7;4
1285;From 35 to 44 years;Romania;Females;Rural areas;0.8;29.9;7.7;13.7;48.0;4
1286;From 35 to 44 years;Romania;Females;Towns and suburbs;0.6;21.5;9.6;21.2;47.2;4
1393;From 45 to 54 years;Bulgaria;Females;Rural areas;4.7;24.1;13.2;12.2;45.8;4
1394;From 45 to 54 years;Bulgaria;Females;Towns and suburbs;1.6;28.3;14.2;16.0;39.9;4
1405;From 45 to 54 years;Croatia;Females;Rural areas;3.8;14.0;4.9;12.5;64.8;4
1406;From 45 to 54 years;Croatia;Females;Towns and suburbs;5.8;14.6;11.3;16.0;52.3;4
1416;From 45 to 54 years;Cyprus;Females;Cities;0.4;20.1;12.4;11.1;55.9;4
1417;From 45 to 54 years;Cyprus;Females;Rural areas;0.4;16.9;9.7;9.1;63.9;4
1418;From 45 to 54 years;Cyprus;Females;Towns and suburbs;4.0;19.0;5.8;7.8;63.4;4
1489;From 45 to 54 years;Greece;Females;Rural areas;4.3;27.0;14.8;12.7;41.3;4
1501;From 45 to 54 years;Hungary;Females;Rural areas;1.3;14.7;7.3;38.4;38.3;4
1615;From 45 to 54 years;Portugal;Females;Rural areas;12.4;10.3;10.5;15.5;51.4;4
1626;From 45 to 54 years;Romania;Females;Cities;0.5;30.9;5.7;17.6;45.2;4
1627;From 45 to 54 years;Romania;Females;Rural areas;1.3;25.2;6.1;19.3;48.0;4
1628;From 45 to 54 years;Romania;Females;Towns and suburbs;0.0;30.3;7.9;19.9;42.0;4
1669;From 45 to 54 years;Spain;Females;Rural areas;5.0;18.1;15.0;18.3;43.7;4
1734;From 55 to 64 years;Bulgaria;Females;Cities;5.8;25.3;12.9;16.0;40.0;4
1735;From 55 to 64 years;Bulgaria;Females;Rural areas;2.0;22.7;10.0;12.1;53.2;4
1736;From 55 to 64 years;Bulgaria;Females;Towns and suburbs;2.5;21.8;11.5;17.2;47.0;4
1746;From 55 to 64 years;Croatia;Females;Cities;6.7;15.9;14.2;17.3;45.9;4
1747;From 55 to 64 years;Croatia;Females;Rural areas;7.8;11.2;7.0;8.1;65.9;4
1748;From 55 to 64 years;Croatia;Females;Towns and suburbs;4.9;14.3;7.1;10.3;63.5;4
1758;From 55 to 64 years;Cyprus;Females;Cities;1.3;17.6;7.2;8.5;65.4;4
1759;From 55 to 64 years;Cyprus;Females;Rural areas;2.6;9.9;3.4;10.0;74.2;4
1760;From 55 to 64 years;Cyprus;Females;Towns and suburbs;0.0;11.3;11.3;5.4;72.0;4
1830;From 55 to 64 years;Greece;Females;Cities;4.7;21.4;13.2;16.5;44.2;4
1831;From 55 to 64 years;Greece;Females;Rural areas;2.8;19.6;12.1;15.2;50.3;4
1832;From 55 to 64 years;Greece;Females;Towns and suburbs;2.6;21.9;17.4;15.4;42.7;4
1843;From 55 to 64 years;Hungary;Females;Rural areas;3.8;10.7;4.9;32.8;47.7;4
1844;From 55 to 64 years;Hungary;Females;Towns and suburbs;0.0;17.1;5.3;33.5;44.2;4
1914;From 55 to 64 years;Malta;Females;Cities;5.0;18.9;9.2;28.4;38.5;4
1915;From 55 to 64 years;Malta;Females;Rural areas;12.1;0.0;18.2;6.1;63.6;4
1916;From 55 to 64 years;Malta;Females;Towns and suburbs;6.4;18.9;14.2;13.7;46.8;4
1945;From 55 to 64 years;Poland;Females;Rural areas;0.4;17.5;3.4;37.2;41.5;4
1957;From 55 to 64 years;Portugal;Females;Rural areas;18.6;6.4;10.5;14.6;49.8;4
1958;From 55 to 64 years;Portugal;Females;Towns and suburbs;17.8;12.0;14.1;10.8;45.4;4
1968;From 55 to 64 years;Romania;Females;Cities;0.5;24.6;5.5;15.5;53.9;4
1969;From 55 to 64 years;Romania;Females;Rural areas;1.5;23.1;6.6;12.8;55.9;4
1970;From 55 to 64 years;Romania;Females;Towns and suburbs;0.6;26.2;4.3;18.1;50.8;4
1988;From 55 to 64 years;Slovakia;Females;Towns and suburbs;0.0;23.1;4.7;32.0;40.2;4
2000;From 55 to 64 years;Slovenia;Females;Towns and suburbs;2.2;22.3;12.9;23.9;38.8;4
2010;From 55 to 64 years;Spain;Females;Cities;13.0;17.1;19.7;12.4;37.7;4
2011;From 55 to 64 years;Spain;Females;Rural areas;10.9;11.5;12.9;16.2;48.5;4
2076;From 65 to 74 years;Bulgaria;Females;Cities;1.7;18.4;6.9;20.4;52.7;4
2077;From 65 to 74 years;Bulgaria;Females;Rural areas;4.4;16.2;5.1;13.3;60.9;4
2078;From 65 to 74 years;Bulgaria;Females;Towns and suburbs;3.3;15.3;9.2;13.0;59.2;4
2088;From 65 to 74 years;Croatia;Females;Cities;4.5;16.7;1.2;21.3;56.3;4
2089;From 65 to 74 years;Croatia;Females;Rural areas;7.4;7.9;4.8;11.3;68.6;4
2090;From 65 to 74 years;Croatia;Females;Towns and suburbs;4.9;10.2;4.7;8.9;71.4;4
2100;From 65 to 74 years;Cyprus;Females;Cities;2.9;14.8;4.6;7.3;70.3;4
2101;From 65 to 74 years;Cyprus;Females;Rural areas;2.0;10.4;5.1;4.5;77.9;4
2102;From 65 to 74 years;Cyprus;Females;Towns and suburbs;0.9;10.0;5.0;10.8;73.3;4
2138;From 65 to 74 years;Estonia;Females;Towns and suburbs;0.0;14.1;1.0;42.0;42.9;4
2172;From 65 to 74 years;Greece;Females;Cities;5.8;14.9;9.4;14.2;55.8;4
2173;From 65 to 74 years;Greece;Females;Rural areas;6.2;13.8;6.1;13.8;60.1;4
2174;From 65 to 74 years;Greece;Females;Towns and suburbs;3.9;11.8;12.5;14.7;57.2;4
2184;From 65 to 74 years;Hungary;Females;Cities;4.8;16.8;7.3;21.7;49.5;4
2185;From 65 to 74 years;Hungary;Females;Rural areas;4.5;5.6;4.9;27.7;57.3;4
2186;From 65 to 74 years;Hungary;Females;Towns and suburbs;5.6;11.0;11.1;20.2;52.1;4
2220;From 65 to 74 years;Latvia;Females;Cities;0.3;15.4;5.2;40.3;38.9;4
2221;From 65 to 74 years;Latvia;Females;Rural areas;0.0;15.6;1.5;36.9;45.9;4
2222;From 65 to 74 years;Latvia;Females;Towns and suburbs;0.0;17.2;2.3;37.5;43.1;4
2232;From 65 to 74 years;Lithuania;Females;Cities;0.0;15.4;3.1;33.3;48.2;4
2233;From 65 to 74 years;Lithuania;Females;Rural areas;0.0;11.3;3.1;44.0;41.6;4
2234;From 65 to 74 years;Lithuania;Females;Towns and suburbs;0.0;13.2;0.0;37.0;49.7;4
2256;From 65 to 74 years;Malta;Females;Cities;4.9;17.0;12.2;24.2;41.7;4
2257;From 65 to 74 years;Malta;Females;Rural areas;10.3;20.7;10.3;6.9;51.7;4
2258;From 65 to 74 years;Malta;Females;Towns and suburbs;6.5;16.5;15.8;16.1;45.1;4
2286;From 65 to 74 years;Poland;Females;Cities;0.4;17.8;5.6;34.2;42.0;4
2287;From 65 to 74 years;Poland;Females;Rural areas;0.0;9.7;1.1;28.1;61.1;4
2288;From 65 to 74 years;Poland;Females;Towns and suburbs;0.5;13.2;2.7;30.9;52.7;4
2298;From 65 to 74 years;Portugal;Females;Cities;20.1;8.9;12.6;12.3;46.1;4
2299;From 65 to 74 years;Portugal;Females;Rural areas;21.9;3.7;6.8;7.3;60.4;4
2300;From 65 to 74 years;Portugal;Females;Towns and suburbs;19.4;5.6;7.8;8.5;58.7;4
2310;From 65 to 74 years;Romania;Females;Cities;0.9;18.3;3.3;10.9;66.7;4
2311;From 65 to 74 years;Romania;Females;Rural areas;1.8;16.7;5.9;11.6;64.0;4
2312;From 65 to 74 years;Romania;Females;Towns and suburbs;0.8;18.6;3.7;11.8;65.1;4
2328;From 65 to 74 years;Slovakia;Females;Cities;1.3;23.0;4.5;32.8;38.4;4
2329;From 65 to 74 years;Slovakia;Females;Rural areas;0.0;13.5;1.8;28.6;56.1;4
2330;From 65 to 74 years;Slovakia;Females;Towns and suburbs;1.4;16.7;3.7;30.7;47.5;4
2341;From 65 to 74 years;Slovenia;Females;Rural areas;6.6;19.2;19.8;16.0;38.4;4
2352;From 65 to 74 years;Spain;Females;Cities;13.4;12.0;10.5;15.7;48.4;4
2353;From 65 to 74 years;Spain;Females;Rural areas;14.3;9.8;5.8;11.5;58.7;4
2354;From 65 to 74 years;Spain;Females;Towns and suburbs;11.4;10.3;12.2;13.5;52.5;4
