;age;geo;sex;deg_urb;Every day;Every month;Every week;Less than once a month;Never or not in the last 12 months;clusters
686;From 25 to 34 years;Austria;Females;Towns and suburbs;0.0;35.6;17.3;22.4;24.8;0
696;From 25 to 34 years;Belgium;Females;Cities;2.1;27.4;25.0;16.0;29.5;0
697;From 25 to 34 years;Belgium;Females;Rural areas;1.4;38.9;23.8;22.5;13.4;0
698;From 25 to 34 years;Belgium;Females;Towns and suburbs;2.0;41.4;27.7;14.2;14.7;0
708;From 25 to 34 years;Bulgaria;Females;Cities;4.7;47.7;13.9;12.1;21.7;0
716;From 25 to 34 years;Bulgaria;Males;Towns and suburbs;6.1;32.2;21.2;11.0;29.4;0
720;From 25 to 34 years;Croatia;Females;Cities;0.0;39.1;13.1;10.8;37.0;0
727;From 25 to 34 years;Croatia;Males;Rural areas;4.2;32.4;20.9;14.9;27.6;0
728;From 25 to 34 years;Croatia;Males;Towns and suburbs;6.8;33.7;24.8;8.0;26.7;0
739;From 25 to 34 years;Cyprus;Males;Rural areas;2.1;46.8;21.6;5.2;24.3;0
744;From 25 to 34 years;Czechia;Females;Cities;0.0;50.0;25.7;14.7;9.5;0
745;From 25 to 34 years;Czechia;Females;Rural areas;2.4;39.7;28.3;19.5;10.0;0
746;From 25 to 34 years;Czechia;Females;Towns and suburbs;1.6;35.7;22.8;19.9;20.0;0
756;From 25 to 34 years;Denmark;Females;Cities;0.0;43.9;30.6;15.6;10.0;0
757;From 25 to 34 years;Denmark;Females;Rural areas;0.0;32.5;14.5;35.0;17.9;0
758;From 25 to 34 years;Denmark;Females;Towns and suburbs;0.0;38.9;19.4;27.8;13.9;0
764;From 25 to 34 years;Denmark;Males;Towns and suburbs;2.6;36.8;28.9;23.7;7.9;0
768;From 25 to 34 years;Estonia;Females;Cities;0.0;38.0;19.4;30.5;12.1;0
769;From 25 to 34 years;Estonia;Females;Rural areas;0.0;37.3;16.3;33.2;13.1;0
770;From 25 to 34 years;Estonia;Females;Towns and suburbs;0.8;33.7;13.5;31.3;20.8;0
780;From 25 to 34 years;Finland;Females;Cities;1.1;39.4;31.1;20.8;7.7;0
781;From 25 to 34 years;Finland;Females;Rural areas;0.0;30.7;17.4;34.2;17.7;0
782;From 25 to 34 years;Finland;Females;Towns and suburbs;0.7;42.4;16.1;32.5;8.3;0
793;From 25 to 34 years;Germany;Females;Rural areas;3.3;36.0;19.6;24.1;17.1;0
794;From 25 to 34 years;Germany;Females;Towns and suburbs;0.4;32.9;28.4;23.6;14.8;0
804;From 25 to 34 years;Greece;Females;Cities;0.8;39.9;18.5;9.8;30.9;0
805;From 25 to 34 years;Greece;Females;Rural areas;0.0;27.6;14.6;18.3;39.5;0
806;From 25 to 34 years;Greece;Females;Towns and suburbs;0.2;34.8;26.8;14.7;23.5;0
816;From 25 to 34 years;Hungary;Females;Cities;0.0;30.1;15.7;27.0;27.3;0
818;From 25 to 34 years;Hungary;Females;Towns and suburbs;0.0;24.0;7.3;35.1;33.6;0
823;From 25 to 34 years;Hungary;Males;Rural areas;6.6;29.2;22.0;22.2;20.0;0
824;From 25 to 34 years;Hungary;Males;Towns and suburbs;1.9;29.7;25.5;29.2;13.7;0
828;From 25 to 34 years;Iceland;Females;Cities;0.0;41.6;16.0;36.3;6.2;0
829;From 25 to 34 years;Iceland;Females;Rural areas;0.0;48.6;2.0;38.3;11.1;0
830;From 25 to 34 years;Iceland;Females;Towns and suburbs;0.0;28.6;9.0;61.0;1.3;0
834;From 25 to 34 years;Iceland;Males;Cities;0.7;44.5;28.2;18.8;7.9;0
836;From 25 to 34 years;Iceland;Males;Towns and suburbs;0.0;46.1;15.9;27.9;10.0;0
841;From 25 to 34 years;Ireland;Females;Rural areas;0.0;43.3;30.2;16.3;10.1;0
842;From 25 to 34 years;Ireland;Females;Towns and suburbs;0.0;44.9;29.1;18.6;7.4;0
852;From 25 to 34 years;Latvia;Females;Cities;0.4;39.2;17.7;24.7;18.1;0
853;From 25 to 34 years;Latvia;Females;Rural areas;0.6;32.6;9.7;40.5;16.5;0
854;From 25 to 34 years;Latvia;Females;Towns and suburbs;0.0;43.3;4.5;35.1;17.1;0
859;From 25 to 34 years;Latvia;Males;Rural areas;1.6;56.0;21.1;15.7;5.6;0
860;From 25 to 34 years;Latvia;Males;Towns and suburbs;2.0;48.6;22.7;20.7;6.0;0
864;From 25 to 34 years;Lithuania;Females;Cities;0.0;48.1;8.4;29.2;14.3;0
865;From 25 to 34 years;Lithuania;Females;Rural areas;0.0;44.1;6.2;33.3;16.3;0
866;From 25 to 34 years;Lithuania;Females;Towns and suburbs;0.0;65.4;0.0;30.2;4.4;0
870;From 25 to 34 years;Lithuania;Males;Cities;1.5;54.6;19.2;15.4;9.2;0
872;From 25 to 34 years;Lithuania;Males;Towns and suburbs;0.0;61.9;23.8;9.5;4.8;0
877;From 25 to 34 years;Luxembourg;Females;Rural areas;1.6;35.1;28.4;15.7;19.2;0
878;From 25 to 34 years;Luxembourg;Females;Towns and suburbs;0.8;25.9;28.4;17.9;26.9;0
888;From 25 to 34 years;Malta;Females;Cities;2.6;34.2;21.1;24.5;17.6;0
889;From 25 to 34 years;Malta;Females;Rural areas;0.0;33.3;13.3;20.0;33.3;0
907;From 25 to 34 years;Norway;Females;Rural areas;0.0;69.2;12.1;0.0;18.7;0
908;From 25 to 34 years;Norway;Females;Towns and suburbs;0.0;59.1;12.8;0.0;28.0;0
913;From 25 to 34 years;Norway;Males;Rural areas;0.7;61.9;26.8;0.0;10.6;0
914;From 25 to 34 years;Norway;Males;Towns and suburbs;1.7;58.0;25.3;0.0;14.9;0
918;From 25 to 34 years;Poland;Females;Cities;0.4;34.8;21.2;24.2;19.4;0
919;From 25 to 34 years;Poland;Females;Rural areas;0.0;24.8;6.2;36.5;32.5;0
920;From 25 to 34 years;Poland;Females;Towns and suburbs;0.7;30.6;11.2;31.8;25.7;0
925;From 25 to 34 years;Poland;Males;Rural areas;3.2;41.0;27.1;19.5;9.2;0
930;From 25 to 34 years;Portugal;Females;Cities;0.9;30.1;13.2;21.3;34.6;0
932;From 25 to 34 years;Portugal;Females;Towns and suburbs;4.7;22.7;18.3;19.6;34.7;0
948;From 25 to 34 years;Romania;Males;Cities;3.2;42.3;21.7;14.0;18.8;0
960;From 25 to 34 years;Slovakia;Females;Cities;0.6;30.9;13.9;29.7;24.9;0
961;From 25 to 34 years;Slovakia;Females;Rural areas;0.0;25.8;4.6;34.9;34.6;0
962;From 25 to 34 years;Slovakia;Females;Towns and suburbs;0.6;33.5;7.3;31.4;27.2;0
966;From 25 to 34 years;Slovakia;Males;Cities;3.3;37.3;21.7;26.5;11.2;0
967;From 25 to 34 years;Slovakia;Males;Rural areas;2.2;47.9;24.4;12.3;13.3;0
968;From 25 to 34 years;Slovakia;Males;Towns and suburbs;3.7;35.3;28.8;15.7;16.4;0
972;From 25 to 34 years;Slovenia;Females;Cities;0.0;38.5;15.9;28.3;17.2;0
973;From 25 to 34 years;Slovenia;Females;Rural areas;0.4;33.3;21.8;25.5;19.1;0
974;From 25 to 34 years;Slovenia;Females;Towns and suburbs;0.6;36.6;14.5;22.3;26.0;0
984;From 25 to 34 years;Spain;Females;Cities;2.1;28.6;23.3;16.4;29.5;0
985;From 25 to 34 years;Spain;Females;Rural areas;3.4;24.8;15.9;19.7;36.2;0
996;From 25 to 34 years;Sweden;Females;Cities;0.0;33.7;20.8;23.4;22.1;0
998;From 25 to 34 years;Sweden;Females;Towns and suburbs;0.0;33.1;18.9;27.8;20.2;0
1004;From 25 to 34 years;Sweden;Males;Towns and suburbs;0.0;45.2;27.8;13.6;13.3;0
1026;From 35 to 44 years;Austria;Females;Cities;1.3;31.6;21.5;23.8;21.8;0
1027;From 35 to 44 years;Austria;Females;Rural areas;0.8;47.0;16.5;21.4;14.2;0
1028;From 35 to 44 years;Austria;Females;Towns and suburbs;1.7;37.2;24.0;24.8;12.4;0
1050;From 35 to 44 years;Bulgaria;Females;Cities;6.4;35.1;19.0;13.8;25.7;0
1052;From 35 to 44 years;Bulgaria;Females;Towns and suburbs;2.8;31.3;14.5;18.7;32.6;0
1062;From 35 to 44 years;Croatia;Females;Cities;0.0;21.3;22.8;21.7;34.2;0
1070;From 35 to 44 years;Croatia;Males;Towns and suburbs;9.5;25.7;22.8;9.6;32.3;0
1086;From 35 to 44 years;Czechia;Females;Cities;1.5;39.8;29.4;20.4;8.8;0
1087;From 35 to 44 years;Czechia;Females;Rural areas;0.2;33.1;26.4;17.0;23.3;0
1099;From 35 to 44 years;Denmark;Females;Rural areas;1.7;35.2;30.7;24.6;7.8;0
1110;From 35 to 44 years;Estonia;Females;Cities;0.0;34.6;19.3;35.0;11.1;0
1111;From 35 to 44 years;Estonia;Females;Rural areas;0.9;37.5;12.3;37.8;11.5;0
1112;From 35 to 44 years;Estonia;Females;Towns and suburbs;0.0;37.8;14.1;37.2;10.9;0
1118;From 35 to 44 years;Estonia;Males;Towns and suburbs;6.4;33.6;28.7;18.8;12.6;0
1123;From 35 to 44 years;Finland;Females;Rural areas;2.6;37.3;27.3;23.4;9.3;0
1124;From 35 to 44 years;Finland;Females;Towns and suburbs;2.0;33.6;31.5;24.5;8.4;0
1135;From 35 to 44 years;Germany;Females;Rural areas;2.6;31.1;30.0;24.4;11.9;0
1146;From 35 to 44 years;Greece;Females;Cities;1.3;29.0;24.9;16.8;27.9;0
1147;From 35 to 44 years;Greece;Females;Rural areas;4.5;30.1;13.7;15.1;36.6;0
1148;From 35 to 44 years;Greece;Females;Towns and suburbs;3.5;36.8;18.2;15.9;25.5;0
1158;From 35 to 44 years;Hungary;Females;Cities;1.9;31.3;9.6;32.0;25.2;0
1164;From 35 to 44 years;Hungary;Males;Cities;2.9;29.5;29.7;15.3;22.5;0
1165;From 35 to 44 years;Hungary;Males;Rural areas;6.6;29.4;24.4;23.2;16.3;0
1170;From 35 to 44 years;Iceland;Females;Cities;0.0;49.1;16.7;27.4;6.9;0
1171;From 35 to 44 years;Iceland;Females;Rural areas;3.3;33.0;15.7;32.4;15.6;0
1172;From 35 to 44 years;Iceland;Females;Towns and suburbs;0.0;38.8;2.8;39.4;19.0;0
1176;From 35 to 44 years;Iceland;Males;Cities;1.2;42.0;26.8;13.7;16.3;0
1177;From 35 to 44 years;Iceland;Males;Rural areas;0.0;46.1;19.6;30.0;4.3;0
1178;From 35 to 44 years;Iceland;Males;Towns and suburbs;1.9;53.6;13.3;25.6;5.5;0
1194;From 35 to 44 years;Latvia;Females;Cities;0.5;35.4;22.5;30.2;11.3;0
1195;From 35 to 44 years;Latvia;Females;Rural areas;0.0;36.8;7.1;40.4;15.8;0
1196;From 35 to 44 years;Latvia;Females;Towns and suburbs;1.6;50.2;7.0;33.3;8.0;0
1200;From 35 to 44 years;Latvia;Males;Cities;4.2;40.5;27.2;18.9;9.2;0
1201;From 35 to 44 years;Latvia;Males;Rural areas;4.3;43.4;23.9;13.8;14.6;0
1202;From 35 to 44 years;Latvia;Males;Towns and suburbs;0.0;45.3;27.6;13.2;13.8;0
1206;From 35 to 44 years;Lithuania;Females;Cities;0.0;53.6;13.3;19.3;13.8;0
1207;From 35 to 44 years;Lithuania;Females;Rural areas;0.5;44.3;4.7;33.3;17.2;0
1208;From 35 to 44 years;Lithuania;Females;Towns and suburbs;0.0;54.1;10.9;32.3;2.7;0
1212;From 35 to 44 years;Lithuania;Males;Cities;0.9;43.1;27.5;16.5;11.9;0
1230;From 35 to 44 years;Malta;Females;Cities;0.8;26.8;18.6;20.4;33.5;0
1231;From 35 to 44 years;Malta;Females;Rural areas;5.0;35.0;20.0;5.0;35.0;0
1232;From 35 to 44 years;Malta;Females;Towns and suburbs;1.4;29.1;25.1;20.0;24.4;0
1248;From 35 to 44 years;Norway;Females;Cities;1.9;48.1;28.2;0.0;21.8;0
1249;From 35 to 44 years;Norway;Females;Rural areas;0.7;59.1;22.0;0.0;18.2;0
1250;From 35 to 44 years;Norway;Females;Towns and suburbs;0.2;56.5;21.7;0.0;21.6;0
1260;From 35 to 44 years;Poland;Females;Cities;0.3;36.7;17.1;28.4;17.5;0
1261;From 35 to 44 years;Poland;Females;Rural areas;0.2;26.5;6.6;37.2;29.5;0
1262;From 35 to 44 years;Poland;Females;Towns and suburbs;0.1;34.4;13.1;32.2;20.2;0
1267;From 35 to 44 years;Poland;Males;Rural areas;3.1;42.0;26.8;18.9;9.2;0
1272;From 35 to 44 years;Portugal;Females;Cities;9.1;26.1;14.1;17.3;33.3;0
1290;From 35 to 44 years;Romania;Males;Cities;3.5;41.4;24.0;11.4;19.6;0
1302;From 35 to 44 years;Slovakia;Females;Cities;2.2;29.7;10.2;33.5;24.4;0
1303;From 35 to 44 years;Slovakia;Females;Rural areas;0.0;31.4;11.2;24.8;32.5;0
1304;From 35 to 44 years;Slovakia;Females;Towns and suburbs;0.5;35.1;11.6;28.6;24.3;0
1308;From 35 to 44 years;Slovakia;Males;Cities;9.4;37.2;23.4;22.3;7.7;0
1310;From 35 to 44 years;Slovakia;Males;Towns and suburbs;3.1;42.2;26.8;14.9;13.1;0
1314;From 35 to 44 years;Slovenia;Females;Cities;0.0;29.9;21.2;23.8;25.1;0
1315;From 35 to 44 years;Slovenia;Females;Rural areas;0.8;30.6;18.0;27.7;22.8;0
1316;From 35 to 44 years;Slovenia;Females;Towns and suburbs;2.7;27.5;11.9;35.5;22.4;0
1326;From 35 to 44 years;Spain;Females;Cities;4.6;22.9;22.7;17.0;32.8;0
1327;From 35 to 44 years;Spain;Females;Rural areas;4.8;22.1;17.2;19.3;36.7;0
1328;From 35 to 44 years;Spain;Females;Towns and suburbs;3.4;24.5;20.4;18.4;33.2;0
1340;From 35 to 44 years;Sweden;Females;Towns and suburbs;1.1;32.4;30.6;21.2;14.7;0
1368;From 45 to 54 years;Austria;Females;Cities;2.9;27.0;28.5;15.2;26.4;0
1369;From 45 to 54 years;Austria;Females;Rural areas;1.9;38.2;22.2;19.1;18.6;0
1370;From 45 to 54 years;Austria;Females;Towns and suburbs;2.0;39.2;27.0;16.9;14.9;0
1392;From 45 to 54 years;Bulgaria;Females;Cities;7.9;29.2;20.2;21.0;21.7;0
1404;From 45 to 54 years;Croatia;Females;Cities;1.1;21.2;17.6;24.8;35.2;0
1429;From 45 to 54 years;Czechia;Females;Rural areas;3.3;34.7;27.1;19.9;15.0;0
1430;From 45 to 54 years;Czechia;Females;Towns and suburbs;8.6;29.6;25.8;22.0;14.0;0
1452;From 45 to 54 years;Estonia;Females;Cities;0.6;35.0;18.4;35.2;10.8;0
1453;From 45 to 54 years;Estonia;Females;Rural areas;0.0;31.9;7.3;40.6;20.1;0
1454;From 45 to 54 years;Estonia;Females;Towns and suburbs;0.0;38.3;10.2;41.4;10.1;0
1459;From 45 to 54 years;Estonia;Males;Rural areas;4.0;35.8;28.0;21.4;10.8;0
1488;From 45 to 54 years;Greece;Females;Cities;0.8;25.3;21.7;17.2;35.0;0
1490;From 45 to 54 years;Greece;Females;Towns and suburbs;0.2;31.1;18.1;13.2;37.4;0
1500;From 45 to 54 years;Hungary;Females;Cities;0.8;30.3;15.3;33.9;19.7;0
1502;From 45 to 54 years;Hungary;Females;Towns and suburbs;2.6;21.8;12.7;36.5;26.4;0
1512;From 45 to 54 years;Iceland;Females;Cities;0.0;36.9;28.0;24.1;11.0;0
1513;From 45 to 54 years;Iceland;Females;Rural areas;0.0;49.4;9.3;27.9;13.4;0
1514;From 45 to 54 years;Iceland;Females;Towns and suburbs;0.0;51.4;15.8;21.2;11.6;0
1519;From 45 to 54 years;Iceland;Males;Rural areas;0.0;32.1;20.9;30.2;16.7;0
1520;From 45 to 54 years;Iceland;Males;Towns and suburbs;2.4;51.5;20.7;11.5;13.9;0
1536;From 45 to 54 years;Latvia;Females;Cities;0.7;40.6;11.5;32.3;15.0;0
1537;From 45 to 54 years;Latvia;Females;Rural areas;0.9;35.1;6.4;38.0;19.6;0
1538;From 45 to 54 years;Latvia;Females;Towns and suburbs;0.0;29.8;8.6;46.6;15.0;0
