;age;geo;sex;quant_inc;Every day;Every month;Every week;Less than once a month;Never or not in the last 12 months;clusters
1063;From 15 to 24 years;Slovenia;Males;Second quintile;0.0;30.6;31.2;17.0;21.2;3
1064;From 15 to 24 years;Slovenia;Males;Third quintile;3.3;47.1;19.5;12.7;17.4;3
1081;From 15 to 24 years;Spain;Males;First quintile;0.0;35.6;23.2;10.7;30.5;3
1082;From 15 to 24 years;Spain;Males;Fourth quintile;0.5;28.9;28.9;11.7;30.0;3
1093;From 15 to 24 years;Sweden;Females;Second quintile;0.0;35.1;28.1;22.2;14.5;3
1094;From 15 to 24 years;Sweden;Females;Third quintile;0.0;48.2;28.6;9.4;13.7;3
1102;From 15 to 24 years;Sweden;Males;Fourth quintile;0.0;52.7;24.0;11.5;11.8;3
1103;From 15 to 24 years;Sweden;Males;Second quintile;0.0;42.7;37.6;15.7;4.0;3
1104;From 15 to 24 years;Sweden;Males;Third quintile;0.0;46.4;40.2;10.2;3.1;3
1133;From 15 to 24 years;United Kingdom;Females;Second quintile;0.0;26.9;20.3;33.0;19.9;3
1134;From 15 to 24 years;United Kingdom;Females;Third quintile;0.0;30.6;28.8;22.5;18.1;3
1140;From 25 to 34 years;Austria;Females;Fifth quintile;0.7;35.5;31.1;15.1;17.6;3
1142;From 25 to 34 years;Austria;Females;Fourth quintile;1.3;36.9;17.3;22.9;21.7;3
1144;From 25 to 34 years;Austria;Females;Third quintile;0.0;36.1;20.2;21.8;22.0;3
1151;From 25 to 34 years;Austria;Males;First quintile;3.1;40.0;35.0;7.6;14.3;3
1160;From 25 to 34 years;Belgium;Females;Fifth quintile;2.8;37.6;36.0;13.2;10.4;3
1162;From 25 to 34 years;Belgium;Females;Fourth quintile;0.7;36.6;28.8;21.1;12.7;3
1163;From 25 to 34 years;Belgium;Females;Second quintile;1.3;35.9;28.0;7.2;27.5;3
1180;From 25 to 34 years;Bulgaria;Females;Fifth quintile;3.9;50.3;18.6;15.2;12.0;3
1182;From 25 to 34 years;Bulgaria;Females;Fourth quintile;4.3;48.8;12.9;9.4;24.6;3
1191;From 25 to 34 years;Bulgaria;Males;First quintile;15.0;31.1;25.1;4.7;24.1;3
1192;From 25 to 34 years;Bulgaria;Males;Fourth quintile;11.4;48.6;25.6;7.3;7.2;3
1193;From 25 to 34 years;Bulgaria;Males;Second quintile;5.9;31.9;20.4;17.3;24.5;3
1194;From 25 to 34 years;Bulgaria;Males;Third quintile;14.1;30.9;25.8;13.6;15.6;3
1210;From 25 to 34 years;Croatia;Males;Fifth quintile;9.3;40.9;21.4;8.4;20.0;3
1214;From 25 to 34 years;Croatia;Males;Third quintile;0.0;44.2;33.9;5.1;16.9;3
1231;From 25 to 34 years;Cyprus;Males;First quintile;1.3;39.7;26.0;3.5;29.6;3
1234;From 25 to 34 years;Cyprus;Males;Third quintile;1.4;35.5;31.0;7.9;24.3;3
1240;From 25 to 34 years;Czechia;Females;Fifth quintile;3.1;35.2;32.4;18.4;10.9;3
1241;From 25 to 34 years;Czechia;Females;First quintile;1.2;48.6;18.5;22.4;9.3;3
1242;From 25 to 34 years;Czechia;Females;Fourth quintile;0.6;36.1;30.9;13.1;19.3;3
1243;From 25 to 34 years;Czechia;Females;Second quintile;0.0;51.6;15.9;23.6;8.9;3
1244;From 25 to 34 years;Czechia;Females;Third quintile;0.0;49.9;18.2;14.5;17.4;3
1260;From 25 to 34 years;Denmark;Females;Fifth quintile;0.0;42.6;25.5;21.3;10.6;3
1261;From 25 to 34 years;Denmark;Females;First quintile;0.0;41.3;23.8;19.0;15.9;3
1262;From 25 to 34 years;Denmark;Females;Fourth quintile;0.0;39.4;21.1;28.2;11.3;3
1263;From 25 to 34 years;Denmark;Females;Second quintile;0.0;38.6;27.3;15.9;18.2;3
1264;From 25 to 34 years;Denmark;Females;Third quintile;0.0;32.9;21.9;32.9;12.3;3
1273;From 25 to 34 years;Denmark;Males;Second quintile;5.1;38.5;38.5;15.4;2.6;3
1280;From 25 to 34 years;Estonia;Females;Fifth quintile;0.0;35.8;24.4;27.6;12.1;3
1282;From 25 to 34 years;Estonia;Females;Fourth quintile;0.0;44.9;13.3;26.6;15.2;3
1283;From 25 to 34 years;Estonia;Females;Second quintile;0.0;41.5;22.8;22.2;13.5;3
1284;From 25 to 34 years;Estonia;Females;Third quintile;0.0;39.5;9.1;39.5;11.8;3
1292;From 25 to 34 years;Estonia;Males;Fourth quintile;2.7;40.6;35.8;16.6;4.3;3
1293;From 25 to 34 years;Estonia;Males;Second quintile;0.0;39.7;28.7;23.5;8.1;3
1294;From 25 to 34 years;Estonia;Males;Third quintile;2.2;35.8;33.6;21.4;7.0;3
1300;From 25 to 34 years;Finland;Females;Fifth quintile;0.0;26.5;37.7;30.0;5.8;3
1301;From 25 to 34 years;Finland;Females;First quintile;2.7;43.0;17.9;23.7;12.7;3
1302;From 25 to 34 years;Finland;Females;Fourth quintile;0.0;36.9;24.1;26.8;12.2;3
1303;From 25 to 34 years;Finland;Females;Second quintile;0.0;39.1;21.0;31.7;8.1;3
1304;From 25 to 34 years;Finland;Females;Third quintile;0.9;42.9;20.2;25.9;10.1;3
1306;From 25 to 34 years;Finland;Males;First quintile;0.0;38.1;27.4;12.1;22.4;3
1320;From 25 to 34 years;Germany;Females;Fifth quintile;0.8;34.8;37.7;15.0;11.8;3
1321;From 25 to 34 years;Germany;Females;First quintile;2.2;29.8;24.4;21.6;22.0;3
1322;From 25 to 34 years;Germany;Females;Fourth quintile;1.9;35.4;27.2;20.1;15.3;3
1323;From 25 to 34 years;Germany;Females;Second quintile;1.4;32.6;28.1;24.2;13.8;3
1324;From 25 to 34 years;Germany;Females;Third quintile;1.1;35.0;26.1;22.5;15.3;3
1340;From 25 to 34 years;Greece;Females;Fifth quintile;0.0;44.5;24.8;7.6;23.1;3
1342;From 25 to 34 years;Greece;Females;Fourth quintile;0.7;36.9;20.2;15.2;26.9;3
1343;From 25 to 34 years;Greece;Females;Second quintile;0.0;36.4;18.9;13.4;31.3;3
1344;From 25 to 34 years;Greece;Females;Third quintile;2.6;52.1;14.5;9.7;21.2;3
1370;From 25 to 34 years;Hungary;Males;Fifth quintile;5.7;31.2;32.9;22.4;7.9;3
1372;From 25 to 34 years;Hungary;Males;Fourth quintile;4.5;28.5;33.2;23.5;10.3;3
1373;From 25 to 34 years;Hungary;Males;Second quintile;8.0;27.8;18.1;29.5;16.5;3
1374;From 25 to 34 years;Hungary;Males;Third quintile;6.7;36.9;18.8;22.7;14.8;3
1380;From 25 to 34 years;Iceland;Females;Fifth quintile;0.0;31.5;13.5;47.4;7.6;3
1381;From 25 to 34 years;Iceland;Females;First quintile;0.0;41.4;8.9;46.8;3.0;3
1382;From 25 to 34 years;Iceland;Females;Fourth quintile;0.0;42.7;15.6;39.7;2.0;3
1383;From 25 to 34 years;Iceland;Females;Second quintile;0.0;45.4;9.3;38.2;7.2;3
1384;From 25 to 34 years;Iceland;Females;Third quintile;0.0;34.4;15.9;40.9;8.8;3
1390;From 25 to 34 years;Iceland;Males;Fifth quintile;0.0;55.6;29.1;12.6;2.8;3
1391;From 25 to 34 years;Iceland;Males;First quintile;0.0;38.0;30.8;19.3;11.9;3
1392;From 25 to 34 years;Iceland;Males;Fourth quintile;0.0;50.4;27.7;6.2;15.6;3
1393;From 25 to 34 years;Iceland;Males;Second quintile;0.0;36.9;28.2;30.2;4.7;3
1394;From 25 to 34 years;Iceland;Males;Third quintile;2.0;50.4;18.6;23.5;5.4;3
1400;From 25 to 34 years;Ireland;Females;Fifth quintile;0.0;37.4;31.5;19.5;11.6;3
1401;From 25 to 34 years;Ireland;Females;First quintile;0.0;47.3;32.6;13.0;7.0;3
1402;From 25 to 34 years;Ireland;Females;Fourth quintile;0.0;41.9;32.6;15.2;10.3;3
1403;From 25 to 34 years;Ireland;Females;Second quintile;0.0;37.9;28.2;19.9;14.1;3
1404;From 25 to 34 years;Ireland;Females;Third quintile;0.0;33.3;36.3;19.0;11.4;3
1411;From 25 to 34 years;Ireland;Males;First quintile;1.2;32.9;36.6;11.6;17.7;3
1413;From 25 to 34 years;Ireland;Males;Second quintile;3.4;38.3;38.5;12.2;7.5;3
1420;From 25 to 34 years;Latvia;Females;Fifth quintile;0.6;41.2;21.4;23.2;13.7;3
1421;From 25 to 34 years;Latvia;Females;First quintile;0.0;38.6;3.4;41.3;16.8;3
1422;From 25 to 34 years;Latvia;Females;Fourth quintile;0.0;36.8;10.8;33.5;18.9;3
1424;From 25 to 34 years;Latvia;Females;Third quintile;0.0;43.3;9.1;30.2;17.4;3
1430;From 25 to 34 years;Latvia;Males;Fifth quintile;1.6;45.0;30.4;16.4;6.6;3
1431;From 25 to 34 years;Latvia;Males;First quintile;9.0;38.2;28.7;13.7;10.3;3
1432;From 25 to 34 years;Latvia;Males;Fourth quintile;0.0;42.7;24.5;26.3;6.6;3
1433;From 25 to 34 years;Latvia;Males;Second quintile;0.0;56.9;19.1;18.4;5.7;3
1434;From 25 to 34 years;Latvia;Males;Third quintile;0.8;50.1;23.1;9.8;16.3;3
1440;From 25 to 34 years;Lithuania;Females;Fifth quintile;0.0;51.4;7.8;25.4;15.4;3
1441;From 25 to 34 years;Lithuania;Females;First quintile;0.0;43.3;5.7;35.2;15.8;3
1442;From 25 to 34 years;Lithuania;Females;Fourth quintile;0.0;44.6;6.2;31.2;18.0;3
1443;From 25 to 34 years;Lithuania;Females;Second quintile;0.0;42.3;16.7;35.0;6.0;3
1444;From 25 to 34 years;Lithuania;Females;Third quintile;0.0;51.9;0.0;37.7;10.4;3
1450;From 25 to 34 years;Lithuania;Males;Fifth quintile;2.0;56.3;18.9;18.8;4.0;3
1451;From 25 to 34 years;Lithuania;Males;First quintile;0.0;48.6;39.2;4.0;8.2;3
1452;From 25 to 34 years;Lithuania;Males;Fourth quintile;0.0;63.1;21.3;8.9;6.7;3
1453;From 25 to 34 years;Lithuania;Males;Second quintile;0.0;44.1;33.5;18.9;3.5;3
1454;From 25 to 34 years;Lithuania;Males;Third quintile;0.0;52.0;27.4;10.0;10.6;3
1460;From 25 to 34 years;Luxembourg;Females;Fifth quintile;2.3;35.0;32.6;9.1;20.9;3
1463;From 25 to 34 years;Luxembourg;Females;Second quintile;0.0;27.0;27.9;17.2;28.0;3
1464;From 25 to 34 years;Luxembourg;Females;Third quintile;1.4;32.4;35.1;15.5;15.6;3
1471;From 25 to 34 years;Luxembourg;Males;First quintile;2.5;31.7;33.4;8.0;24.5;3
1480;From 25 to 34 years;Malta;Females;Fifth quintile;0.0;41.0;35.6;6.1;17.2;3
1484;From 25 to 34 years;Malta;Females;Third quintile;3.0;38.0;25.4;16.6;17.1;3
1493;From 25 to 34 years;Malta;Males;Second quintile;7.9;41.3;33.5;10.6;6.7;3
1510;From 25 to 34 years;Norway;Females;Fifth quintile;0.0;67.6;26.7;0.0;5.7;3
1511;From 25 to 34 years;Norway;Females;First quintile;0.0;52.6;19.3;0.0;28.0;3
1512;From 25 to 34 years;Norway;Females;Fourth quintile;0.0;68.3;16.6;0.0;15.2;3
1513;From 25 to 34 years;Norway;Females;Second quintile;0.0;53.5;13.2;0.0;33.4;3
1514;From 25 to 34 years;Norway;Females;Third quintile;0.0;57.6;22.7;0.0;19.7;3
1520;From 25 to 34 years;Norway;Males;Fifth quintile;3.7;48.1;38.8;0.0;9.3;3
1521;From 25 to 34 years;Norway;Males;First quintile;1.8;48.1;32.4;0.0;17.7;3
1522;From 25 to 34 years;Norway;Males;Fourth quintile;0.0;53.2;38.6;0.0;8.1;3
1523;From 25 to 34 years;Norway;Males;Second quintile;1.6;69.9;15.4;0.0;13.0;3
1524;From 25 to 34 years;Norway;Males;Third quintile;1.0;59.3;33.5;0.0;6.2;3
1530;From 25 to 34 years;Poland;Females;Fifth quintile;0.3;33.9;20.3;22.8;22.8;3
1541;From 25 to 34 years;Poland;Males;First quintile;6.1;42.4;22.6;17.6;11.3;3
1542;From 25 to 34 years;Poland;Males;Fourth quintile;3.5;43.0;29.8;18.2;5.5;3
1543;From 25 to 34 years;Poland;Males;Second quintile;4.2;41.9;30.5;14.2;9.3;3
1544;From 25 to 34 years;Poland;Males;Third quintile;2.3;42.1;27.2;17.0;11.4;3
1562;From 25 to 34 years;Portugal;Males;Fourth quintile;6.5;38.3;35.8;11.2;8.1;3
1580;From 25 to 34 years;Romania;Males;Fifth quintile;1.8;43.8;24.2;12.4;17.8;3
1582;From 25 to 34 years;Romania;Males;Fourth quintile;4.2;39.5;26.0;7.9;22.3;3
1583;From 25 to 34 years;Romania;Males;Second quintile;5.8;33.5;31.0;9.8;19.9;3
1584;From 25 to 34 years;Romania;Males;Third quintile;3.0;28.8;32.9;17.8;17.5;3
1600;From 25 to 34 years;Slovakia;Females;Fifth quintile;0.7;36.8;13.3;24.5;24.6;3
1604;From 25 to 34 years;Slovakia;Females;Third quintile;0.0;33.6;8.9;36.8;20.6;3
1610;From 25 to 34 years;Slovakia;Males;Fifth quintile;3.4;37.0;30.2;14.4;14.9;3
1611;From 25 to 34 years;Slovakia;Males;First quintile;9.7;36.7;25.2;11.3;17.2;3
1612;From 25 to 34 years;Slovakia;Males;Fourth quintile;1.0;36.8;22.2;26.2;13.9;3
1613;From 25 to 34 years;Slovakia;Males;Second quintile;3.6;48.4;16.7;22.1;9.2;3
1614;From 25 to 34 years;Slovakia;Males;Third quintile;0.0;40.8;30.3;18.5;10.4;3
1620;From 25 to 34 years;Slovenia;Females;Fifth quintile;1.2;31.3;34.5;23.3;9.7;3
1622;From 25 to 34 years;Slovenia;Females;Fourth quintile;0.0;37.9;22.4;23.6;16.2;3
1623;From 25 to 34 years;Slovenia;Females;Second quintile;1.3;39.0;11.6;19.6;28.5;3
1624;From 25 to 34 years;Slovenia;Females;Third quintile;0.0;32.0;18.4;27.6;22.1;3
1631;From 25 to 34 years;Slovenia;Males;First quintile;10.9;33.2;17.7;18.4;19.8;3
1642;From 25 to 34 years;Spain;Females;Fourth quintile;1.3;33.7;27.3;15.2;22.4;3
1651;From 25 to 34 years;Spain;Males;First quintile;5.6;28.7;24.8;17.0;23.9;3
1660;From 25 to 34 years;Sweden;Females;Fifth quintile;0.0;32.4;25.4;30.8;11.4;3
1662;From 25 to 34 years;Sweden;Females;Fourth quintile;0.0;34.0;33.5;21.1;11.3;3
1663;From 25 to 34 years;Sweden;Females;Second quintile;0.0;27.9;26.0;20.9;25.2;3
1664;From 25 to 34 years;Sweden;Females;Third quintile;0.7;37.9;24.0;20.7;16.7;3
1671;From 25 to 34 years;Sweden;Males;First quintile;1.4;34.7;26.5;19.6;17.7;3
1672;From 25 to 34 years;Sweden;Males;Fourth quintile;0.0;45.4;38.3;11.0;5.3;3
1673;From 25 to 34 years;Sweden;Males;Second quintile;0.0;32.2;35.4;15.7;16.7;3
1674;From 25 to 34 years;Sweden;Males;Third quintile;2.6;43.0;30.6;15.0;8.8;3
1703;From 25 to 34 years;United Kingdom;Females;Second quintile;1.3;30.4;23.8;22.2;22.2;3
1710;From 35 to 44 years;Austria;Females;Fifth quintile;1.1;40.5;32.6;15.9;9.9;3
1711;From 35 to 44 years;Austria;Females;First quintile;0.2;35.0;16.9;25.4;22.4;3
1712;From 35 to 44 years;Austria;Females;Fourth quintile;2.0;39.3;24.7;22.8;11.2;3
1713;From 35 to 44 years;Austria;Females;Second quintile;1.5;36.2;11.2;28.0;23.0;3
1714;From 35 to 44 years;Austria;Females;Third quintile;0.7;43.9;19.5;21.3;14.5;3
1733;From 35 to 44 years;Belgium;Females;Second quintile;7.4;27.0;29.9;16.2;19.4;3
1752;From 35 to 44 years;Bulgaria;Females;Fourth quintile;5.7;45.6;14.0;10.6;24.1;3
1760;From 35 to 44 years;Bulgaria;Males;Fifth quintile;7.5;43.2;27.8;6.3;15.3;3
1763;From 35 to 44 years;Bulgaria;Males;Second quintile;20.4;37.0;29.2;8.6;4.8;3
1784;From 35 to 44 years;Croatia;Males;Third quintile;6.8;31.9;23.3;10.2;27.8;3
1800;From 35 to 44 years;Cyprus;Males;Fifth quintile;3.4;40.9;31.2;7.2;17.3;3
1802;From 35 to 44 years;Cyprus;Males;Fourth quintile;0.0;35.5;34.7;9.7;20.1;3
1803;From 35 to 44 years;Cyprus;Males;Second quintile;7.5;31.2;21.9;11.2;28.3;3
1804;From 35 to 44 years;Cyprus;Males;Third quintile;6.6;37.9;28.3;7.7;19.4;3
1811;From 35 to 44 years;Czechia;Females;First quintile;1.1;37.6;23.4;15.9;21.9;3
1812;From 35 to 44 years;Czechia;Females;Fourth quintile;1.8;33.0;34.0;19.5;11.7;3
1813;From 35 to 44 years;Czechia;Females;Second quintile;1.9;34.6;29.2;17.7;16.6;3
1814;From 35 to 44 years;Czechia;Females;Third quintile;0.7;34.9;26.9;24.4;13.2;3
1832;From 35 to 44 years;Denmark;Females;Fourth quintile;0.0;41.0;35.2;16.2;7.6;3
1834;From 35 to 44 years;Denmark;Females;Third quintile;2.6;37.7;24.7;26.0;9.1;3
1850;From 35 to 44 years;Estonia;Females;Fifth quintile;0.0;38.5;17.3;34.2;10.0;3
1851;From 35 to 44 years;Estonia;Females;First quintile;1.6;29.7;12.7;38.5;17.6;3
1852;From 35 to 44 years;Estonia;Females;Fourth quintile;0.0;39.8;22.0;31.0;7.2;3
1853;From 35 to 44 years;Estonia;Females;Second quintile;0.0;34.8;13.0;43.7;8.5;3
1854;From 35 to 44 years;Estonia;Females;Third quintile;0.0;41.4;12.3;34.8;11.4;3
1861;From 35 to 44 years;Estonia;Males;First quintile;5.3;42.3;29.1;12.6;10.7;3
1862;From 35 to 44 years;Estonia;Males;Fourth quintile;4.7;35.5;37.8;16.5;5.4;3
1864;From 35 to 44 years;Estonia;Males;Third quintile;8.1;27.7;22.6;22.6;19.1;3
1871;From 35 to 44 years;Finland;Females;First quintile;2.2;33.8;27.5;29.6;6.8;3
1872;From 35 to 44 years;Finland;Females;Fourth quintile;1.0;39.5;34.1;20.3;5.1;3
1873;From 35 to 44 years;Finland;Females;Second quintile;1.5;25.9;25.8;38.3;8.4;3
1874;From 35 to 44 years;Finland;Females;Third quintile;1.2;42.8;26.5;20.0;9.5;3
1891;From 35 to 44 years;Germany;Females;First quintile;3.1;25.8;28.0;21.7;21.4;3
1892;From 35 to 44 years;Germany;Females;Fourth quintile;4.2;32.3;33.6;17.2;12.7;3
