,age,geo,sex,isced11,Frequent drinkers,Non-drinkers,Occasional drinkers,clusters
50,75 years or over,Cyprus,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-1.0092949375625657,1.820006924803458,-1.1986158384087076,0
54,75 years or over,Cyprus,Males,"Less than primary, primary and lower secondary education (levels 0-2)",-0.05267654207183279,1.1018403449800043,-0.7322176735124569,0
55,75 years or over,Cyprus,Males,Tertiary education (levels 5-8),-0.229098155848933,1.0176852914978127,-0.3734501843386105,0
56,75 years or over,Cyprus,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),0.4650721171988626,0.4150882224637027,-0.4079364094079605,1
60,75 years or over,Czechia,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-0.7318894390469487,1.1183155404882672,-0.019649307051254186,0
61,75 years or over,Czechia,Females,Tertiary education (levels 5-8),-0.3190018841823102,0.21547351341064636,0.825946405260408,2
62,75 years or over,Czechia,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-0.7019748505165955,0.8284074772394767,0.4252698451419205,0
66,75 years or over,Czechia,Males,"Less than primary, primary and lower secondary education (levels 0-2)",0.4451080712406535,0.4509567611050272,-0.41944224428113813,1
67,75 years or over,Czechia,Males,Tertiary education (levels 5-8),1.2102434587097233,-0.6804706253634387,-0.5232362620204959,1
68,75 years or over,Czechia,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1.11553182862265,-0.20325196276555235,-0.7497227133897406,1
72,75 years or over,Denmark,Females,"Less than primary, primary and lower secondary education (levels 0-2)",0.6440757995060652,-0.15980664906256842,-0.036668100142247646,1
73,75 years or over,Denmark,Females,Tertiary education (levels 5-8),1.1052713111644266,-0.6553677678131201,-0.36196508963214585,1
74,75 years or over,Denmark,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),0.9379304391705967,-0.6804706253634387,-0.07641644406401157,1
78,75 years or over,Denmark,Males,"Less than primary, primary and lower secondary education (levels 0-2)",1.2269617286877745,-0.6388600472433539,-0.5868876951235071,1
79,75 years or over,Denmark,Males,Tertiary education (levels 5-8),1.9283777144622176,-1.1446223839418022,-1.6117733971537485,1
80,75 years or over,Denmark,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1.7981200828505028,-1.2048650309703375,-1.318785872019572,1
84,75 years or over,Estonia,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-1.706765041755821,1.7519584480380441,-0.5810940187031473,0
85,75 years or over,Estonia,Females,Tertiary education (levels 5-8),-1.6822473031195415,1.0004833539456317,0.8536192119502173,0
86,75 years or over,Estonia,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-1.9439920912916566,1.176697307728815,0.6539470243546698,0
90,75 years or over,Estonia,Males,"Less than primary, primary and lower secondary education (levels 0-2)",-0.7806454829216817,0.41960645987323353,1.0413085138103342,2
91,75 years or over,Estonia,Males,Tertiary education (levels 5-8),-0.5414654031750481,0.042828275439507395,1.239157137345895,2
92,75 years or over,Estonia,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-0.6607714308898431,0.507938385493211,0.8204095887120605,2
96,75 years or over,Finland,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-0.7379226997525946,1.1476853019739,-0.06505433063602883,0
97,75 years or over,Finland,Females,Tertiary education (levels 5-8),-0.3139295484607916,0.6009521587861352,0.3468536311252846,0
98,75 years or over,Finland,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-1.1773989318551867,1.137935670745822,0.3131926306149715,0
99,75 years or over,Finland,Males,"Less than primary, primary and lower secondary education (levels 0-2)",0.002401211513548585,0.7371497908846124,-0.2188216208061384,0
100,75 years or over,Finland,Males,Tertiary education (levels 5-8),0.8081932978493592,0.05375445932578778,-0.5001326722865651,1
101,75 years or over,Finland,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),0.6630564554754125,0.14932332326149744,-0.3791946550362693,1
108,75 years or over,Germany,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-0.08058722866784268,0.6500130136254321,0.003027478910282823,0
109,75 years or over,Germany,Females,Tertiary education (levels 5-8),0.8337243443654536,-0.08185775638326659,-0.4021854576416994,1
110,75 years or over,Germany,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),0.24352802892138006,0.26486177264113914,0.087916342132654,2
114,75 years or over,Germany,Males,"Less than primary, primary and lower secondary education (levels 0-2)",1.1867404985916876,-0.40304941743715345,-0.6972506989337146,1
115,75 years or over,Germany,Males,Tertiary education (levels 5-8),1.5532527439497932,-1.132906982560251,-0.8785509744612467,1
116,75 years or over,Germany,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1.2635414987833098,-0.5433633315111491,-0.720555671476516,1
120,75 years or over,Greece,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-1.0875381046958896,1.820006924803458,-1.138886614340443,0
121,75 years or over,Greece,Females,Tertiary education (levels 5-8),-0.16109767928981167,0.5294435186685746,0.26825973178694323,2
122,75 years or over,Greece,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-1.1318285442358371,1.621153802102939,-0.6507155097985917,0
126,75 years or over,Greece,Males,"Less than primary, primary and lower secondary education (levels 0-2)",0.4290605737701432,0.7410287075232326,-0.8081792953239028,0
127,75 years or over,Greece,Males,Tertiary education (levels 5-8),1.1766326096466648,-0.16594745415358392,-0.8903041400503201,1
128,75 years or over,Greece,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),0.48096826560193295,0.2550836480245916,-0.23024519491105064,1
132,75 years or over,Hungary,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-0.7622290024893817,1.5559681592030408,-0.8316088625565682,0
133,75 years or over,Hungary,Females,Tertiary education (levels 5-8),-0.07125537153180371,0.6540510257054871,-0.008308789715315549,0
134,75 years or over,Hungary,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-0.8688638055939191,1.443509887394544,-0.5001326722865651,0
138,75 years or over,Hungary,Males,"Less than primary, primary and lower secondary education (levels 0-2)",0.7492568747752252,0.62970794657094,-1.1210113102987274,1
139,75 years or over,Hungary,Males,Tertiary education (levels 5-8),0.7306692194854993,-0.35426087846285237,0.003027478910282823,1
140,75 years or over,Hungary,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),0.5904505844055116,0.7293712390776611,-1.0259983602904577,1
144,75 years or over,Iceland,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-1.579953794470978,1.4029402603208019,0.087916342132654,0
145,75 years or over,Iceland,Females,Tertiary education (levels 5-8),-1.9439920912916566,-2.428056151860982,-2.3527713147426024,1
146,75 years or over,Iceland,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-0.8817935976443847,1.1183155404882672,0.11616141587871776,0
150,75 years or over,Iceland,Males,"Less than primary, primary and lower secondary education (levels 0-2)",-0.43311167145296137,0.9866290560081364,-0.09915387011861038,0
151,75 years or over,Iceland,Males,Tertiary education (levels 5-8),-0.6203139838500942,0.8134568776046005,0.35806669061272833,0
152,75 years or over,Iceland,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-0.4384192488815222,0.455396393491412,0.6650665164059966,2
156,75 years or over,Ireland,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-0.6901235751221242,1.6050102570947131,-1.0082416043852083,0
157,75 years or over,Ireland,Females,Tertiary education (levels 5-8),0.388638356926245,0.5251602221919517,-0.4367108902653768,1
158,75 years or over,Ireland,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-0.03420897625833793,0.9016984459672089,-0.4309533499276118,0
162,75 years or over,Ireland,Males,"Less than primary, primary and lower secondary education (levels 0-2)",0.44110259771317906,0.937470853989481,-1.138886614340443,0
163,75 years or over,Ireland,Males,Tertiary education (levels 5-8),1.067456058792464,0.3177894908469955,-1.2405638867007152,1
164,75 years or over,Ireland,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),0.6440757995060652,0.56339767630693,-0.8609345499740011,1
168,75 years or over,Latvia,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-1.7450730092227948,1.7519584480380441,-0.5637216806995545,0
169,75 years or over,Latvia,Females,Tertiary education (levels 5-8),-1.612761003437799,1.124873632934532,0.6094368149832088,0
170,75 years or over,Latvia,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-1.7450730092227948,1.6050102570947131,-0.23595876114446782,0
174,75 years or over,Latvia,Males,"Less than primary, primary and lower secondary education (levels 0-2)",-1.0948360383402027,1.1573951868992942,0.22326685699157287,0
175,75 years or over,Latvia,Males,Tertiary education (levels 5-8),-0.42252947469389884,0.13372748974382095,1.0247809941444896,2
176,75 years or over,Latvia,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-1.4210002768094885,0.6621043337751468,1.2117302618229937,2
180,75 years or over,Lithuania,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-1.9439920912916566,1.7899756831128601,-0.5753017943203544,0
181,75 years or over,Lithuania,Females,Tertiary education (levels 5-8),-1.6353075515224662,1.3882905730309327,0.1443814329538335,0
182,75 years or over,Lithuania,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-1.9439920912916566,1.7442897388023395,-0.4712842390118917,0
186,75 years or over,Lithuania,Males,"Less than primary, primary and lower secondary education (levels 0-2)",-0.9748682172208483,0.8284074772394767,0.6539470243546698,0
187,75 years or over,Lithuania,Males,Tertiary education (levels 5-8),-1.0444131798255427,1.1606230518541,0.17821282587660778,0
188,75 years or over,Lithuania,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-0.365088027115359,0.6050840193177276,0.40288300800653487,2
192,75 years or over,Luxembourg,Females,"Less than primary, primary and lower secondary education (levels 0-2)",0.020548072539365803,0.9796705678284298,-0.6216805451988421,0
193,75 years or over,Luxembourg,Females,Tertiary education (levels 5-8),-1.9439920912916566,-2.428056151860982,-2.3527713147426024,1
194,75 years or over,Luxembourg,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),0.524346491638017,0.4014728697386933,-0.4712842390118917,1
198,75 years or over,Luxembourg,Males,"Less than primary, primary and lower secondary education (levels 0-2)",0.9697783630524126,0.17503618346366268,-0.9020644849901261,1
199,75 years or over,Luxembourg,Males,Tertiary education (levels 5-8),2.0213155226835076,-0.705998292778711,-2.102758666329829,1
200,75 years or over,Luxembourg,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1.768097252743037,-0.5824423665810916,-1.6551474021083987,1
204,75 years or over,Malta,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-1.0586650030125857,1.5504611291870736,-0.5579337810685783,0
205,75 years or over,Malta,Females,Tertiary education (levels 5-8),-1.9439920912916566,-2.428056151860982,-2.3527713147426024,1
206,75 years or over,Malta,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-1.9439920912916566,-2.428056151860982,-2.3527713147426024,1
210,75 years or over,Malta,Males,"Less than primary, primary and lower secondary education (levels 0-2)",0.06992781836962321,0.5718010696520321,-0.06505433063602883,0
211,75 years or over,Malta,Males,Tertiary education (levels 5-8),-1.9439920912916566,-2.428056151860982,-2.3527713147426024,1
212,75 years or over,Malta,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-1.9439920912916566,-2.428056151860982,-2.3527713147426024,1
222,75 years or over,Norway,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-0.7622290024893817,1.2893726916433108,-0.2988873919783364,0
223,75 years or over,Norway,Females,Tertiary education (levels 5-8),0.5164956655431487,0.6500130136254321,-0.7964746803368533,1
224,75 years or over,Norway,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-0.21439066364087409,0.9726909776356231,-0.32180721900837284,0
228,75 years or over,Norway,Males,"Less than primary, primary and lower secondary education (levels 0-2)",-0.16109767928981167,0.8097034706541228,-0.1276006583802415,0
229,75 years or over,Norway,Males,Tertiary education (levels 5-8),0.8699378357560649,0.042828275439507395,-0.5868876951235071,1
230,75 years or over,Norway,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),0.2814072556215385,0.8246792291516749,-0.7205556714765162,0
234,75 years or over,Poland,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-1.5907617415924389,1.9818555023027893,-1.1926326652190768,0
235,75 years or over,Poland,Females,Tertiary education (levels 5-8),-1.1169288774891437,1.2863123185761451,0.014359521755828044,0
236,75 years or over,Poland,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-1.7320838332471826,1.6610814283604418,-0.367706997250646,0
240,75 years or over,Poland,Males,"Less than primary, primary and lower secondary education (levels 0-2)",-1.1243612388822004,1.0785800257416316,0.3804820001593888,0
241,75 years or over,Poland,Males,Tertiary education (levels 5-8),-0.05267654207183279,0.6009521587861352,0.048330521370228176,0
242,75 years or over,Poland,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-0.8882911265943684,0.9016984459672089,0.475589079992093,0
246,75 years or over,Portugal,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-0.15151196441496848,1.5394115865623723,-1.4765978949483065,0
247,75 years or over,Portugal,Females,Tertiary education (levels 5-8),0.043087346262178416,1.2554959168943278,-1.1448494347126459,0
248,75 years or over,Portugal,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1.345683887423799,0.06461680966812716,-1.4339176463939727,1
252,75 years or over,Portugal,Males,"Less than primary, primary and lower secondary education (levels 0-2)",1.416875939374622,0.2550836480245916,-1.7927988750968233,1
253,75 years or over,Portugal,Males,Tertiary education (levels 5-8),1.8100847511627864,-0.5052311303334095,-1.7927988750968233,1
254,75 years or over,Portugal,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1.345683887423799,-0.5983524354554609,-0.8257489107511281,1
258,75 years or over,Romania,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-1.411786946373767,1.9225745801642073,-1.15081446753281,0
259,75 years or over,Romania,Females,Tertiary education (levels 5-8),-1.9439920912916566,1.9606603620021832,-0.9786862533206165,0
260,75 years or over,Romania,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-1.8750201526518697,1.979508460949511,-1.055633029111985,0
264,75 years or over,Romania,Males,"Less than primary, primary and lower secondary education (levels 0-2)",-0.3088666568793853,1.0347606047709854,-0.32180721900837284,0
265,75 years or over,Romania,Males,Tertiary education (levels 5-8),-0.8817935976443849,1.3258026286689084,-0.26454452807259027,0
266,75 years or over,Romania,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-0.7318894390469484,1.0985314709647347,0.014359521755828044,0
276,75 years or over,Slovakia,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-1.7583001831880833,2.0075432020317017,-1.1806732408510168,0
277,75 years or over,Slovakia,Females,Tertiary education (levels 5-8),-1.9439920912916566,-2.428056151860982,-2.3527713147426024,1
278,75 years or over,Slovakia,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-1.393571327371563,1.5255324747556105,-0.27026529413572387,0
282,75 years or over,Slovakia,Males,"Less than primary, primary and lower secondary education (levels 0-2)",-0.21439066364087409,0.4642469432189559,0.4140781898168924,2
283,75 years or over,Slovakia,Males,Tertiary education (levels 5-8),-0.1948975772573156,0.5885080233472063,0.22326685699157287,0
284,75 years or over,Slovakia,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-0.3190018841823102,0.7410287075232326,0.1500224576921773,0
288,75 years or over,Slovenia,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-0.23401761488115094,1.0108198415735654,-0.3619650896321453,0
289,75 years or over,Slovenia,Females,Tertiary education (levels 5-8),-0.5249048928367009,0.4818345995601499,0.72061628192098,2
290,75 years or over,Slovenia,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-0.2937340557299855,0.6979762459018681,0.19511533109942003,0
294,75 years or over,Slovenia,Males,"Less than primary, primary and lower secondary education (levels 0-2)",1.16650338726953,0.042828275439507395,-1.0793775531181424,1
295,75 years or over,Slovenia,Males,Tertiary education (levels 5-8),0.6744025990653727,0.8358453251709201,-1.3248208300872637,1
296,75 years or over,Slovenia,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1.1291778820420435,-0.3680542704487542,-0.6332900223392077,1
300,75 years or over,Spain,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-0.6607714308898431,1.713392144644229,-1.28263053447397,0
301,75 years or over,Spain,Females,Tertiary education (levels 5-8),0.40485990515627074,0.507938385493211,-0.436710890265377,1
302,75 years or over,Spain,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-0.07125537153180371,1.0918997595272903,-0.7030745786796633,0
306,75 years or over,Spain,Males,"Less than primary, primary and lower secondary education (levels 0-2)",0.8337243443654536,0.7098025650086626,-1.3853181397033918,1
307,75 years or over,Spain,Males,Tertiary education (levels 5-8),1.306424638014214,0.08615365329225981,-1.3792560576877342,1
308,75 years or over,Spain,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),0.6554748112194168,0.6500130136254321,-1.008241604385208,1
312,75 years or over,Sweden,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-0.26869651135355416,0.8284074772394767,-0.025321166217241876,0
313,75 years or over,Sweden,Females,Tertiary education (levels 5-8),0.6440757995060652,0.05375445932578778,-0.24738946988822774,1
314,75 years or over,Sweden,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),0.1273370192591031,0.6621043337751468,-0.27026529413572387,0
318,75 years or over,Sweden,Males,"Less than primary, primary and lower secondary education (levels 0-2)",0.5400008015523323,0.2939072862112568,-0.36196508963214585,1
319,75 years or over,Sweden,Males,Tertiary education (levels 5-8),1.3260927347288753,-1.0647464345239734,-0.5001326722865651,1
320,75 years or over,Sweden,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),0.6894821145029922,0.05375445932578778,-0.3160754011335543,1
324,75 years or over,Türkiye,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-1.9439920912916566,2.400024630045762,-2.238362740017907,0
325,75 years or over,Türkiye,Females,Tertiary education (levels 5-8),-1.9439920912916566,-2.428056151860982,-2.3527713147426024,1
326,75 years or over,Türkiye,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-1.9439920912916566,-2.428056151860982,-2.3527713147426024,1
330,75 years or over,Türkiye,Males,"Less than primary, primary and lower secondary education (levels 0-2)",-1.8286183973329546,2.3529902266981644,-2.1294513578615684,0
331,75 years or over,Türkiye,Males,Tertiary education (levels 5-8),-1.2243843039247027,2.2352303752114224,-2.1495941852741653,0
332,75 years or over,Türkiye,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-1.4682011779827495,2.0718855890848626,-1.5010548781628343,0
336,75 years or over,United Kingdom,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-0.05267654207183279,0.8944757814453159,-0.3906874639515676,0
337,75 years or over,United Kingdom,Females,Tertiary education (levels 5-8),0.9873748275613665,-0.07016225863804959,-0.6623400822009008,1
338,75 years or over,United Kingdom,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),0.8264451951038829,0.13372748974382095,-0.6158780441844558,1
339,75 years or over,United Kingdom,Males,"Less than primary, primary and lower secondary education (levels 0-2)",0.8155033625142859,0.18013756106303605,-0.6507155097985917,1
340,75 years or over,United Kingdom,Males,Tertiary education (levels 5-8),1.5720045476564533,-0.45333318403187767,-1.3610864956869584,1
341,75 years or over,United Kingdom,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1.2998513287508742,-0.3680542704487542,-0.9314971798815904,1
342,From 15 to 24 years,Austria,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-0.5139271220962128,0.25997881489165703,0.980676551127583,2
343,From 15 to 24 years,Austria,Females,Tertiary education (levels 5-8),-0.27868434956030935,-0.8406960932566706,1.654103684389061,2
344,From 15 to 24 years,Austria,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-0.229098155848933,-0.37499421457333176,1.2830060727629624,2
348,From 15 to 24 years,Austria,Males,"Less than primary, primary and lower secondary education (levels 0-2)",-0.025016217185091814,0.17503618346366268,0.5314176934128448,2
349,From 15 to 24 years,Austria,Males,Tertiary education (levels 5-8),1.0153880767053136,-1.2172654378381698,0.09921739911435432,1
350,From 15 to 24 years,Austria,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),0.5749960803950016,-0.869206198207635,0.592732064959895,2
354,From 15 to 24 years,Belgium,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-0.3088666568793853,0.32253159876183124,0.692851287661131,2
355,From 15 to 24 years,Belgium,Females,Tertiary education (levels 5-8),0.7455459305883991,-0.46799088164131,0.07661122401348776,1
356,From 15 to 24 years,Belgium,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),0.3723453692171005,0.26486177264113914,-0.08209914605228327,2
360,From 15 to 24 years,Belgium,Males,"Less than primary, primary and lower secondary education (levels 0-2)",0.48889163355784276,0.512257233296151,-0.5695110167240133,1
361,From 15 to 24 years,Belgium,Males,Tertiary education (levels 5-8),1.0743543853566677,-1.0983830534318089,-0.05369658426897543,1
362,From 15 to 24 years,Belgium,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),0.9979000039662268,-0.16594745415358392,-0.5926828288694755,1
366,From 15 to 24 years,Bulgaria,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-1.6584505714774223,1.8100336260896783,-0.7380510754937989,0
367,From 15 to 24 years,Bulgaria,Females,Tertiary education (levels 5-8),-1.9439920912916566,-2.428056151860982,-2.3527713147426024,1
368,From 15 to 24 years,Bulgaria,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-0.7379226997525946,0.9124894387720314,0.3300272385404541,0
372,From 15 to 24 years,Bulgaria,Males,"Less than primary, primary and lower secondary education (levels 0-2)",-0.44906775247935155,1.4549821784888957,-0.9432831640829439,0
373,From 15 to 24 years,Bulgaria,Males,Tertiary education (levels 5-8),-1.9439920912916566,-2.428056151860982,-2.3527713147426024,1
374,From 15 to 24 years,Bulgaria,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-0.21439066364087409,0.36471050284504225,0.5425732615273685,2
378,From 15 to 24 years,Croatia,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-1.5074599761905894,1.626512838680614,-0.4021854576416994,0
379,From 15 to 24 years,Croatia,Females,Tertiary education (levels 5-8),-1.2403875232547075,1.027945526676498,0.5481497882662729,0
380,From 15 to 24 years,Croatia,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-1.3062909391354012,0.7756335574307458,0.9751602957276272,2
384,From 15 to 24 years,Croatia,Males,"Less than primary, primary and lower secondary education (levels 0-2)",-1.2243843039247027,1.4290957639735122,-0.1845791114788361,0
385,From 15 to 24 years,Croatia,Males,Tertiary education (levels 5-8),-0.9013527109325082,0.44204852334290007,1.123852327755007,2
386,From 15 to 24 years,Croatia,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-0.4812858705512965,0.22545195051043931,0.9861920923095989,2
390,From 15 to 24 years,Cyprus,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-1.9439920912916566,2.2309355321531386,-1.7112019906160247,0
391,From 15 to 24 years,Cyprus,Females,Tertiary education (levels 5-8),-0.3038131499968401,0.7870486181679501,0.07095713540058564,0
392,From 15 to 24 years,Cyprus,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-1.0948360383402027,1.531093133277702,-0.48858918704305226,0
396,From 15 to 24 years,Cyprus,Males,"Less than primary, primary and lower secondary education (levels 0-2)",-1.5907617415924389,1.558717266266612,-0.2188216208061384,0
397,From 15 to 24 years,Cyprus,Males,Tertiary education (levels 5-8),0.44510807124065316,-0.3819633917272083,0.4476426402563167,1
398,From 15 to 24 years,Cyprus,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-0.13719158023909842,0.26486177264113914,0.5648743609973972,2
402,From 15 to 24 years,Czechia,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-0.8117099249556,0.8980899957392257,0.4140781898168924,0
403,From 15 to 24 years,Czechia,Females,Tertiary education (levels 5-8),0.632644662358553,-2.428056151860982,1.0082471415164163,2
