;age;geo;sex;isced11;Every day;Every month;Every week;Less than once a month;Never or not in the last 12 months;clusters
307;75 years or over;Spain;Males;Tertiary education (levels 5-8);48.7;9.1;13.6;6.0;22.7;1
313;75 years or over;Sweden;Females;Tertiary education (levels 5-8);7.2;19.4;36.3;15.0;22.1;1
318;75 years or over;Sweden;Males;Less than primary, primary and lower secondary education (levels 0-2);6.0;19.2;34.8;13.2;26.8;1
319;75 years or over;Sweden;Males;Tertiary education (levels 5-8);19.1;16.7;43.8;13.3;7.1;1
320;75 years or over;Sweden;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);15.7;24.2;29.0;9.0;22.1;1
337;75 years or over;United Kingdom;Females;Tertiary education (levels 5-8);24.3;11.3;28.6;15.9;19.9;1
338;75 years or over;United Kingdom;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);17.8;12.4;30.6;15.6;23.6;1
339;75 years or over;United Kingdom;Males;Less than primary, primary and lower secondary education (levels 0-2);16.3;10.9;31.8;16.5;24.5;1
340;75 years or over;United Kingdom;Males;Tertiary education (levels 5-8);29.9;8.7;40.7;6.7;14.0;1
341;75 years or over;United Kingdom;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);21.2;10.6;40.9;12.0;15.2;1
349;From 15 to 24 years;Austria;Males;Tertiary education (levels 5-8);2.2;37.4;51.5;3.1;5.8;1
355;From 15 to 24 years;Belgium;Females;Tertiary education (levels 5-8);0.0;24.5;46.2;15.6;13.8;1
356;From 15 to 24 years;Belgium;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;26.0;36.6;11.3;26.2;1
360;From 15 to 24 years;Belgium;Males;Less than primary, primary and lower secondary education (levels 0-2);0.6;19.2;38.9;9.6;31.6;1
361;From 15 to 24 years;Belgium;Males;Tertiary education (levels 5-8);3.0;30.1;52.4;7.7;6.8;1
362;From 15 to 24 years;Belgium;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);3.3;22.8;49.9;5.6;18.3;1
410;From 15 to 24 years;Czechia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);2.9;24.1;61.2;5.3;6.4;1
451;From 15 to 24 years;Germany;Females;Tertiary education (levels 5-8);0.0;33.9;47.3;11.3;7.5;1
457;From 15 to 24 years;Germany;Males;Tertiary education (levels 5-8);3.8;23.0;59.6;7.6;6.0;1
458;From 15 to 24 years;Germany;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.4;31.5;45.8;11.5;9.8;1
506;From 15 to 24 years;Ireland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;31.4;49.0;8.7;10.9;1
547;From 15 to 24 years;Malta;Females;Tertiary education (levels 5-8);0.0;35.4;46.5;6.8;11.3;1
552;From 15 to 24 years;Malta;Males;Less than primary, primary and lower secondary education (levels 0-2);2.7;24.2;42.5;10.0;20.5;1
553;From 15 to 24 years;Malta;Males;Tertiary education (levels 5-8);1.3;20.0;64.6;4.4;9.7;1
554;From 15 to 24 years;Malta;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.9;29.2;56.3;8.9;4.7;1
595;From 15 to 24 years;Portugal;Males;Tertiary education (levels 5-8);0.0;18.8;61.6;13.8;5.8;1
637;From 15 to 24 years;Slovenia;Males;Tertiary education (levels 5-8);0.0;28.2;46.9;11.3;13.6;1
649;From 15 to 24 years;Spain;Males;Tertiary education (levels 5-8);4.9;17.8;58.9;8.7;9.7;1
661;From 15 to 24 years;Sweden;Males;Tertiary education (levels 5-8);0.0;35.2;50.2;0.0;14.5;1
679;From 15 to 24 years;United Kingdom;Females;Tertiary education (levels 5-8);0.0;20.9;43.8;26.3;8.9;1
682;From 15 to 24 years;United Kingdom;Males;Tertiary education (levels 5-8);4.9;20.8;40.0;17.5;16.7;1
683;From 15 to 24 years;United Kingdom;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.1;20.5;41.3;15.0;23.1;1
691;From 25 to 34 years;Austria;Males;Tertiary education (levels 5-8);2.5;32.4;56.1;4.0;5.0;1
702;From 25 to 34 years;Belgium;Males;Less than primary, primary and lower secondary education (levels 0-2);15.9;18.2;26.3;12.8;26.8;1
703;From 25 to 34 years;Belgium;Males;Tertiary education (levels 5-8);9.6;19.1;57.9;6.2;7.2;1
704;From 25 to 34 years;Belgium;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);5.5;23.7;48.8;8.3;13.7;1
726;From 25 to 34 years;Croatia;Males;Less than primary, primary and lower secondary education (levels 0-2);9.7;12.3;35.2;7.9;34.9;1
751;From 25 to 34 years;Czechia;Males;Tertiary education (levels 5-8);4.4;31.2;56.4;5.8;2.3;1
752;From 25 to 34 years;Czechia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);6.5;27.1;51.2;7.9;7.3;1
763;From 25 to 34 years;Denmark;Males;Tertiary education (levels 5-8);3.6;35.7;49.3;5.7;5.7;1
764;From 25 to 34 years;Denmark;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);2.4;30.6;42.4;18.8;5.9;1
775;From 25 to 34 years;Estonia;Males;Tertiary education (levels 5-8);2.6;35.0;43.3;14.5;4.6;1
784;From 25 to 34 years;Finland;Males;Tertiary education (levels 5-8);0.7;30.9;46.7;11.2;10.5;1
785;From 25 to 34 years;Finland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.8;35.0;44.7;12.0;6.4;1
798;From 25 to 34 years;Germany;Males;Less than primary, primary and lower secondary education (levels 0-2);8.3;23.0;32.5;14.9;21.4;1
799;From 25 to 34 years;Germany;Males;Tertiary education (levels 5-8);2.8;26.2;58.5;6.8;5.7;1
800;From 25 to 34 years;Germany;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);5.6;25.7;48.4;11.2;9.1;1
811;From 25 to 34 years;Greece;Males;Tertiary education (levels 5-8);2.0;35.0;50.7;9.5;2.9;1
812;From 25 to 34 years;Greece;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);2.2;35.0;43.6;6.0;13.2;1
847;From 25 to 34 years;Ireland;Males;Tertiary education (levels 5-8);1.5;36.2;45.9;9.4;7.1;1
870;From 25 to 34 years;Lithuania;Males;Less than primary, primary and lower secondary education (levels 0-2);0.0;24.9;51.8;18.6;4.6;1
877;From 25 to 34 years;Luxembourg;Females;Tertiary education (levels 5-8);1.7;29.2;40.1;9.9;19.1;1
883;From 25 to 34 years;Luxembourg;Males;Tertiary education (levels 5-8);2.8;20.7;63.1;5.8;7.6;1
884;From 25 to 34 years;Luxembourg;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);5.2;27.9;51.9;7.4;7.8;1
894;From 25 to 34 years;Malta;Males;Less than primary, primary and lower secondary education (levels 0-2);7.2;36.1;42.2;6.0;8.5;1
895;From 25 to 34 years;Malta;Males;Tertiary education (levels 5-8);1.3;33.1;54.3;8.7;2.7;1
936;From 25 to 34 years;Portugal;Males;Less than primary, primary and lower secondary education (levels 0-2);19.6;22.1;35.1;8.5;14.7;1
937;From 25 to 34 years;Portugal;Males;Tertiary education (levels 5-8);8.2;29.1;46.2;11.6;4.8;1
938;From 25 to 34 years;Portugal;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);9.7;29.4;38.2;12.9;9.8;1
948;From 25 to 34 years;Romania;Males;Less than primary, primary and lower secondary education (levels 0-2);12.1;28.4;34.2;5.3;19.9;1
978;From 25 to 34 years;Slovenia;Males;Less than primary, primary and lower secondary education (levels 0-2);11.1;15.2;29.3;29.5;15.0;1
979;From 25 to 34 years;Slovenia;Males;Tertiary education (levels 5-8);3.0;31.5;48.9;8.5;8.2;1
980;From 25 to 34 years;Slovenia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);6.0;27.9;37.6;13.8;14.8;1
990;From 25 to 34 years;Spain;Males;Less than primary, primary and lower secondary education (levels 0-2);9.4;23.7;29.5;12.2;25.3;1
991;From 25 to 34 years;Spain;Males;Tertiary education (levels 5-8);6.6;27.1;46.7;10.8;8.9;1
992;From 25 to 34 years;Spain;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);4.3;26.1;36.3;20.5;12.8;1
1003;From 25 to 34 years;Sweden;Males;Tertiary education (levels 5-8);0.5;36.2;44.8;11.7;6.8;1
1021;From 25 to 34 years;United Kingdom;Females;Tertiary education (levels 5-8);2.5;23.7;42.8;14.6;16.4;1
1023;From 25 to 34 years;United Kingdom;Males;Less than primary, primary and lower secondary education (levels 0-2);8.9;24.7;33.3;11.5;21.6;1
1024;From 25 to 34 years;United Kingdom;Males;Tertiary education (levels 5-8);1.5;20.9;62.3;8.5;6.7;1
1025;From 25 to 34 years;United Kingdom;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.8;22.2;49.3;18.0;8.7;1
1033;From 35 to 44 years;Austria;Males;Tertiary education (levels 5-8);7.0;27.6;51.4;8.4;5.5;1
1034;From 35 to 44 years;Austria;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);4.1;33.9;41.6;9.8;10.6;1
1039;From 35 to 44 years;Belgium;Females;Tertiary education (levels 5-8);6.8;27.9;41.3;10.6;13.4;1
1040;From 35 to 44 years;Belgium;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);5.6;21.3;34.9;16.1;22.0;1
1044;From 35 to 44 years;Belgium;Males;Less than primary, primary and lower secondary education (levels 0-2);18.8;8.1;43.6;2.9;26.7;1
1045;From 35 to 44 years;Belgium;Males;Tertiary education (levels 5-8);14.3;13.4;60.8;4.0;7.6;1
1046;From 35 to 44 years;Belgium;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);10.2;22.6;50.5;6.1;10.6;1
1056;From 35 to 44 years;Bulgaria;Males;Less than primary, primary and lower secondary education (levels 0-2);22.6;10.1;38.9;8.9;19.6;1
1058;From 35 to 44 years;Bulgaria;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);14.2;33.3;32.8;6.4;13.3;1
1069;From 35 to 44 years;Croatia;Males;Tertiary education (levels 5-8);8.6;24.9;35.3;4.3;27.0;1
1087;From 35 to 44 years;Czechia;Females;Tertiary education (levels 5-8);1.7;27.8;39.8;20.6;10.1;1
1092;From 35 to 44 years;Czechia;Males;Less than primary, primary and lower secondary education (levels 0-2);24.9;23.0;40.7;8.2;3.2;1
1093;From 35 to 44 years;Czechia;Males;Tertiary education (levels 5-8);16.6;15.6;44.8;16.1;7.0;1
1094;From 35 to 44 years;Czechia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);12.8;24.0;49.9;9.2;4.1;1
1104;From 35 to 44 years;Denmark;Males;Less than primary, primary and lower secondary education (levels 0-2);10.5;23.7;31.6;26.3;7.9;1
1105;From 35 to 44 years;Denmark;Males;Tertiary education (levels 5-8);2.7;30.1;55.7;8.7;2.7;1
1106;From 35 to 44 years;Denmark;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);7.0;31.8;47.3;10.9;3.1;1
1117;From 35 to 44 years;Estonia;Males;Tertiary education (levels 5-8);3.7;29.3;43.1;17.1;6.8;1
1126;From 35 to 44 years;Finland;Males;Tertiary education (levels 5-8);4.1;26.1;55.9;7.6;6.3;1
1127;From 35 to 44 years;Finland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);4.9;24.5;48.1;6.8;15.7;1
1135;From 35 to 44 years;Germany;Females;Tertiary education (levels 5-8);3.5;25.3;37.8;20.1;13.3;1
1140;From 35 to 44 years;Germany;Males;Less than primary, primary and lower secondary education (levels 0-2);10.1;28.1;33.6;5.3;22.9;1
1141;From 35 to 44 years;Germany;Males;Tertiary education (levels 5-8);6.0;23.2;56.9;9.0;4.9;1
1142;From 35 to 44 years;Germany;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);10.4;26.5;43.0;10.9;9.2;1
1152;From 35 to 44 years;Greece;Males;Less than primary, primary and lower secondary education (levels 0-2);14.9;25.0;25.9;8.2;25.9;1
1153;From 35 to 44 years;Greece;Males;Tertiary education (levels 5-8);5.9;27.8;36.8;11.1;18.4;1
1154;From 35 to 44 years;Greece;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);12.8;33.6;31.1;6.8;15.7;1
1183;From 35 to 44 years;Ireland;Females;Tertiary education (levels 5-8);1.0;31.6;43.3;13.6;10.5;1
1188;From 35 to 44 years;Ireland;Males;Less than primary, primary and lower secondary education (levels 0-2);3.4;33.5;41.9;4.9;16.4;1
1189;From 35 to 44 years;Ireland;Males;Tertiary education (levels 5-8);0.9;30.0;53.0;8.8;7.3;1
1190;From 35 to 44 years;Ireland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.2;28.4;47.1;13.5;9.7;1
1219;From 35 to 44 years;Luxembourg;Females;Tertiary education (levels 5-8);2.3;27.2;46.0;9.4;15.0;1
1220;From 35 to 44 years;Luxembourg;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);2.2;21.5;38.5;14.2;23.7;1
1224;From 35 to 44 years;Luxembourg;Males;Less than primary, primary and lower secondary education (levels 0-2);25.4;27.2;29.6;3.7;14.1;1
1225;From 35 to 44 years;Luxembourg;Males;Tertiary education (levels 5-8);7.4;26.2;59.8;2.6;3.9;1
1226;From 35 to 44 years;Luxembourg;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);13.0;25.6;43.6;9.2;8.5;1
1237;From 35 to 44 years;Malta;Males;Tertiary education (levels 5-8);8.3;32.4;43.5;7.4;8.5;1
1238;From 35 to 44 years;Malta;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);9.2;23.9;45.3;14.6;6.9;1
1255;From 35 to 44 years;Norway;Males;Tertiary education (levels 5-8);2.1;41.9;45.3;0.0;10.7;1
1278;From 35 to 44 years;Portugal;Males;Less than primary, primary and lower secondary education (levels 0-2);42.5;11.5;28.5;5.9;11.7;1
1279;From 35 to 44 years;Portugal;Males;Tertiary education (levels 5-8);13.2;22.8;45.1;6.4;12.4;1
1280;From 35 to 44 years;Portugal;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);31.9;16.1;37.5;6.6;7.9;1
1290;From 35 to 44 years;Romania;Males;Less than primary, primary and lower secondary education (levels 0-2);13.8;30.0;37.9;3.4;15.0;1
1321;From 35 to 44 years;Slovenia;Males;Tertiary education (levels 5-8);4.5;29.4;51.8;6.7;7.6;1
1322;From 35 to 44 years;Slovenia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);8.8;30.3;38.3;9.1;13.6;1
1332;From 35 to 44 years;Spain;Males;Less than primary, primary and lower secondary education (levels 0-2);17.5;19.0;30.2;9.8;23.6;1
1333;From 35 to 44 years;Spain;Males;Tertiary education (levels 5-8);13.4;21.4;42.2;9.3;13.7;1
1334;From 35 to 44 years;Spain;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);13.5;23.8;30.4;10.4;21.9;1
1339;From 35 to 44 years;Sweden;Females;Tertiary education (levels 5-8);1.1;29.0;46.4;16.0;7.5;1
1344;From 35 to 44 years;Sweden;Males;Less than primary, primary and lower secondary education (levels 0-2);4.6;19.6;41.8;13.4;20.6;1
1345;From 35 to 44 years;Sweden;Males;Tertiary education (levels 5-8);1.5;29.9;54.5;9.5;4.7;1
1346;From 35 to 44 years;Sweden;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);2.2;36.4;43.4;12.5;5.4;1
1363;From 35 to 44 years;United Kingdom;Females;Tertiary education (levels 5-8);2.6;20.5;52.8;11.3;12.8;1
1364;From 35 to 44 years;United Kingdom;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.4;20.1;43.4;18.3;16.8;1
1365;From 35 to 44 years;United Kingdom;Males;Less than primary, primary and lower secondary education (levels 0-2);6.4;17.2;40.5;16.6;19.3;1
1366;From 35 to 44 years;United Kingdom;Males;Tertiary education (levels 5-8);7.9;16.7;58.2;6.0;11.2;1
1367;From 35 to 44 years;United Kingdom;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);5.9;19.1;48.0;14.2;12.8;1
1375;From 45 to 54 years;Austria;Males;Tertiary education (levels 5-8);10.8;23.2;54.4;4.5;7.1;1
1376;From 45 to 54 years;Austria;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);7.3;27.5;46.0;6.8;12.4;1
1381;From 45 to 54 years;Belgium;Females;Tertiary education (levels 5-8);11.7;30.2;43.0;7.4;7.7;1
1382;From 45 to 54 years;Belgium;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);11.1;27.3;36.8;8.6;16.2;1
1386;From 45 to 54 years;Belgium;Males;Less than primary, primary and lower secondary education (levels 0-2);18.2;8.6;50.2;1.7;21.3;1
1387;From 45 to 54 years;Belgium;Males;Tertiary education (levels 5-8);21.4;20.2;50.8;4.3;3.2;1
1388;From 45 to 54 years;Belgium;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);21.4;18.7;41.8;10.5;7.6;1
1398;From 45 to 54 years;Bulgaria;Males;Less than primary, primary and lower secondary education (levels 0-2);29.2;13.4;31.3;4.2;21.9;1
1399;From 45 to 54 years;Bulgaria;Males;Tertiary education (levels 5-8);16.4;31.0;33.7;12.6;6.3;1
1400;From 45 to 54 years;Bulgaria;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);17.0;23.0;45.5;5.1;9.3;1
1410;From 45 to 54 years;Croatia;Males;Less than primary, primary and lower secondary education (levels 0-2);22.4;24.3;22.8;8.3;22.2;1
1412;From 45 to 54 years;Croatia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);12.4;20.2;29.3;10.5;27.6;1
1423;From 45 to 54 years;Cyprus;Males;Tertiary education (levels 5-8);7.3;27.2;34.7;12.1;18.6;1
1424;From 45 to 54 years;Cyprus;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);14.9;26.2;30.5;11.3;17.0;1
1429;From 45 to 54 years;Czechia;Females;Tertiary education (levels 5-8);14.4;22.2;36.5;11.6;15.3;1
1435;From 45 to 54 years;Czechia;Males;Tertiary education (levels 5-8);18.8;17.0;53.4;3.3;7.5;1
1436;From 45 to 54 years;Czechia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);18.9;15.5;51.6;6.9;7.0;1
1441;From 45 to 54 years;Denmark;Females;Tertiary education (levels 5-8);6.4;19.9;55.1;12.7;6.0;1
1446;From 45 to 54 years;Denmark;Males;Less than primary, primary and lower secondary education (levels 0-2);16.0;20.0;32.0;12.0;20.0;1
1447;From 45 to 54 years;Denmark;Males;Tertiary education (levels 5-8);11.3;21.5;59.1;6.5;1.6;1
1448;From 45 to 54 years;Denmark;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);12.2;23.4;54.3;6.4;3.7;1
1465;From 45 to 54 years;Finland;Females;Tertiary education (levels 5-8);2.3;26.5;43.5;21.2;6.5;1
1468;From 45 to 54 years;Finland;Males;Tertiary education (levels 5-8);4.5;25.6;57.8;7.5;4.6;1
1469;From 45 to 54 years;Finland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);4.1;25.2;52.9;9.7;8.1;1
1477;From 45 to 54 years;Germany;Females;Tertiary education (levels 5-8);8.0;24.2;48.5;12.0;7.4;1
1482;From 45 to 54 years;Germany;Males;Less than primary, primary and lower secondary education (levels 0-2);13.1;23.1;39.1;10.7;14.0;1
1483;From 45 to 54 years;Germany;Males;Tertiary education (levels 5-8);15.0;17.7;56.5;4.9;5.9;1
1484;From 45 to 54 years;Germany;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);14.8;19.7;47.3;9.0;9.2;1
1494;From 45 to 54 years;Greece;Males;Less than primary, primary and lower secondary education (levels 0-2);13.6;21.4;37.4;9.7;17.9;1
1495;From 45 to 54 years;Greece;Males;Tertiary education (levels 5-8);9.9;35.1;33.7;4.1;17.2;1
1525;From 45 to 54 years;Ireland;Females;Tertiary education (levels 5-8);1.2;23.7;57.8;7.5;9.8;1
1526;From 45 to 54 years;Ireland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.5;21.6;44.9;12.8;19.2;1
1530;From 45 to 54 years;Ireland;Males;Less than primary, primary and lower secondary education (levels 0-2);3.2;20.1;49.6;8.9;18.2;1
1531;From 45 to 54 years;Ireland;Males;Tertiary education (levels 5-8);2.7;22.4;61.0;6.9;7.0;1
1532;From 45 to 54 years;Ireland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);3.7;20.9;51.7;9.5;14.1;1
1561;From 45 to 54 years;Luxembourg;Females;Tertiary education (levels 5-8);7.2;21.4;53.1;3.9;14.3;1
1562;From 45 to 54 years;Luxembourg;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);4.5;27.5;44.7;4.6;18.7;1
1566;From 45 to 54 years;Luxembourg;Males;Less than primary, primary and lower secondary education (levels 0-2);20.2;20.3;39.3;7.1;13.1;1
1567;From 45 to 54 years;Luxembourg;Males;Tertiary education (levels 5-8);9.4;14.9;61.4;4.0;10.3;1
1568;From 45 to 54 years;Luxembourg;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);11.9;18.2;51.0;7.7;11.2;1
1573;From 45 to 54 years;Malta;Females;Tertiary education (levels 5-8);1.2;25.0;45.4;8.9;19.5;1
1578;From 45 to 54 years;Malta;Males;Less than primary, primary and lower secondary education (levels 0-2);15.3;21.2;35.5;12.5;15.5;1
1579;From 45 to 54 years;Malta;Males;Tertiary education (levels 5-8);8.2;21.5;43.8;12.9;13.6;1
1580;From 45 to 54 years;Malta;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);6.7;22.5;40.6;12.6;17.6;1
1597;From 45 to 54 years;Norway;Males;Tertiary education (levels 5-8);3.0;41.5;50.0;0.0;5.6;1
1620;From 45 to 54 years;Portugal;Males;Less than primary, primary and lower secondary education (levels 0-2);55.3;5.6;21.9;3.2;14.0;1
1621;From 45 to 54 years;Portugal;Males;Tertiary education (levels 5-8);29.8;11.4;38.8;6.1;13.9;1
1622;From 45 to 54 years;Portugal;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);38.9;6.9;29.1;16.4;8.6;1
1632;From 45 to 54 years;Romania;Males;Less than primary, primary and lower secondary education (levels 0-2);15.5;24.5;41.1;6.2;12.6;1
1634;From 45 to 54 years;Romania;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);10.0;33.5;33.0;7.9;15.6;1
1662;From 45 to 54 years;Slovenia;Males;Less than primary, primary and lower secondary education (levels 0-2);22.9;15.7;29.0;11.9;20.4;1
1663;From 45 to 54 years;Slovenia;Males;Tertiary education (levels 5-8);16.9;25.6;40.2;4.2;13.1;1
1664;From 45 to 54 years;Slovenia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);13.2;20.9;41.4;9.2;15.3;1
1669;From 45 to 54 years;Spain;Females;Tertiary education (levels 5-8);9.9;24.0;30.2;14.8;21.1;1
1674;From 45 to 54 years;Spain;Males;Less than primary, primary and lower secondary education (levels 0-2);33.2;13.3;23.3;7.8;22.4;1
1675;From 45 to 54 years;Spain;Males;Tertiary education (levels 5-8);26.0;16.4;37.7;9.3;10.6;1
1676;From 45 to 54 years;Spain;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);27.4;19.3;32.7;8.4;12.2;1
1681;From 45 to 54 years;Sweden;Females;Tertiary education (levels 5-8);2.9;27.6;43.1;15.5;10.9;1
1687;From 45 to 54 years;Sweden;Males;Tertiary education (levels 5-8);3.6;22.4;52.8;10.7;10.4;1
