;age;geo;sex;isced11;Frequent drinkers;Non-drinkers;Occasional drinkers;clusters
92;75 years or over;Estonia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);15.0;31.5;53.4;0
96;75 years or over;Finland;Females;Less than primary, primary and lower secondary education (levels 0-2);13.7;48.7;37.6;1
97;75 years or over;Finland;Females;Tertiary education (levels 5-8);21.4;33.7;44.9;0
98;75 years or over;Finland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);7.2;48.4;44.3;1
99;75 years or over;Finland;Males;Less than primary, primary and lower secondary education (levels 0-2);28.0;37.1;34.9;0
100;75 years or over;Finland;Males;Tertiary education (levels 5-8);47.9;22.1;30.0;2
101;75 years or over;Finland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);44.0;23.9;32.1;2
108;75 years or over;Germany;Females;Less than primary, primary and lower secondary education (levels 0-2);26.2;34.9;38.8;0
109;75 years or over;Germany;Females;Tertiary education (levels 5-8);48.6;19.7;31.7;2
110;75 years or over;Germany;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);33.5;26.2;40.3;0
114;75 years or over;Germany;Males;Less than primary, primary and lower secondary education (levels 0-2);58.699999999999996;14.7;26.599999999999998;2
115;75 years or over;Germany;Males;Tertiary education (levels 5-8);70.0;6.5;23.5;2
116;75 years or over;Germany;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);61.0;12.8;26.200000000000003;2
120;75 years or over;Greece;Females;Less than primary, primary and lower secondary education (levels 0-2);8.4;72.5;19.1;1
121;75 years or over;Greece;Females;Tertiary education (levels 5-8);24.5;32.0;43.5;0
122;75 years or over;Greece;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);7.8;64.8;27.4;1
126;75 years or over;Greece;Males;Less than primary, primary and lower secondary education (levels 0-2);38.0;37.2;24.7;2
127;75 years or over;Greece;Males;Tertiary education (levels 5-8);58.4;18.3;23.299999999999997;2
128;75 years or over;Greece;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);39.3;26.0;34.7;2
132;75 years or over;Hungary;Females;Less than primary, primary and lower secondary education (levels 0-2);13.3;62.4;24.299999999999997;1
133;75 years or over;Hungary;Females;Tertiary education (levels 5-8);26.400000000000002;35.0;38.6;0
134;75 years or over;Hungary;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);11.6;58.4;30.0;1
138;75 years or over;Hungary;Males;Less than primary, primary and lower secondary education (levels 0-2);46.3;34.4;19.4;2
139;75 years or over;Hungary;Males;Tertiary education (levels 5-8);45.8;15.4;38.8;2
140;75 years or over;Hungary;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);42.1;36.9;21.0;2
144;75 years or over;Iceland;Females;Less than primary, primary and lower secondary education (levels 0-2);2.7;57.0;40.3;1
146;75 years or over;Iceland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);11.4;47.8;40.8;1
150;75 years or over;Iceland;Males;Less than primary, primary and lower secondary education (levels 0-2);19.1;43.9;37.0;1
151;75 years or over;Iceland;Males;Tertiary education (levels 5-8);15.700000000000001;39.1;45.1;0
152;75 years or over;Iceland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);19.0;30.3;50.6;0
156;75 years or over;Ireland;Females;Less than primary, primary and lower secondary education (levels 0-2);14.5;64.2;21.299999999999997;1
157;75 years or over;Ireland;Females;Tertiary education (levels 5-8);37.0;31.9;31.1;2
158;75 years or over;Ireland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);27.2;41.5;31.200000000000003;1
162;75 years or over;Ireland;Males;Less than primary, primary and lower secondary education (levels 0-2);38.3;42.5;19.1;2
163;75 years or over;Ireland;Males;Tertiary education (levels 5-8);55.2;27.3;17.4;2
164;75 years or over;Ireland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);43.5;32.8;23.8;2
168;75 years or over;Latvia;Females;Less than primary, primary and lower secondary education (levels 0-2);1.3;69.8;28.9;1
169;75 years or over;Latvia;Females;Tertiary education (levels 5-8);2.4;48.0;49.599999999999994;1
170;75 years or over;Latvia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.3;64.2;34.6;1
174;75 years or over;Latvia;Males;Less than primary, primary and lower secondary education (levels 0-2);8.3;49.0;42.7;1
175;75 years or over;Latvia;Males;Tertiary education (levels 5-8);19.3;23.6;57.1;0
176;75 years or over;Latvia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);4.3;35.2;60.5;0
180;75 years or over;Lithuania;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;71.3;28.7;1
181;75 years or over;Lithuania;Females;Tertiary education (levels 5-8);2.2;56.5;41.3;1
182;75 years or over;Lithuania;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;69.5;30.5;1
186;75 years or over;Lithuania;Males;Less than primary, primary and lower secondary education (levels 0-2);10.0;39.5;50.4;0
187;75 years or over;Lithuania;Males;Tertiary education (levels 5-8);9.0;49.1;41.900000000000006;1
188;75 years or over;Lithuania;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);20.4;33.8;45.900000000000006;0
192;75 years or over;Luxembourg;Females;Less than primary, primary and lower secondary education (levels 0-2);28.4;43.7;27.9;1
194;75 years or over;Luxembourg;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);40.4;29.1;30.5;2
198;75 years or over;Luxembourg;Males;Less than primary, primary and lower secondary education (levels 0-2);52.4;24.4;23.1;2
199;75 years or over;Luxembourg;Males;Tertiary education (levels 5-8);85.6;10.8;3.6;2
200;75 years or over;Luxembourg;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);77.0;12.3;10.600000000000001;2
204;75 years or over;Malta;Females;Less than primary, primary and lower secondary education (levels 0-2);8.8;62.2;29.0;1
210;75 years or over;Malta;Males;Less than primary, primary and lower secondary education (levels 0-2);29.5;33.0;37.6;0
222;75 years or over;Norway;Females;Less than primary, primary and lower secondary education (levels 0-2);13.3;53.2;33.5;1
223;75 years or over;Norway;Females;Tertiary education (levels 5-8);40.2;34.9;24.9;2
224;75 years or over;Norway;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);23.4;43.5;33.1;1
228;75 years or over;Norway;Males;Less than primary, primary and lower secondary education (levels 0-2);24.5;39.0;36.5;1
229;75 years or over;Norway;Males;Tertiary education (levels 5-8);49.6;21.9;28.5;2
230;75 years or over;Norway;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);34.4;39.4;26.2;2
234;75 years or over;Poland;Females;Less than primary, primary and lower secondary education (levels 0-2);2.6;79.2;18.2;1
235;75 years or over;Poland;Females;Tertiary education (levels 5-8);8.0;53.1;39.0;1
236;75 years or over;Poland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.4;66.3;32.3;1
240;75 years or over;Poland;Males;Less than primary, primary and lower secondary education (levels 0-2);7.9;46.6;45.5;1
241;75 years or over;Poland;Males;Tertiary education (levels 5-8);26.8;33.7;39.6;0
242;75 years or over;Poland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);11.3;41.5;47.2;1
246;75 years or over;Portugal;Females;Less than primary, primary and lower secondary education (levels 0-2);24.7;61.8;13.5;1
247;75 years or over;Portugal;Females;Tertiary education (levels 5-8);28.9;52.1;19.0;1
248;75 years or over;Portugal;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);63.5;22.3;14.2;2
252;75 years or over;Portugal;Males;Less than primary, primary and lower secondary education (levels 0-2);65.7;26.0;8.4;2
253;75 years or over;Portugal;Males;Tertiary education (levels 5-8);78.39999999999999;13.3;8.4;2
254;75 years or over;Portugal;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);63.5;12.1;24.4;2
258;75 years or over;Romania;Females;Less than primary, primary and lower secondary education (levels 0-2);4.4;76.7;18.9;1
259;75 years or over;Romania;Females;Tertiary education (levels 5-8);0.0;78.3;21.8;1
260;75 years or over;Romania;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.4;79.1;20.5;1
264;75 years or over;Romania;Males;Less than primary, primary and lower secondary education (levels 0-2);21.5;45.3;33.1;1
265;75 years or over;Romania;Males;Tertiary education (levels 5-8);11.399999999999999;54.4;34.1;1
266;75 years or over;Romania;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);13.8;47.2;39.0;1
276;75 years or over;Slovakia;Females;Less than primary, primary and lower secondary education (levels 0-2);1.2;80.3;18.4;1
278;75 years or over;Slovakia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);4.6;61.3;34.0;1
282;75 years or over;Slovakia;Males;Less than primary, primary and lower secondary education (levels 0-2);23.4;30.5;46.1;0
283;75 years or over;Slovakia;Males;Tertiary education (levels 5-8);23.799999999999997;33.4;42.7;0
284;75 years or over;Slovakia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);21.3;37.2;41.4;0
288;75 years or over;Slovenia;Females;Less than primary, primary and lower secondary education (levels 0-2);23.0;44.6;32.400000000000006;1
289;75 years or over;Slovenia;Females;Tertiary education (levels 5-8);17.4;30.9;51.6;0
290;75 years or over;Slovenia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);21.8;36.1;42.2;0
294;75 years or over;Slovenia;Males;Less than primary, primary and lower secondary education (levels 0-2);58.1;21.9;20.1;2
295;75 years or over;Slovenia;Males;Tertiary education (levels 5-8);44.3;39.7;16.0;2
296;75 years or over;Slovenia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);57.0;15.2;27.7;2
300;75 years or over;Spain;Females;Less than primary, primary and lower secondary education (levels 0-2);15.0;68.3;16.7;1
301;75 years or over;Spain;Females;Tertiary education (levels 5-8);37.4;31.5;31.099999999999998;2
302;75 years or over;Spain;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);26.400000000000002;47.0;26.5;1
306;75 years or over;Spain;Males;Less than primary, primary and lower secondary education (levels 0-2);48.6;36.4;15.0;2
307;75 years or over;Spain;Males;Tertiary education (levels 5-8);62.300000000000004;22.7;15.1;2
308;75 years or over;Spain;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);43.8;34.9;21.3;2
312;75 years or over;Sweden;Females;Less than primary, primary and lower secondary education (levels 0-2);22.3;39.5;38.3;1
313;75 years or over;Sweden;Females;Tertiary education (levels 5-8);43.5;22.1;34.4;2
314;75 years or over;Sweden;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);30.8;35.2;34.0;0
318;75 years or over;Sweden;Males;Less than primary, primary and lower secondary education (levels 0-2);40.8;26.8;32.4;2
319;75 years or over;Sweden;Males;Tertiary education (levels 5-8);62.9;7.1;30.0;2
320;75 years or over;Sweden;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);44.7;22.1;33.2;2
324;75 years or over;Türkiye;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;98.4;1.6;1
330;75 years or over;Türkiye;Males;Less than primary, primary and lower secondary education (levels 0-2);0.7;96.1;3.2;1
331;75 years or over;Türkiye;Males;Tertiary education (levels 5-8);6.6;90.5;2.9;1
332;75 years or over;Türkiye;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);3.8;83.1;13.1;1
336;75 years or over;United Kingdom;Females;Less than primary, primary and lower secondary education (levels 0-2);26.8;41.3;31.9;1
337;75 years or over;United Kingdom;Females;Tertiary education (levels 5-8);52.900000000000006;19.9;27.200000000000003;2
338;75 years or over;United Kingdom;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);48.400000000000006;23.6;28.0;2
339;75 years or over;United Kingdom;Males;Less than primary, primary and lower secondary education (levels 0-2);48.1;24.5;27.4;2
340;75 years or over;United Kingdom;Males;Tertiary education (levels 5-8);70.6;14.0;15.399999999999999;2
341;75 years or over;United Kingdom;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);62.099999999999994;15.2;22.6;2
342;From 15 to 24 years;Austria;Females;Less than primary, primary and lower secondary education (levels 0-2);17.6;26.1;56.3;0
343;From 15 to 24 years;Austria;Females;Tertiary education (levels 5-8);22.1;9.3;68.6;0
344;From 15 to 24 years;Austria;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);23.1;15.1;61.8;0
348;From 15 to 24 years;Austria;Males;Less than primary, primary and lower secondary education (levels 0-2);27.400000000000002;24.4;48.2;0
349;From 15 to 24 years;Austria;Males;Tertiary education (levels 5-8);53.7;5.8;40.5;2
350;From 15 to 24 years;Austria;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);41.7;9.0;49.3;0
354;From 15 to 24 years;Belgium;Females;Less than primary, primary and lower secondary education (levels 0-2);21.5;27.4;51.1;0
355;From 15 to 24 years;Belgium;Females;Tertiary education (levels 5-8);46.2;13.8;40.1;2
356;From 15 to 24 years;Belgium;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);36.6;26.2;37.3;2
360;From 15 to 24 years;Belgium;Males;Less than primary, primary and lower secondary education (levels 0-2);39.5;31.6;28.799999999999997;2
361;From 15 to 24 years;Belgium;Males;Tertiary education (levels 5-8);55.4;6.8;37.800000000000004;2
362;From 15 to 24 years;Belgium;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);53.199999999999996;18.3;28.4;2
366;From 15 to 24 years;Bulgaria;Females;Less than primary, primary and lower secondary education (levels 0-2);2.0;72.1;25.900000000000002;1
368;From 15 to 24 years;Bulgaria;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);13.700000000000001;41.8;44.6;1
372;From 15 to 24 years;Bulgaria;Males;Less than primary, primary and lower secondary education (levels 0-2);18.8;58.8;22.4;1
374;From 15 to 24 years;Bulgaria;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);23.4;28.3;48.400000000000006;0
378;From 15 to 24 years;Croatia;Females;Less than primary, primary and lower secondary education (levels 0-2);3.4;65.0;31.7;1
379;From 15 to 24 years;Croatia;Females;Tertiary education (levels 5-8);6.4;45.1;48.5;1
380;From 15 to 24 years;Croatia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);5.6;38.1;56.199999999999996;0
384;From 15 to 24 years;Croatia;Males;Less than primary, primary and lower secondary education (levels 0-2);6.6;57.9;35.5;1
385;From 15 to 24 years;Croatia;Males;Tertiary education (levels 5-8);11.1;30.0;58.9;0
386;From 15 to 24 years;Croatia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);18.2;25.4;56.4;0
390;From 15 to 24 years;Cyprus;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;90.3;9.7;1
391;From 15 to 24 years;Cyprus;Females;Tertiary education (levels 5-8);21.6;38.4;40.0;0
392;From 15 to 24 years;Cyprus;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);8.3;61.5;30.2;1
396;From 15 to 24 years;Cyprus;Males;Less than primary, primary and lower secondary education (levels 0-2);2.5999999999999996;62.5;34.9;1
397;From 15 to 24 years;Cyprus;Males;Tertiary education (levels 5-8);38.4;15.0;46.699999999999996;0
398;From 15 to 24 years;Cyprus;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);25.0;26.2;48.8;0
402;From 15 to 24 years;Czechia;Females;Less than primary, primary and lower secondary education (levels 0-2);12.5;41.4;46.1;1
403;From 15 to 24 years;Czechia;Females;Tertiary education (levels 5-8);43.2;0.0;56.8;0
404;From 15 to 24 years;Czechia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);23.4;8.5;68.1;0
408;From 15 to 24 years;Czechia;Males;Less than primary, primary and lower secondary education (levels 0-2);21.700000000000003;31.4;46.900000000000006;0
410;From 15 to 24 years;Czechia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);64.10000000000001;6.4;29.400000000000002;2
414;From 15 to 24 years;Denmark;Females;Less than primary, primary and lower secondary education (levels 0-2);18.7;17.2;64.1;0
415;From 15 to 24 years;Denmark;Females;Tertiary education (levels 5-8);30.4;4.3;65.19999999999999;0
416;From 15 to 24 years;Denmark;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);24.8;1.9;73.2;0
420;From 15 to 24 years;Denmark;Males;Less than primary, primary and lower secondary education (levels 0-2);25.0;24.1;50.9;0
422;From 15 to 24 years;Denmark;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);39.4;9.2;51.3;0
426;From 15 to 24 years;Estonia;Females;Less than primary, primary and lower secondary education (levels 0-2);10.1;19.2;70.69999999999999;0
427;From 15 to 24 years;Estonia;Females;Tertiary education (levels 5-8);14.5;9.1;76.4;0
428;From 15 to 24 years;Estonia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);16.4;20.0;63.6;0
432;From 15 to 24 years;Estonia;Males;Less than primary, primary and lower secondary education (levels 0-2);16.7;23.3;60.0;0
434;From 15 to 24 years;Estonia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);38.6;6.8;54.5;0
438;From 15 to 24 years;Finland;Females;Less than primary, primary and lower secondary education (levels 0-2);7.6;45.5;47.0;1
439;From 15 to 24 years;Finland;Females;Tertiary education (levels 5-8);26.9;11.0;62.2;0
440;From 15 to 24 years;Finland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);22.7;13.6;63.7;0
441;From 15 to 24 years;Finland;Males;Less than primary, primary and lower secondary education (levels 0-2);9.4;35.5;55.2;0
443;From 15 to 24 years;Finland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);31.9;16.3;51.8;0
450;From 15 to 24 years;Germany;Females;Less than primary, primary and lower secondary education (levels 0-2);18.799999999999997;28.2;53.099999999999994;0
451;From 15 to 24 years;Germany;Females;Tertiary education (levels 5-8);47.3;7.5;45.2;2
452;From 15 to 24 years;Germany;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);29.9;9.0;61.099999999999994;0
456;From 15 to 24 years;Germany;Males;Less than primary, primary and lower secondary education (levels 0-2);28.5;24.9;46.599999999999994;0
457;From 15 to 24 years;Germany;Males;Tertiary education (levels 5-8);63.4;6.0;30.6;2
458;From 15 to 24 years;Germany;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);47.199999999999996;9.8;43.0;2
462;From 15 to 24 years;Greece;Females;Less than primary, primary and lower secondary education (levels 0-2);2.8;69.9;27.3;1
463;From 15 to 24 years;Greece;Females;Tertiary education (levels 5-8);38.1;17.0;44.9;0
464;From 15 to 24 years;Greece;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);34.1;13.9;51.900000000000006;0
468;From 15 to 24 years;Greece;Males;Less than primary, primary and lower secondary education (levels 0-2);12.5;48.2;39.3;1
470;From 15 to 24 years;Greece;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);44.3;7.4;48.4;2
474;From 15 to 24 years;Hungary;Females;Less than primary, primary and lower secondary education (levels 0-2);2.7;55.1;42.3;1
475;From 15 to 24 years;Hungary;Females;Tertiary education (levels 5-8);12.6;19.8;67.6;0
476;From 15 to 24 years;Hungary;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);8.5;26.0;65.5;0
480;From 15 to 24 years;Hungary;Males;Less than primary, primary and lower secondary education (levels 0-2);9.1;33.0;57.900000000000006;0
482;From 15 to 24 years;Hungary;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);31.5;11.5;57.099999999999994;0
486;From 15 to 24 years;Iceland;Females;Less than primary, primary and lower secondary education (levels 0-2);6.5;44.2;49.3;1
488;From 15 to 24 years;Iceland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);8.8;8.0;83.3;0
492;From 15 to 24 years;Iceland;Males;Less than primary, primary and lower secondary education (levels 0-2);6.5;46.5;47.099999999999994;1
494;From 15 to 24 years;Iceland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);21.0;17.0;62.0;0
498;From 15 to 24 years;Ireland;Females;Less than primary, primary and lower secondary education (levels 0-2);12.4;39.1;48.5;0
499;From 15 to 24 years;Ireland;Females;Tertiary education (levels 5-8);41.6;2.8;55.599999999999994;0
500;From 15 to 24 years;Ireland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);39.9;16.9;43.2;2
504;From 15 to 24 years;Ireland;Males;Less than primary, primary and lower secondary education (levels 0-2);15.1;43.9;41.0;1
506;From 15 to 24 years;Ireland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);49.0;10.9;40.099999999999994;2
510;From 15 to 24 years;Latvia;Females;Less than primary, primary and lower secondary education (levels 0-2);3.8;54.9;41.3;1
511;From 15 to 24 years;Latvia;Females;Tertiary education (levels 5-8);18.3;9.8;71.8;0
512;From 15 to 24 years;Latvia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);9.2;17.6;73.1;0
516;From 15 to 24 years;Latvia;Males;Less than primary, primary and lower secondary education (levels 0-2);6.5;46.1;47.3;1
517;From 15 to 24 years;Latvia;Males;Tertiary education (levels 5-8);21.8;6.5;71.69999999999999;0
518;From 15 to 24 years;Latvia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);15.4;10.5;74.2;0
522;From 15 to 24 years;Lithuania;Females;Less than primary, primary and lower secondary education (levels 0-2);2.4;67.1;30.6;1
523;From 15 to 24 years;Lithuania;Females;Tertiary education (levels 5-8);6.8;23.5;69.7;0
524;From 15 to 24 years;Lithuania;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);8.1;24.1;67.8;0
528;From 15 to 24 years;Lithuania;Males;Less than primary, primary and lower secondary education (levels 0-2);5.8;60.2;34.1;1
529;From 15 to 24 years;Lithuania;Males;Tertiary education (levels 5-8);14.7;18.4;66.8;0
530;From 15 to 24 years;Lithuania;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);16.4;13.4;70.19999999999999;0
534;From 15 to 24 years;Luxembourg;Females;Less than primary, primary and lower secondary education (levels 0-2);4.0;39.6;56.3;0
535;From 15 to 24 years;Luxembourg;Females;Tertiary education (levels 5-8);35.6;8.3;56.099999999999994;0
536;From 15 to 24 years;Luxembourg;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);24.8;21.7;53.5;0
540;From 15 to 24 years;Luxembourg;Males;Less than primary, primary and lower secondary education (levels 0-2);28.7;20.5;50.9;0
542;From 15 to 24 years;Luxembourg;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);38.300000000000004;12.8;48.9;0
546;From 15 to 24 years;Malta;Females;Less than primary, primary and lower secondary education (levels 0-2);28.7;29.7;41.6;0
547;From 15 to 24 years;Malta;Females;Tertiary education (levels 5-8);46.5;11.3;42.199999999999996;2
548;From 15 to 24 years;Malta;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);31.9;16.1;52.0;0
552;From 15 to 24 years;Malta;Males;Less than primary, primary and lower secondary education (levels 0-2);45.2;20.5;34.2;2
