;age;geo;sex;quant_inc;Every day;Every month;Every week;Less than once a month;Never or not in the last 12 months;clusters
924;From 15 to 24 years;Malta;Males;Third quintile;0.0;20.6;57.3;7.0;15.1;2
992;From 15 to 24 years;Portugal;Males;Fourth quintile;0.6;24.7;38.5;11.3;24.9;2
1060;From 15 to 24 years;Slovenia;Males;Fifth quintile;3.3;34.5;40.3;9.7;12.1;2
1080;From 15 to 24 years;Spain;Males;Fifth quintile;2.2;16.8;47.6;7.0;26.5;2
1130;From 15 to 24 years;United Kingdom;Females;Fifth quintile;0.0;24.1;50.1;17.1;8.7;2
1132;From 15 to 24 years;United Kingdom;Females;Fourth quintile;1.0;24.5;45.2;21.2;8.2;2
1135;From 15 to 24 years;United Kingdom;Males;Fifth quintile;4.7;14.5;46.0;18.9;15.9;2
1137;From 15 to 24 years;United Kingdom;Males;Fourth quintile;0.0;28.2;37.5;14.5;19.9;2
1138;From 15 to 24 years;United Kingdom;Males;Second quintile;0.0;18.9;34.8;22.8;23.5;2
1139;From 15 to 24 years;United Kingdom;Males;Third quintile;0.4;13.2;49.0;19.1;18.2;2
1150;From 25 to 34 years;Austria;Males;Fifth quintile;4.1;33.5;55.8;4.5;2.1;2
1152;From 25 to 34 years;Austria;Males;Fourth quintile;3.0;36.9;42.5;9.3;8.3;2
1153;From 25 to 34 years;Austria;Males;Second quintile;5.9;27.9;36.7;14.3;15.2;2
1154;From 25 to 34 years;Austria;Males;Third quintile;5.5;34.6;42.9;9.6;7.3;2
1170;From 25 to 34 years;Belgium;Males;Fifth quintile;4.5;23.6;64.3;3.9;3.7;2
1172;From 25 to 34 years;Belgium;Males;Fourth quintile;13.8;20.9;51.1;4.4;9.7;2
1173;From 25 to 34 years;Belgium;Males;Second quintile;7.8;23.0;37.6;8.6;23.0;2
1174;From 25 to 34 years;Belgium;Males;Third quintile;5.2;19.4;47.1;13.6;14.8;2
1190;From 25 to 34 years;Bulgaria;Males;Fifth quintile;10.3;32.3;32.5;7.5;17.4;2
1213;From 25 to 34 years;Croatia;Males;Second quintile;6.8;24.7;34.1;12.9;21.5;2
1230;From 25 to 34 years;Cyprus;Males;Fifth quintile;2.1;32.6;35.2;2.5;27.7;2
1232;From 25 to 34 years;Cyprus;Males;Fourth quintile;3.5;31.0;35.7;13.8;16.0;2
1250;From 25 to 34 years;Czechia;Males;Fifth quintile;4.5;30.9;56.5;5.4;2.6;2
1251;From 25 to 34 years;Czechia;Males;First quintile;1.2;29.9;51.4;7.7;9.8;2
1252;From 25 to 34 years;Czechia;Males;Fourth quintile;12.5;22.1;45.9;10.2;9.4;2
1253;From 25 to 34 years;Czechia;Males;Second quintile;6.5;21.1;54.5;8.5;9.4;2
1254;From 25 to 34 years;Czechia;Males;Third quintile;6.0;24.5;56.5;6.2;6.8;2
1270;From 25 to 34 years;Denmark;Males;Fifth quintile;0.0;47.6;47.6;4.8;0.0;2
1271;From 25 to 34 years;Denmark;Males;First quintile;2.1;25.5;36.2;21.3;14.9;2
1272;From 25 to 34 years;Denmark;Males;Fourth quintile;6.0;29.9;55.2;7.5;1.5;2
1274;From 25 to 34 years;Denmark;Males;Third quintile;0.0;34.0;46.0;16.0;4.0;2
1290;From 25 to 34 years;Estonia;Males;Fifth quintile;4.6;37.8;40.7;11.2;5.6;2
1291;From 25 to 34 years;Estonia;Males;First quintile;3.6;33.8;38.6;15.8;8.2;2
1305;From 25 to 34 years;Finland;Males;Fifth quintile;1.9;33.2;50.6;8.2;6.1;2
1307;From 25 to 34 years;Finland;Males;Fourth quintile;0.0;27.5;48.7;11.9;11.9;2
1308;From 25 to 34 years;Finland;Males;Second quintile;1.7;29.6;45.5;14.4;8.8;2
1309;From 25 to 34 years;Finland;Males;Third quintile;1.7;34.1;50.1;12.3;1.7;2
1330;From 25 to 34 years;Germany;Males;Fifth quintile;4.6;19.9;62.5;8.0;5.0;2
1331;From 25 to 34 years;Germany;Males;First quintile;5.6;21.4;42.6;12.4;18.0;2
1332;From 25 to 34 years;Germany;Males;Fourth quintile;2.9;29.6;55.8;8.2;3.5;2
1333;From 25 to 34 years;Germany;Males;Second quintile;6.8;26.9;45.0;8.4;12.9;2
1334;From 25 to 34 years;Germany;Males;Third quintile;4.4;29.3;48.0;11.2;7.1;2
1350;From 25 to 34 years;Greece;Males;Fifth quintile;2.6;35.0;43.7;11.4;7.3;2
1351;From 25 to 34 years;Greece;Males;First quintile;4.6;29.3;48.0;4.8;13.3;2
1352;From 25 to 34 years;Greece;Males;Fourth quintile;1.8;38.5;44.5;5.6;9.6;2
1353;From 25 to 34 years;Greece;Males;Second quintile;2.6;37.7;41.7;8.6;9.5;2
1354;From 25 to 34 years;Greece;Males;Third quintile;0.5;32.4;41.1;10.8;15.3;2
1410;From 25 to 34 years;Ireland;Males;Fifth quintile;0.9;29.9;46.5;15.1;7.6;2
1412;From 25 to 34 years;Ireland;Males;Fourth quintile;1.1;36.5;42.0;10.4;10.0;2
1414;From 25 to 34 years;Ireland;Males;Third quintile;0.0;38.3;45.5;5.6;10.6;2
1462;From 25 to 34 years;Luxembourg;Females;Fourth quintile;1.8;33.4;40.3;9.0;15.6;2
1470;From 25 to 34 years;Luxembourg;Males;Fifth quintile;5.2;23.1;64.7;3.5;3.5;2
1472;From 25 to 34 years;Luxembourg;Males;Fourth quintile;2.1;27.0;59.9;8.9;2.1;2
1473;From 25 to 34 years;Luxembourg;Males;Second quintile;19.1;16.5;51.3;5.3;7.9;2
1474;From 25 to 34 years;Luxembourg;Males;Third quintile;7.6;29.8;50.8;2.0;9.8;2
1482;From 25 to 34 years;Malta;Females;Fourth quintile;5.6;23.4;36.8;25.6;8.6;2
1490;From 25 to 34 years;Malta;Males;Fifth quintile;2.9;21.0;67.2;6.7;2.1;2
1492;From 25 to 34 years;Malta;Males;Fourth quintile;0.0;40.4;46.4;8.5;4.7;2
1494;From 25 to 34 years;Malta;Males;Third quintile;2.1;36.6;38.2;7.8;15.3;2
1540;From 25 to 34 years;Poland;Males;Fifth quintile;3.5;38.0;42.4;12.3;3.8;2
1560;From 25 to 34 years;Portugal;Males;Fifth quintile;8.7;26.2;45.5;11.9;7.8;2
1561;From 25 to 34 years;Portugal;Males;First quintile;24.7;19.3;36.0;9.1;10.9;2
1563;From 25 to 34 years;Portugal;Males;Second quintile;13.0;15.9;50.3;10.6;10.3;2
1564;From 25 to 34 years;Portugal;Males;Third quintile;16.5;26.7;30.6;10.8;15.5;2
1581;From 25 to 34 years;Romania;Males;First quintile;12.6;28.0;38.1;5.0;16.3;2
1630;From 25 to 34 years;Slovenia;Males;Fifth quintile;2.5;27.3;47.0;11.1;12.2;2
1632;From 25 to 34 years;Slovenia;Males;Fourth quintile;2.8;30.1;47.8;16.0;3.4;2
1633;From 25 to 34 years;Slovenia;Males;Second quintile;7.7;27.1;34.5;14.8;15.9;2
1634;From 25 to 34 years;Slovenia;Males;Third quintile;8.6;27.7;44.4;8.8;10.6;2
1640;From 25 to 34 years;Spain;Females;Fifth quintile;4.0;23.3;33.4;14.4;24.9;2
1650;From 25 to 34 years;Spain;Males;Fifth quintile;7.1;25.2;51.4;9.1;7.2;2
1652;From 25 to 34 years;Spain;Males;Fourth quintile;7.5;29.6;38.9;11.2;12.7;2
1653;From 25 to 34 years;Spain;Males;Second quintile;7.3;23.6;34.0;15.9;19.2;2
1654;From 25 to 34 years;Spain;Males;Third quintile;12.7;22.3;35.0;13.8;16.1;2
1670;From 25 to 34 years;Sweden;Males;Fifth quintile;0.0;29.9;47.7;11.4;11.0;2
1700;From 25 to 34 years;United Kingdom;Females;Fifth quintile;2.2;23.6;49.6;16.5;8.0;2
1702;From 25 to 34 years;United Kingdom;Females;Fourth quintile;2.4;29.3;40.8;17.3;10.2;2
1704;From 25 to 34 years;United Kingdom;Females;Third quintile;0.9;22.9;40.7;12.5;23.0;2
1705;From 25 to 34 years;United Kingdom;Males;Fifth quintile;2.7;20.8;66.6;6.8;3.1;2
1707;From 25 to 34 years;United Kingdom;Males;Fourth quintile;0.8;24.1;57.4;12.4;5.3;2
1708;From 25 to 34 years;United Kingdom;Males;Second quintile;3.4;25.6;43.8;12.0;15.2;2
1709;From 25 to 34 years;United Kingdom;Males;Third quintile;0.5;10.1;58.3;23.4;7.7;2
1720;From 35 to 44 years;Austria;Males;Fifth quintile;4.7;34.4;45.9;9.0;6.1;2
1721;From 35 to 44 years;Austria;Males;First quintile;6.3;28.9;32.8;8.1;23.8;2
1722;From 35 to 44 years;Austria;Males;Fourth quintile;5.9;31.6;45.6;10.4;6.5;2
1723;From 35 to 44 years;Austria;Males;Second quintile;3.1;25.8;37.4;9.9;23.8;2
1724;From 35 to 44 years;Austria;Males;Third quintile;5.3;27.4;51.5;9.4;6.4;2
1730;From 35 to 44 years;Belgium;Females;Fifth quintile;2.3;30.2;49.6;5.6;12.4;2
1732;From 35 to 44 years;Belgium;Females;Fourth quintile;6.5;23.0;45.3;11.5;13.7;2
1734;From 35 to 44 years;Belgium;Females;Third quintile;10.8;18.4;28.3;20.9;21.7;2
1740;From 35 to 44 years;Belgium;Males;Fifth quintile;12.9;17.6;61.9;3.7;3.9;2
1741;From 35 to 44 years;Belgium;Males;First quintile;12.6;9.7;40.6;5.5;31.5;2
1742;From 35 to 44 years;Belgium;Males;Fourth quintile;14.2;14.4;58.6;8.1;4.7;2
1743;From 35 to 44 years;Belgium;Males;Second quintile;9.1;15.4;45.1;2.8;27.6;2
1744;From 35 to 44 years;Belgium;Males;Third quintile;15.9;17.8;54.1;2.5;9.6;2
1761;From 35 to 44 years;Bulgaria;Males;First quintile;15.3;15.2;38.9;9.5;21.0;2
1762;From 35 to 44 years;Bulgaria;Males;Fourth quintile;14.0;25.3;40.5;2.5;17.7;2
1764;From 35 to 44 years;Bulgaria;Males;Third quintile;12.6;28.7;35.5;12.3;10.9;2
1780;From 35 to 44 years;Croatia;Males;Fifth quintile;10.0;28.5;47.1;0.0;14.4;2
1801;From 35 to 44 years;Cyprus;Males;First quintile;3.2;25.4;39.5;10.5;21.5;2
1810;From 35 to 44 years;Czechia;Females;Fifth quintile;2.7;29.9;42.2;18.9;6.3;2
1820;From 35 to 44 years;Czechia;Males;Fifth quintile;18.2;25.8;42.3;10.2;3.5;2
1821;From 35 to 44 years;Czechia;Males;First quintile;18.4;21.1;43.4;6.3;10.7;2
1822;From 35 to 44 years;Czechia;Males;Fourth quintile;15.5;23.5;49.7;9.4;2.0;2
1823;From 35 to 44 years;Czechia;Males;Second quintile;4.3;26.5;50.0;12.8;6.3;2
1824;From 35 to 44 years;Czechia;Males;Third quintile;9.2;13.4;61.4;11.0;5.0;2
1830;From 35 to 44 years;Denmark;Females;Fifth quintile;1.0;28.2;41.7;26.2;2.9;2
1833;From 35 to 44 years;Denmark;Females;Second quintile;4.4;35.6;40.0;13.3;6.7;2
1840;From 35 to 44 years;Denmark;Males;Fifth quintile;5.4;22.8;62.0;8.7;1.1;2
1841;From 35 to 44 years;Denmark;Males;First quintile;14.3;38.1;42.9;0.0;4.8;2
1842;From 35 to 44 years;Denmark;Males;Fourth quintile;5.8;35.5;48.8;7.4;2.5;2
1844;From 35 to 44 years;Denmark;Males;Third quintile;4.3;31.9;43.5;14.5;5.8;2
1860;From 35 to 44 years;Estonia;Males;Fifth quintile;6.8;32.5;47.4;11.4;1.9;2
1863;From 35 to 44 years;Estonia;Males;Second quintile;0.0;22.0;40.7;19.7;17.6;2
1870;From 35 to 44 years;Finland;Females;Fifth quintile;3.0;34.8;46.1;11.8;4.3;2
1875;From 35 to 44 years;Finland;Males;Fifth quintile;5.0;22.8;63.6;3.4;5.1;2
1876;From 35 to 44 years;Finland;Males;First quintile;6.7;24.8;34.1;9.1;25.4;2
1877;From 35 to 44 years;Finland;Males;Fourth quintile;4.5;21.7;63.6;7.2;3.0;2
1878;From 35 to 44 years;Finland;Males;Second quintile;4.6;25.4;44.3;8.6;17.1;2
1879;From 35 to 44 years;Finland;Males;Third quintile;3.3;29.4;47.7;10.7;8.9;2
1890;From 35 to 44 years;Germany;Females;Fifth quintile;3.9;25.1;42.6;19.8;8.6;2
1900;From 35 to 44 years;Germany;Males;Fifth quintile;5.9;20.4;60.4;7.8;5.4;2
1901;From 35 to 44 years;Germany;Males;First quintile;11.4;23.3;36.3;10.6;18.4;2
1902;From 35 to 44 years;Germany;Males;Fourth quintile;8.6;28.4;48.0;8.0;7.0;2
1903;From 35 to 44 years;Germany;Males;Second quintile;7.7;31.2;38.0;12.1;11.0;2
1904;From 35 to 44 years;Germany;Males;Third quintile;9.7;24.8;48.3;10.7;6.5;2
1920;From 35 to 44 years;Greece;Males;Fifth quintile;5.4;29.7;40.5;11.2;13.2;2
1921;From 35 to 44 years;Greece;Males;First quintile;18.7;22.4;27.6;4.0;27.3;2
1923;From 35 to 44 years;Greece;Males;Second quintile;12.4;22.8;33.1;12.3;19.3;2
1944;From 35 to 44 years;Hungary;Males;Third quintile;5.1;23.1;33.4;17.5;20.8;2
1970;From 35 to 44 years;Ireland;Females;Fifth quintile;0.4;30.2;47.9;11.7;9.9;2
1972;From 35 to 44 years;Ireland;Females;Fourth quintile;2.1;24.5;45.7;13.0;14.7;2
1980;From 35 to 44 years;Ireland;Males;Fifth quintile;2.5;26.5;52.5;10.1;8.4;2
1981;From 35 to 44 years;Ireland;Males;First quintile;0.5;28.4;53.7;9.0;8.5;2
1982;From 35 to 44 years;Ireland;Males;Fourth quintile;0.0;33.0;49.3;9.5;8.2;2
1983;From 35 to 44 years;Ireland;Males;Second quintile;1.6;36.7;44.2;8.2;9.3;2
1984;From 35 to 44 years;Ireland;Males;Third quintile;1.8;26.7;45.2;12.6;13.7;2
2030;From 35 to 44 years;Luxembourg;Females;Fifth quintile;5.6;16.9;56.4;8.6;12.6;2
2032;From 35 to 44 years;Luxembourg;Females;Fourth quintile;1.9;34.6;44.4;7.6;11.4;2
2034;From 35 to 44 years;Luxembourg;Females;Third quintile;1.4;29.2;44.4;7.1;17.9;2
2040;From 35 to 44 years;Luxembourg;Males;Fifth quintile;6.4;18.8;68.5;1.5;4.8;2
2042;From 35 to 44 years;Luxembourg;Males;Fourth quintile;8.4;27.1;57.0;6.1;1.4;2
2043;From 35 to 44 years;Luxembourg;Males;Second quintile;15.2;31.1;32.4;6.0;15.2;2
2044;From 35 to 44 years;Luxembourg;Males;Third quintile;14.7;28.9;42.4;7.4;6.6;2
2060;From 35 to 44 years;Malta;Males;Fifth quintile;8.7;37.0;36.2;10.9;7.3;2
2062;From 35 to 44 years;Malta;Males;Fourth quintile;6.1;29.1;37.4;13.3;14.1;2
2063;From 35 to 44 years;Malta;Males;Second quintile;5.7;18.7;48.7;17.1;9.8;2
2064;From 35 to 44 years;Malta;Males;Third quintile;12.4;32.2;31.6;11.4;12.3;2
2090;From 35 to 44 years;Norway;Males;Fifth quintile;2.1;42.1;46.9;0.0;8.9;2
2112;From 35 to 44 years;Poland;Males;Fourth quintile;2.2;34.5;40.4;13.0;9.9;2
2130;From 35 to 44 years;Portugal;Males;Fifth quintile;19.1;17.8;46.7;6.1;10.4;2
2132;From 35 to 44 years;Portugal;Males;Fourth quintile;30.6;15.9;37.0;6.7;9.8;2
2151;From 35 to 44 years;Romania;Males;First quintile;14.7;26.8;37.5;6.0;15.0;2
2153;From 35 to 44 years;Romania;Males;Second quintile;8.8;33.4;34.9;7.7;15.3;2
2154;From 35 to 44 years;Romania;Males;Third quintile;7.6;31.8;35.1;10.9;14.6;2
2200;From 35 to 44 years;Slovenia;Males;Fifth quintile;5.4;29.2;51.3;5.4;8.7;2
2202;From 35 to 44 years;Slovenia;Males;Fourth quintile;3.6;38.3;43.3;6.9;7.9;2
2203;From 35 to 44 years;Slovenia;Males;Second quintile;5.3;30.6;42.8;5.9;15.4;2
2204;From 35 to 44 years;Slovenia;Males;Third quintile;9.9;27.9;34.9;14.3;12.9;2
2220;From 35 to 44 years;Spain;Males;Fifth quintile;13.5;24.4;42.7;7.2;12.2;2
2222;From 35 to 44 years;Spain;Males;Fourth quintile;17.1;21.4;38.8;7.4;15.3;2
2223;From 35 to 44 years;Spain;Males;Second quintile;11.8;19.0;31.7;12.6;25.0;2
2224;From 35 to 44 years;Spain;Males;Third quintile;15.3;18.1;35.1;12.3;19.2;2
2230;From 35 to 44 years;Sweden;Females;Fifth quintile;0.8;27.2;51.6;15.6;4.8;2
2240;From 35 to 44 years;Sweden;Males;Fifth quintile;0.9;29.9;58.6;7.8;2.9;2
2241;From 35 to 44 years;Sweden;Males;First quintile;0.0;18.6;37.1;12.8;31.4;2
2242;From 35 to 44 years;Sweden;Males;Fourth quintile;1.5;39.1;45.7;8.0;5.6;2
2270;From 35 to 44 years;United Kingdom;Females;Fifth quintile;3.1;18.7;57.8;10.2;10.1;2
2272;From 35 to 44 years;United Kingdom;Females;Fourth quintile;2.7;19.2;58.1;12.5;7.5;2
2273;From 35 to 44 years;United Kingdom;Females;Second quintile;1.1;22.7;37.9;15.2;23.1;2
2274;From 35 to 44 years;United Kingdom;Females;Third quintile;1.7;19.7;43.3;19.3;16.0;2
2275;From 35 to 44 years;United Kingdom;Males;Fifth quintile;6.6;17.1;64.1;7.7;4.5;2
2277;From 35 to 44 years;United Kingdom;Males;Fourth quintile;5.0;18.1;59.0;7.7;10.2;2
2278;From 35 to 44 years;United Kingdom;Males;Second quintile;7.3;19.1;39.2;16.7;17.7;2
2279;From 35 to 44 years;United Kingdom;Males;Third quintile;8.4;17.2;49.9;8.1;16.4;2
2290;From 45 to 54 years;Austria;Males;Fifth quintile;7.5;23.2;54.6;4.8;9.8;2
2291;From 45 to 54 years;Austria;Males;First quintile;7.0;24.1;38.4;11.0;19.4;2
2292;From 45 to 54 years;Austria;Males;Fourth quintile;6.6;27.8;51.8;5.6;8.1;2
2293;From 45 to 54 years;Austria;Males;Second quintile;8.6;30.6;40.2;7.9;12.7;2
2294;From 45 to 54 years;Austria;Males;Third quintile;8.7;25.2;41.6;4.4;20.1;2
2300;From 45 to 54 years;Belgium;Females;Fifth quintile;10.6;25.4;42.8;9.6;11.6;2
2301;From 45 to 54 years;Belgium;Females;First quintile;7.6;24.6;30.3;13.4;24.1;2
2302;From 45 to 54 years;Belgium;Females;Fourth quintile;9.9;34.9;40.6;5.6;9.1;2
2304;From 45 to 54 years;Belgium;Females;Third quintile;8.4;23.0;39.6;11.8;17.3;2
2310;From 45 to 54 years;Belgium;Males;Fifth quintile;28.7;13.3;47.0;6.0;4.9;2
2311;From 45 to 54 years;Belgium;Males;First quintile;16.8;4.7;52.2;0.0;26.3;2
2312;From 45 to 54 years;Belgium;Males;Fourth quintile;16.9;18.1;47.4;6.8;10.9;2
2313;From 45 to 54 years;Belgium;Males;Second quintile;16.4;23.1;28.3;15.6;16.7;2
2314;From 45 to 54 years;Belgium;Males;Third quintile;14.1;22.9;56.0;1.3;5.7;2
2330;From 45 to 54 years;Bulgaria;Males;Fifth quintile;18.9;25.9;37.2;8.1;9.9;2
2331;From 45 to 54 years;Bulgaria;Males;First quintile;22.2;24.5;34.5;6.7;12.1;2
2332;From 45 to 54 years;Bulgaria;Males;Fourth quintile;18.4;15.8;47.2;5.2;13.5;2
2333;From 45 to 54 years;Bulgaria;Males;Second quintile;20.2;24.6;41.3;3.6;10.1;2
2334;From 45 to 54 years;Bulgaria;Males;Third quintile;18.1;24.5;43.9;5.3;8.2;2
2350;From 45 to 54 years;Croatia;Males;Fifth quintile;19.2;27.1;34.8;4.3;14.6;2
2351;From 45 to 54 years;Croatia;Males;First quintile;18.9;26.0;27.4;0.0;27.7;2
2352;From 45 to 54 years;Croatia;Males;Fourth quintile;22.0;21.9;35.6;6.5;14.1;2
2370;From 45 to 54 years;Cyprus;Males;Fifth quintile;13.1;27.7;37.5;10.7;11.0;2
2372;From 45 to 54 years;Cyprus;Males;Fourth quintile;8.7;19.8;36.3;14.9;20.2;2
2380;From 45 to 54 years;Czechia;Females;Fifth quintile;2.7;33.4;39.0;15.0;9.9;2
2390;From 45 to 54 years;Czechia;Males;Fifth quintile;18.9;15.6;57.1;6.3;2.1;2
2391;From 45 to 54 years;Czechia;Males;First quintile;15.5;14.3;46.8;4.8;18.6;2
2392;From 45 to 54 years;Czechia;Males;Fourth quintile;14.7;16.7;58.3;4.9;5.4;2
2393;From 45 to 54 years;Czechia;Males;Second quintile;20.6;19.4;51.2;4.0;4.9;2
2394;From 45 to 54 years;Czechia;Males;Third quintile;26.4;13.5;33.8;17.5;8.8;2
2400;From 45 to 54 years;Denmark;Females;Fifth quintile;5.2;27.9;48.1;13.0;5.8;2
2401;From 45 to 54 years;Denmark;Females;First quintile;6.5;22.6;41.9;6.5;22.6;2
2402;From 45 to 54 years;Denmark;Females;Fourth quintile;4.7;24.0;47.3;20.9;3.1;2
2403;From 45 to 54 years;Denmark;Females;Second quintile;7.0;19.3;40.4;21.1;12.3;2
2404;From 45 to 54 years;Denmark;Females;Third quintile;6.5;28.3;38.0;13.0;14.1;2
2410;From 45 to 54 years;Denmark;Males;Fifth quintile;13.9;20.0;59.1;5.2;1.7;2
2411;From 45 to 54 years;Denmark;Males;First quintile;19.2;23.1;42.3;3.8;11.5;2
2412;From 45 to 54 years;Denmark;Males;Fourth quintile;9.0;26.4;56.3;6.9;1.4;2
2413;From 45 to 54 years;Denmark;Males;Second quintile;5.7;17.1;57.1;14.3;5.7;2
2414;From 45 to 54 years;Denmark;Males;Third quintile;15.6;21.9;54.7;3.1;4.7;2
2433;From 45 to 54 years;Estonia;Males;Second quintile;5.1;24.1;38.8;15.3;16.7;2
2440;From 45 to 54 years;Finland;Females;Fifth quintile;0.6;23.3;53.2;16.8;6.1;2
2442;From 45 to 54 years;Finland;Females;Fourth quintile;1.5;26.4;43.3;27.1;1.5;2
2444;From 45 to 54 years;Finland;Females;Third quintile;2.0;31.1;44.1;16.0;6.8;2
2445;From 45 to 54 years;Finland;Males;Fifth quintile;4.2;28.4;61.4;2.5;3.5;2
2446;From 45 to 54 years;Finland;Males;First quintile;8.9;19.2;40.1;15.9;15.9;2
2447;From 45 to 54 years;Finland;Males;Fourth quintile;0.9;23.6;60.9;8.8;5.8;2
2448;From 45 to 54 years;Finland;Males;Second quintile;6.3;37.4;41.5;8.4;6.3;2
