;age;geo;sex;isced11;Every day;Every month;Every week;Less than once a month;Never or not in the last 12 months;clusters
390;From 15 to 24 years;Cyprus;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;4.7;0.0;5.0;90.3;2
392;From 15 to 24 years;Cyprus;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.3;25.4;8.0;4.8;61.5;2
396;From 15 to 24 years;Cyprus;Males;Less than primary, primary and lower secondary education (levels 0-2);0.7;17.4;1.9;17.5;62.5;2
462;From 15 to 24 years;Greece;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;10.8;2.8;16.5;69.9;2
474;From 15 to 24 years;Hungary;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;16.4;2.7;25.9;55.1;2
510;From 15 to 24 years;Latvia;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;19.4;3.8;21.9;54.9;2
522;From 15 to 24 years;Lithuania;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;15.1;2.4;15.5;67.1;2
528;From 15 to 24 years;Lithuania;Males;Less than primary, primary and lower secondary education (levels 0-2);0.0;14.3;5.8;19.8;60.2;2
576;From 15 to 24 years;Poland;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;8.2;2.8;13.6;75.4;2
582;From 15 to 24 years;Poland;Males;Less than primary, primary and lower secondary education (levels 0-2);0.8;20.2;5.5;12.6;60.9;2
600;From 15 to 24 years;Romania;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;10.3;1.0;9.3;79.4;2
601;From 15 to 24 years;Romania;Females;Tertiary education (levels 5-8);0.0;22.6;0.0;17.7;59.7;2
602;From 15 to 24 years;Romania;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;16.5;1.9;14.3;67.3;2
606;From 15 to 24 years;Romania;Males;Less than primary, primary and lower secondary education (levels 0-2);0.4;15.9;6.6;7.6;69.5;2
618;From 15 to 24 years;Slovakia;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;18.8;3.3;11.5;66.4;2
666;From 15 to 24 years;Türkiye;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;0.7;0.2;2.2;97.0;2
667;From 15 to 24 years;Türkiye;Females;Tertiary education (levels 5-8);0.0;4.4;0.7;8.6;86.3;2
668;From 15 to 24 years;Türkiye;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;2.9;0.5;6.3;90.3;2
672;From 15 to 24 years;Türkiye;Males;Less than primary, primary and lower secondary education (levels 0-2);0.1;5.7;3.0;7.8;83.4;2
673;From 15 to 24 years;Türkiye;Males;Tertiary education (levels 5-8);0.0;9.2;4.4;11.5;75.0;2
674;From 15 to 24 years;Türkiye;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.1;12.2;3.1;12.1;71.4;2
696;From 25 to 34 years;Belgium;Females;Less than primary, primary and lower secondary education (levels 0-2);1.4;10.2;6.1;6.2;76.0;2
708;From 25 to 34 years;Bulgaria;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;21.7;6.2;10.9;61.1;2
722;From 25 to 34 years;Croatia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.5;15.7;6.6;19.7;56.5;2
732;From 25 to 34 years;Cyprus;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;13.3;3.0;3.0;80.6;2
734;From 25 to 34 years;Cyprus;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.9;17.9;5.3;8.2;66.8;2
816;From 25 to 34 years;Hungary;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;11.8;0.0;29.3;58.9;2
1008;From 25 to 34 years;Türkiye;Females;Less than primary, primary and lower secondary education (levels 0-2);0.3;0.8;0.4;2.8;95.8;2
1009;From 25 to 34 years;Türkiye;Females;Tertiary education (levels 5-8);0.2;9.2;2.3;12.5;75.8;2
1010;From 25 to 34 years;Türkiye;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.6;3.3;0.7;6.8;88.7;2
1014;From 25 to 34 years;Türkiye;Males;Less than primary, primary and lower secondary education (levels 0-2);0.7;11.2;4.7;11.3;72.1;2
1015;From 25 to 34 years;Türkiye;Males;Tertiary education (levels 5-8);0.7;10.8;9.3;13.9;65.2;2
1016;From 25 to 34 years;Türkiye;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.1;12.5;4.8;14.7;66.8;2
1062;From 35 to 44 years;Croatia;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;12.9;6.9;15.3;64.9;2
1064;From 35 to 44 years;Croatia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.4;16.4;8.5;16.0;58.7;2
1074;From 35 to 44 years;Cyprus;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;8.4;1.8;5.2;84.6;2
1076;From 35 to 44 years;Cyprus;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.3;18.0;6.3;9.2;65.3;2
1158;From 35 to 44 years;Hungary;Females;Less than primary, primary and lower secondary education (levels 0-2);1.9;9.7;1.3;31.1;56.0;2
1350;From 35 to 44 years;Türkiye;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;0.5;0.3;2.1;97.1;2
1351;From 35 to 44 years;Türkiye;Females;Tertiary education (levels 5-8);0.9;12.0;1.6;11.8;73.7;2
1352;From 35 to 44 years;Türkiye;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;5.4;1.2;8.1;85.3;2
1356;From 35 to 44 years;Türkiye;Males;Less than primary, primary and lower secondary education (levels 0-2);1.3;10.5;6.4;8.6;73.3;2
1357;From 35 to 44 years;Türkiye;Males;Tertiary education (levels 5-8);0.4;12.2;5.9;12.7;68.8;2
1358;From 35 to 44 years;Türkiye;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.1;6.6;8.6;10.8;72.9;2
1392;From 45 to 54 years;Bulgaria;Females;Less than primary, primary and lower secondary education (levels 0-2);2.1;22.6;11.9;5.0;58.4;2
1404;From 45 to 54 years;Croatia;Females;Less than primary, primary and lower secondary education (levels 0-2);1.8;15.1;5.6;13.4;64.1;2
1416;From 45 to 54 years;Cyprus;Females;Less than primary, primary and lower secondary education (levels 0-2);1.1;10.3;0.8;10.2;77.5;2
1418;From 45 to 54 years;Cyprus;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.4;19.6;8.8;10.1;60.1;2
1656;From 45 to 54 years;Slovenia;Females;Less than primary, primary and lower secondary education (levels 0-2);1.4;15.3;4.2;19.4;59.7;2
1692;From 45 to 54 years;Türkiye;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;0.8;0.1;2.2;96.9;2
1693;From 45 to 54 years;Türkiye;Females;Tertiary education (levels 5-8);0.0;8.5;0.9;15.7;74.9;2
1694;From 45 to 54 years;Türkiye;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.4;3.7;1.4;9.4;85.1;2
1698;From 45 to 54 years;Türkiye;Males;Less than primary, primary and lower secondary education (levels 0-2);2.2;8.1;5.0;9.3;75.3;2
1699;From 45 to 54 years;Türkiye;Males;Tertiary education (levels 5-8);1.5;4.1;11.0;15.7;67.8;2
1700;From 45 to 54 years;Türkiye;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.4;9.5;10.4;10.3;69.4;2
1734;From 55 to 64 years;Bulgaria;Females;Less than primary, primary and lower secondary education (levels 0-2);1.1;17.9;5.9;12.5;62.6;2
1746;From 55 to 64 years;Croatia;Females;Less than primary, primary and lower secondary education (levels 0-2);4.2;12.0;5.8;8.6;69.4;2
1748;From 55 to 64 years;Croatia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);6.8;12.7;8.5;12.8;59.3;2
1758;From 55 to 64 years;Cyprus;Females;Less than primary, primary and lower secondary education (levels 0-2);0.8;8.1;5.3;8.5;77.2;2
1759;From 55 to 64 years;Cyprus;Females;Tertiary education (levels 5-8);1.0;19.7;12.1;7.0;60.2;2
1760;From 55 to 64 years;Cyprus;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);2.2;18.9;7.0;8.3;63.6;2
1830;From 55 to 64 years;Greece;Females;Less than primary, primary and lower secondary education (levels 0-2);3.2;17.9;10.0;14.4;54.5;2
1842;From 55 to 64 years;Hungary;Females;Less than primary, primary and lower secondary education (levels 0-2);3.4;8.8;2.4;27.9;57.4;2
1968;From 55 to 64 years;Romania;Females;Less than primary, primary and lower secondary education (levels 0-2);1.5;21.9;4.9;14.7;57.0;2
1986;From 55 to 64 years;Slovakia;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;15.3;2.7;27.3;54.6;2
2034;From 55 to 64 years;Türkiye;Females;Less than primary, primary and lower secondary education (levels 0-2);0.1;0.6;0.0;0.9;98.4;2
2035;From 55 to 64 years;Türkiye;Females;Tertiary education (levels 5-8);0.0;10.3;0.0;9.2;80.4;2
2036;From 55 to 64 years;Türkiye;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;6.5;0.0;11.6;81.9;2
2040;From 55 to 64 years;Türkiye;Males;Less than primary, primary and lower secondary education (levels 0-2);1.6;5.8;4.6;8.2;79.8;2
2041;From 55 to 64 years;Türkiye;Males;Tertiary education (levels 5-8);1.4;11.8;12.6;9.8;64.3;2
2042;From 55 to 64 years;Türkiye;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);3.6;13.6;8.9;10.4;63.5;2
2076;From 65 to 74 years;Bulgaria;Females;Less than primary, primary and lower secondary education (levels 0-2);1.4;15.4;7.5;12.5;63.2;2
2088;From 65 to 74 years;Croatia;Females;Less than primary, primary and lower secondary education (levels 0-2);4.9;10.2;4.5;9.4;70.9;2
2090;From 65 to 74 years;Croatia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);4.9;11.2;2.3;14.5;67.0;2
2100;From 65 to 74 years;Cyprus;Females;Less than primary, primary and lower secondary education (levels 0-2);1.1;9.1;4.5;8.5;76.8;2
2101;From 65 to 74 years;Cyprus;Females;Tertiary education (levels 5-8);10.9;22.0;0.0;6.4;60.7;2
2102;From 65 to 74 years;Cyprus;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.1;17.1;8.0;4.8;69.0;2
2172;From 65 to 74 years;Greece;Females;Less than primary, primary and lower secondary education (levels 0-2);4.9;12.7;5.8;14.2;62.5;2
2184;From 65 to 74 years;Hungary;Females;Less than primary, primary and lower secondary education (levels 0-2);5.0;5.3;7.0;24.4;58.3;2
2286;From 65 to 74 years;Poland;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;8.2;2.1;23.6;66.1;2
2298;From 65 to 74 years;Portugal;Females;Less than primary, primary and lower secondary education (levels 0-2);21.4;5.2;7.9;9.1;56.3;2
2310;From 65 to 74 years;Romania;Females;Less than primary, primary and lower secondary education (levels 0-2);1.5;18.3;5.7;10.6;63.9;2
2311;From 65 to 74 years;Romania;Females;Tertiary education (levels 5-8);2.7;15.2;2.1;9.0;70.9;2
2312;From 65 to 74 years;Romania;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.7;16.3;2.5;13.8;66.7;2
2328;From 65 to 74 years;Slovakia;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;14.8;3.2;18.9;63.1;2
2352;From 65 to 74 years;Spain;Females;Less than primary, primary and lower secondary education (levels 0-2);11.3;11.2;7.8;13.9;55.8;2
2376;From 65 to 74 years;Türkiye;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;0.0;0.0;0.4;99.6;2
2377;From 65 to 74 years;Türkiye;Females;Tertiary education (levels 5-8);0.0;5.8;3.3;12.9;78.0;2
2378;From 65 to 74 years;Türkiye;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;1.8;0.0;11.8;86.4;2
2382;From 65 to 74 years;Türkiye;Males;Less than primary, primary and lower secondary education (levels 0-2);0.5;3.5;3.0;3.5;89.5;2
2383;From 65 to 74 years;Türkiye;Males;Tertiary education (levels 5-8);1.4;13.1;2.1;21.9;61.4;2
2384;From 65 to 74 years;Türkiye;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;11.4;3.2;5.0;80.4;2
