;age;geo;sex;isced11;Every day;Every month;Every week;Less than once a month;Never or not in the last 12 months;clusters
745;From 25 to 34 years;Czechia;Females;Tertiary education (levels 5-8);0.3;37.2;30.8;15.6;16.2;3
746;From 25 to 34 years;Czechia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);2.3;43.9;23.4;18.7;11.7;3
757;From 25 to 34 years;Denmark;Females;Tertiary education (levels 5-8);0.0;40.5;29.3;20.3;9.9;3
758;From 25 to 34 years;Denmark;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;35.9;12.0;33.7;18.5;3
762;From 25 to 34 years;Denmark;Males;Less than primary, primary and lower secondary education (levels 0-2);4.0;20.0;28.0;32.0;16.0;3
768;From 25 to 34 years;Estonia;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;35.2;15.4;28.4;20.9;3
769;From 25 to 34 years;Estonia;Females;Tertiary education (levels 5-8);0.0;38.8;20.0;30.5;10.8;3
770;From 25 to 34 years;Estonia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.4;35.7;14.0;34.0;15.9;3
774;From 25 to 34 years;Estonia;Males;Less than primary, primary and lower secondary education (levels 0-2);4.9;36.3;30.3;20.2;8.3;3
776;From 25 to 34 years;Estonia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.2;42.5;34.2;17.8;4.3;3
781;From 25 to 34 years;Finland;Females;Tertiary education (levels 5-8);0.3;38.3;25.0;26.4;9.9;3
782;From 25 to 34 years;Finland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.7;37.7;20.3;30.2;11.0;3
793;From 25 to 34 years;Germany;Females;Tertiary education (levels 5-8);1.1;32.9;36.9;16.3;12.8;3
794;From 25 to 34 years;Germany;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.7;34.3;23.6;24.5;15.9;3
805;From 25 to 34 years;Greece;Females;Tertiary education (levels 5-8);0.1;40.2;26.2;10.0;23.6;3
810;From 25 to 34 years;Greece;Males;Less than primary, primary and lower secondary education (levels 0-2);6.3;31.5;27.5;7.7;27.0;3
823;From 25 to 34 years;Hungary;Males;Tertiary education (levels 5-8);5.5;34.4;32.8;17.6;9.8;3
824;From 25 to 34 years;Hungary;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);5.7;30.4;23.4;27.8;12.6;3
828;From 25 to 34 years;Iceland;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;31.4;4.1;54.7;9.8;3
829;From 25 to 34 years;Iceland;Females;Tertiary education (levels 5-8);0.0;39.4;17.7;37.5;5.3;3
830;From 25 to 34 years;Iceland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;45.2;7.7;42.5;4.7;3
834;From 25 to 34 years;Iceland;Males;Less than primary, primary and lower secondary education (levels 0-2);2.0;38.1;18.8;21.6;19.6;3
835;From 25 to 34 years;Iceland;Males;Tertiary education (levels 5-8);0.0;51.9;31.4;12.9;3.7;3
836;From 25 to 34 years;Iceland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;44.5;27.2;23.4;5.0;3
841;From 25 to 34 years;Ireland;Females;Tertiary education (levels 5-8);0.0;43.8;32.8;15.0;8.4;3
842;From 25 to 34 years;Ireland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;33.6;32.9;21.6;11.9;3
846;From 25 to 34 years;Ireland;Males;Less than primary, primary and lower secondary education (levels 0-2);0.0;26.5;37.0;21.6;14.9;3
848;From 25 to 34 years;Ireland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.2;33.4;38.3;12.4;14.8;3
853;From 25 to 34 years;Latvia;Females;Tertiary education (levels 5-8);0.8;37.8;21.2;25.9;14.2;3
854;From 25 to 34 years;Latvia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;39.0;5.3;36.0;19.8;3
858;From 25 to 34 years;Latvia;Males;Less than primary, primary and lower secondary education (levels 0-2);4.1;37.9;23.1;24.6;10.4;3
859;From 25 to 34 years;Latvia;Males;Tertiary education (levels 5-8);1.7;39.2;30.8;19.3;9.0;3
860;From 25 to 34 years;Latvia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.6;50.9;26.2;14.2;7.1;3
865;From 25 to 34 years;Lithuania;Females;Tertiary education (levels 5-8);0.0;48.0;8.8;27.6;15.6;3
866;From 25 to 34 years;Lithuania;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;48.4;3.1;38.1;10.3;3
871;From 25 to 34 years;Lithuania;Males;Tertiary education (levels 5-8);1.6;60.6;16.8;14.4;6.5;3
872;From 25 to 34 years;Lithuania;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;52.8;30.7;10.4;6.1;3
878;From 25 to 34 years;Luxembourg;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;33.3;15.9;24.4;26.5;3
882;From 25 to 34 years;Luxembourg;Males;Less than primary, primary and lower secondary education (levels 0-2);21.0;37.8;19.9;4.4;16.9;3
889;From 25 to 34 years;Malta;Females;Tertiary education (levels 5-8);0.0;38.2;37.4;10.8;13.6;3
890;From 25 to 34 years;Malta;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.9;33.7;26.8;21.6;16.0;3
896;From 25 to 34 years;Malta;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;38.2;35.0;11.8;15.0;3
906;From 25 to 34 years;Norway;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;58.0;12.8;0.0;29.2;3
907;From 25 to 34 years;Norway;Females;Tertiary education (levels 5-8);0.0;60.9;24.6;0.0;14.4;3
908;From 25 to 34 years;Norway;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;67.9;15.2;0.0;16.9;3
912;From 25 to 34 years;Norway;Males;Less than primary, primary and lower secondary education (levels 0-2);1.2;62.9;17.3;0.0;18.5;3
913;From 25 to 34 years;Norway;Males;Tertiary education (levels 5-8);1.2;48.3;42.7;0.0;7.9;3
914;From 25 to 34 years;Norway;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.7;58.2;30.6;0.0;9.4;3
919;From 25 to 34 years;Poland;Females;Tertiary education (levels 5-8);0.1;35.3;15.9;25.9;22.8;3
924;From 25 to 34 years;Poland;Males;Less than primary, primary and lower secondary education (levels 0-2);5.4;37.4;29.7;10.4;17.0;3
925;From 25 to 34 years;Poland;Males;Tertiary education (levels 5-8);3.5;38.8;35.9;17.0;4.8;3
926;From 25 to 34 years;Poland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);3.0;39.3;31.6;18.1;8.0;3
931;From 25 to 34 years;Portugal;Females;Tertiary education (levels 5-8);0.9;33.0;16.5;22.7;26.9;3
949;From 25 to 34 years;Romania;Males;Tertiary education (levels 5-8);3.1;41.0;20.0;11.9;23.9;3
950;From 25 to 34 years;Romania;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);3.4;36.3;32.0;12.0;16.2;3
961;From 25 to 34 years;Slovakia;Females;Tertiary education (levels 5-8);0.0;35.0;11.0;29.0;25.0;3
966;From 25 to 34 years;Slovakia;Males;Less than primary, primary and lower secondary education (levels 0-2);8.6;32.3;32.2;10.7;16.2;3
967;From 25 to 34 years;Slovakia;Males;Tertiary education (levels 5-8);1.8;37.0;22.5;24.4;14.2;3
968;From 25 to 34 years;Slovakia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);3.2;41.5;26.0;15.8;13.5;3
973;From 25 to 34 years;Slovenia;Females;Tertiary education (levels 5-8);0.9;35.7;22.8;22.8;17.9;3
974;From 25 to 34 years;Slovenia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;34.0;14.9;28.5;22.6;3
985;From 25 to 34 years;Spain;Females;Tertiary education (levels 5-8);2.5;27.2;29.8;15.7;24.8;3
997;From 25 to 34 years;Sweden;Females;Tertiary education (levels 5-8);0.0;33.2;33.5;22.1;11.2;3
998;From 25 to 34 years;Sweden;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.6;32.0;20.7;25.9;20.8;3
1002;From 25 to 34 years;Sweden;Males;Less than primary, primary and lower secondary education (levels 0-2);1.8;34.6;21.7;10.9;31.1;3
1004;From 25 to 34 years;Sweden;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.8;41.3;34.4;16.0;7.5;3
1022;From 25 to 34 years;United Kingdom;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.0;25.8;31.0;25.3;16.9;3
1027;From 35 to 44 years;Austria;Females;Tertiary education (levels 5-8);1.9;38.5;30.4;17.1;12.1;3
1028;From 35 to 44 years;Austria;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.1;41.5;18.6;23.3;15.5;3
1051;From 35 to 44 years;Bulgaria;Females;Tertiary education (levels 5-8);4.7;39.2;16.6;15.7;23.8;3
1057;From 35 to 44 years;Bulgaria;Males;Tertiary education (levels 5-8);2.4;40.9;35.7;7.7;13.3;3
1081;From 35 to 44 years;Cyprus;Males;Tertiary education (levels 5-8);2.9;41.3;34.3;6.4;15.1;3
1082;From 35 to 44 years;Cyprus;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);4.6;34.7;29.0;10.0;21.6;3
1086;From 35 to 44 years;Czechia;Females;Less than primary, primary and lower secondary education (levels 0-2);1.5;36.4;25.9;15.0;21.2;3
1088;From 35 to 44 years;Czechia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.6;36.2;28.8;18.5;14.9;3
1099;From 35 to 44 years;Denmark;Females;Tertiary education (levels 5-8);0.8;37.3;36.9;16.7;8.4;3
1100;From 35 to 44 years;Denmark;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);3.0;30.3;25.8;28.8;12.1;3
1110;From 35 to 44 years;Estonia;Females;Less than primary, primary and lower secondary education (levels 0-2);2.4;24.5;18.3;37.3;17.5;3
1111;From 35 to 44 years;Estonia;Females;Tertiary education (levels 5-8);0.0;37.4;15.6;36.7;10.3;3
1112;From 35 to 44 years;Estonia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;37.8;15.4;36.2;10.6;3
1116;From 35 to 44 years;Estonia;Males;Less than primary, primary and lower secondary education (levels 0-2);7.1;29.3;31.7;13.2;18.6;3
1118;From 35 to 44 years;Estonia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);5.8;33.9;33.3;19.0;8.0;3
1123;From 35 to 44 years;Finland;Females;Tertiary education (levels 5-8);1.1;38.1;33.5;22.4;4.9;3
1124;From 35 to 44 years;Finland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);2.5;30.8;30.1;24.5;12.1;3
1136;From 35 to 44 years;Germany;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);3.1;31.0;31.1;21.7;13.1;3
1147;From 35 to 44 years;Greece;Females;Tertiary education (levels 5-8);2.3;35.9;26.8;15.2;19.7;3
1164;From 35 to 44 years;Hungary;Males;Less than primary, primary and lower secondary education (levels 0-2);15.3;31.1;19.0;20.7;13.8;3
1165;From 35 to 44 years;Hungary;Males;Tertiary education (levels 5-8);0.7;39.5;30.5;14.1;15.2;3
1166;From 35 to 44 years;Hungary;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);5.0;26.7;28.9;18.2;21.2;3
1171;From 35 to 44 years;Iceland;Females;Tertiary education (levels 5-8);0.8;47.5;18.1;26.5;7.1;3
1172;From 35 to 44 years;Iceland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;46.8;8.4;32.8;12.0;3
1176;From 35 to 44 years;Iceland;Males;Less than primary, primary and lower secondary education (levels 0-2);2.2;50.7;11.0;19.0;17.0;3
1177;From 35 to 44 years;Iceland;Males;Tertiary education (levels 5-8);0.0;40.0;33.1;14.9;12.0;3
1178;From 35 to 44 years;Iceland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.8;45.3;20.0;21.6;11.3;3
1182;From 35 to 44 years;Ireland;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;26.6;34.2;16.4;22.9;3
1184;From 35 to 44 years;Ireland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.3;29.3;36.7;19.7;14.0;3
1195;From 35 to 44 years;Latvia;Females;Tertiary education (levels 5-8);0.3;42.6;17.3;28.9;10.9;3
1196;From 35 to 44 years;Latvia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.9;37.0;11.9;37.9;12.3;3
1200;From 35 to 44 years;Latvia;Males;Less than primary, primary and lower secondary education (levels 0-2);9.3;41.7;19.6;11.3;18.1;3
1201;From 35 to 44 years;Latvia;Males;Tertiary education (levels 5-8);1.4;43.0;27.4;18.9;9.3;3
1202;From 35 to 44 years;Latvia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);2.9;42.5;26.9;15.8;11.8;3
1206;From 35 to 44 years;Lithuania;Females;Less than primary, primary and lower secondary education (levels 0-2);3.4;43.7;11.4;19.4;22.2;3
1207;From 35 to 44 years;Lithuania;Females;Tertiary education (levels 5-8);0.0;45.6;12.1;28.2;14.0;3
1208;From 35 to 44 years;Lithuania;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;54.8;5.3;26.3;13.5;3
1212;From 35 to 44 years;Lithuania;Males;Less than primary, primary and lower secondary education (levels 0-2);7.9;36.0;31.5;16.3;8.4;3
1213;From 35 to 44 years;Lithuania;Males;Tertiary education (levels 5-8);0.0;49.9;25.4;15.4;9.2;3
1214;From 35 to 44 years;Lithuania;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.4;45.3;32.2;13.1;8.0;3
1231;From 35 to 44 years;Malta;Females;Tertiary education (levels 5-8);0.0;28.8;31.7;16.9;22.6;3
1232;From 35 to 44 years;Malta;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);2.2;28.6;30.2;10.4;28.5;3
1236;From 35 to 44 years;Malta;Males;Less than primary, primary and lower secondary education (levels 0-2);8.9;27.6;30.5;15.4;17.6;3
1248;From 35 to 44 years;Norway;Females;Less than primary, primary and lower secondary education (levels 0-2);3.3;54.1;8.7;0.0;34.0;3
1249;From 35 to 44 years;Norway;Females;Tertiary education (levels 5-8);0.7;55.3;30.9;0.0;13.1;3
1250;From 35 to 44 years;Norway;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;60.0;20.0;0.0;20.0;3
1254;From 35 to 44 years;Norway;Males;Less than primary, primary and lower secondary education (levels 0-2);1.7;58.0;16.9;0.0;23.5;3
1256;From 35 to 44 years;Norway;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);2.2;59.9;29.2;0.0;8.7;3
1261;From 35 to 44 years;Poland;Females;Tertiary education (levels 5-8);0.1;36.4;18.7;29.4;15.3;3
1266;From 35 to 44 years;Poland;Males;Less than primary, primary and lower secondary education (levels 0-2);7.5;36.1;29.6;12.7;14.1;3
1267;From 35 to 44 years;Poland;Males;Tertiary education (levels 5-8);2.6;34.6;39.4;13.7;9.7;3
1268;From 35 to 44 years;Poland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);3.5;39.1;29.6;19.0;8.7;3
1291;From 35 to 44 years;Romania;Males;Tertiary education (levels 5-8);3.8;40.3;22.6;13.3;19.9;3
1292;From 35 to 44 years;Romania;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);7.5;35.0;32.3;9.4;15.8;3
1309;From 35 to 44 years;Slovakia;Males;Tertiary education (levels 5-8);2.3;39.5;29.6;18.5;10.1;3
