;age;geo;sex;deg_urb;Every day;Every month;Every week;Less than once a month;Never or not in the last 12 months;clusters
1675;From 45 to 54 years;Spain;Males;Rural areas;35.3;14.8;25.7;6.8;17.4;3
1676;From 45 to 54 years;Spain;Males;Towns and suburbs;32.5;16.9;27.0;7.4;16.2;3
1722;From 55 to 64 years;Belgium;Females;Cities;25.6;19.3;25.5;12.1;17.5;3
1723;From 55 to 64 years;Belgium;Females;Rural areas;19.2;21.5;31.2;9.4;18.8;3
1728;From 55 to 64 years;Belgium;Males;Cities;34.3;9.8;42.7;3.1;10.0;3
1729;From 55 to 64 years;Belgium;Males;Rural areas;30.4;17.7;34.5;2.5;14.9;3
1730;From 55 to 64 years;Belgium;Males;Towns and suburbs;26.4;9.4;50.9;7.6;5.7;3
1740;From 55 to 64 years;Bulgaria;Males;Cities;21.2;27.5;31.2;9.1;10.9;3
1741;From 55 to 64 years;Bulgaria;Males;Rural areas;26.1;15.4;31.3;8.4;18.8;3
1742;From 55 to 64 years;Bulgaria;Males;Towns and suburbs;24.5;17.7;23.9;9.7;24.3;3
1752;From 55 to 64 years;Croatia;Males;Cities;17.4;33.1;25.5;2.9;21.0;3
1753;From 55 to 64 years;Croatia;Males;Rural areas;29.2;16.3;19.3;8.9;26.3;3
1754;From 55 to 64 years;Croatia;Males;Towns and suburbs;26.7;14.5;24.2;6.2;28.5;3
1765;From 55 to 64 years;Cyprus;Males;Rural areas;20.9;20.4;18.8;12.9;27.0;3
1766;From 55 to 64 years;Cyprus;Males;Towns and suburbs;15.5;17.3;32.2;7.6;27.5;3
1776;From 55 to 64 years;Czechia;Males;Cities;28.7;19.9;37.2;3.5;10.8;3
1778;From 55 to 64 years;Czechia;Males;Towns and suburbs;29.6;13.0;47.6;3.5;6.2;3
1788;From 55 to 64 years;Denmark;Males;Cities;25.6;12.0;51.1;3.8;7.5;3
1837;From 55 to 64 years;Greece;Males;Rural areas;27.3;18.0;34.4;3.3;17.0;3
1849;From 55 to 64 years;Hungary;Males;Rural areas;25.2;15.2;27.0;15.4;17.2;3
1850;From 55 to 64 years;Hungary;Males;Towns and suburbs;19.7;16.0;31.6;15.9;16.7;3
1908;From 55 to 64 years;Luxembourg;Males;Cities;34.1;13.6;38.6;2.3;11.4;3
1921;From 55 to 64 years;Malta;Males;Rural areas;46.7;23.3;10.0;3.3;16.7;3
1922;From 55 to 64 years;Malta;Males;Towns and suburbs;24.0;15.7;34.0;9.9;16.3;3
1956;From 55 to 64 years;Portugal;Females;Cities;18.2;12.8;20.2;14.0;34.7;3
1962;From 55 to 64 years;Portugal;Males;Cities;59.3;7.1;20.8;3.7;9.1;3
1963;From 55 to 64 years;Portugal;Males;Rural areas;60.9;7.6;15.1;2.8;13.7;3
1964;From 55 to 64 years;Portugal;Males;Towns and suburbs;66.9;5.5;14.5;4.0;9.1;3
1993;From 55 to 64 years;Slovakia;Males;Rural areas;19.5;23.9;25.0;11.6;20.0;3
2005;From 55 to 64 years;Slovenia;Males;Rural areas;18.3;18.7;32.9;7.3;22.8;3
2012;From 55 to 64 years;Spain;Females;Towns and suburbs;16.0;15.1;21.2;10.2;37.4;3
2016;From 55 to 64 years;Spain;Males;Cities;37.3;14.0;22.6;7.4;18.8;3
2017;From 55 to 64 years;Spain;Males;Rural areas;44.7;11.1;16.7;6.2;21.2;3
2018;From 55 to 64 years;Spain;Males;Towns and suburbs;46.4;11.2;22.9;4.5;14.9;3
2058;From 65 to 74 years;Austria;Males;Cities;25.9;11.8;36.7;1.9;23.7;3
2059;From 65 to 74 years;Austria;Males;Rural areas;23.8;16.7;45.9;4.2;9.4;3
2060;From 65 to 74 years;Austria;Males;Towns and suburbs;25.1;23.6;35.8;4.5;11.0;3
2064;From 65 to 74 years;Belgium;Females;Cities;22.1;11.7;36.2;7.5;22.5;3
2065;From 65 to 74 years;Belgium;Females;Rural areas;10.8;15.3;30.5;10.7;32.7;3
2066;From 65 to 74 years;Belgium;Females;Towns and suburbs;13.3;22.0;25.6;12.4;26.7;3
2070;From 65 to 74 years;Belgium;Males;Cities;40.0;11.1;35.0;2.7;11.3;3
2071;From 65 to 74 years;Belgium;Males;Rural areas;31.9;9.6;31.5;14.8;12.0;3
2072;From 65 to 74 years;Belgium;Males;Towns and suburbs;28.4;12.3;39.4;8.2;11.7;3
2083;From 65 to 74 years;Bulgaria;Males;Rural areas;21.9;24.5;24.8;9.4;19.5;3
2084;From 65 to 74 years;Bulgaria;Males;Towns and suburbs;13.2;23.1;29.0;7.9;26.8;3
2094;From 65 to 74 years;Croatia;Males;Cities;16.7;17.8;28.9;7.6;29.0;3
2095;From 65 to 74 years;Croatia;Males;Rural areas;24.0;18.8;17.9;7.2;32.1;3
2096;From 65 to 74 years;Croatia;Males;Towns and suburbs;32.5;13.9;21.3;4.6;27.8;3
2106;From 65 to 74 years;Cyprus;Males;Cities;16.4;23.1;32.5;7.3;20.7;3
2107;From 65 to 74 years;Cyprus;Males;Rural areas;15.7;19.4;25.4;10.3;29.2;3
2118;From 65 to 74 years;Czechia;Males;Cities;22.1;17.6;39.5;10.0;10.8;3
2119;From 65 to 74 years;Czechia;Males;Rural areas;35.2;12.6;37.7;8.2;6.2;3
2120;From 65 to 74 years;Czechia;Males;Towns and suburbs;27.8;13.8;38.8;8.6;11.0;3
2124;From 65 to 74 years;Denmark;Females;Cities;28.9;18.9;38.9;6.7;6.7;3
2130;From 65 to 74 years;Denmark;Males;Cities;33.1;11.5;45.9;7.0;2.5;3
2131;From 65 to 74 years;Denmark;Males;Rural areas;38.3;10.3;43.7;3.3;4.3;3
2132;From 65 to 74 years;Denmark;Males;Towns and suburbs;38.0;7.4;47.1;5.0;2.5;3
2166;From 65 to 74 years;Germany;Males;Cities;23.9;13.4;44.9;5.8;11.9;3
2167;From 65 to 74 years;Germany;Males;Rural areas;23.5;15.8;46.6;6.0;8.0;3
2168;From 65 to 74 years;Germany;Males;Towns and suburbs;21.2;14.8;44.3;7.6;12.0;3
2178;From 65 to 74 years;Greece;Males;Cities;16.5;24.8;27.1;7.9;23.8;3
2179;From 65 to 74 years;Greece;Males;Rural areas;20.0;22.0;22.1;9.6;26.3;3
2180;From 65 to 74 years;Greece;Males;Towns and suburbs;18.6;17.4;28.6;15.4;20.0;3
2190;From 65 to 74 years;Hungary;Males;Cities;34.2;17.1;28.4;6.0;14.3;3
2191;From 65 to 74 years;Hungary;Males;Rural areas;32.8;16.2;17.4;9.1;24.5;3
2192;From 65 to 74 years;Hungary;Males;Towns and suburbs;21.2;18.5;29.0;10.8;20.6;3
2244;From 65 to 74 years;Luxembourg;Females;Cities;16.0;0.0;48.0;12.0;24.0;3
2246;From 65 to 74 years;Luxembourg;Females;Towns and suburbs;16.6;19.1;28.3;10.7;25.4;3
2250;From 65 to 74 years;Luxembourg;Males;Cities;32.0;12.0;52.0;0.0;4.0;3
2251;From 65 to 74 years;Luxembourg;Males;Rural areas;24.2;10.6;53.7;2.7;8.7;3
2252;From 65 to 74 years;Luxembourg;Males;Towns and suburbs;31.8;11.8;42.6;3.8;10.0;3
2263;From 65 to 74 years;Malta;Males;Rural areas;39.1;4.3;43.5;0.0;13.0;3
2264;From 65 to 74 years;Malta;Males;Towns and suburbs;25.8;12.1;33.4;7.0;21.7;3
2304;From 65 to 74 years;Portugal;Males;Cities;58.4;8.0;17.3;5.0;11.2;3
2305;From 65 to 74 years;Portugal;Males;Rural areas;64.1;4.1;11.9;2.7;17.1;3
2306;From 65 to 74 years;Portugal;Males;Towns and suburbs;57.1;10.2;12.6;4.8;15.3;3
2317;From 65 to 74 years;Romania;Males;Rural areas;13.7;24.6;28.2;5.6;27.9;3
2346;From 65 to 74 years;Slovenia;Males;Cities;23.6;17.8;41.0;6.1;11.6;3
2347;From 65 to 74 years;Slovenia;Males;Rural areas;20.2;14.3;32.4;4.4;28.7;3
2348;From 65 to 74 years;Slovenia;Males;Towns and suburbs;24.4;12.0;36.7;7.8;19.2;3
2358;From 65 to 74 years;Spain;Males;Cities;45.1;10.9;18.3;7.9;17.9;3
2359;From 65 to 74 years;Spain;Males;Rural areas;40.8;7.9;13.1;10.3;27.8;3
2360;From 65 to 74 years;Spain;Males;Towns and suburbs;48.8;11.1;14.8;5.6;19.6;3
2392;From 65 to 74 years;United Kingdom;Males;Rural areas;23.9;10.5;51.0;8.0;6.6;3
