;age;geo;sex;quant_inc;Frequent drinkers;Non-drinkers;Occasional drinkers;clusters
162;75 years or over;Finland;Females;Fourth quintile;28.9;31.5;39.5;2
163;75 years or over;Finland;Females;Second quintile;10.0;40.0;49.9;2
164;75 years or over;Finland;Females;Third quintile;21.3;38.2;40.599999999999994;2
165;75 years or over;Finland;Males;Fifth quintile;60.2;4.8;35.0;0
166;75 years or over;Finland;Males;First quintile;29.9;37.7;32.4;2
167;75 years or over;Finland;Males;Fourth quintile;48.1;25.8;26.2;0
168;75 years or over;Finland;Males;Second quintile;31.8;33.0;35.1;2
169;75 years or over;Finland;Males;Third quintile;46.0;23.5;30.5;0
180;75 years or over;Germany;Females;Fifth quintile;50.3;15.0;34.6;0
181;75 years or over;Germany;Females;First quintile;24.700000000000003;39.1;36.2;2
182;75 years or over;Germany;Females;Fourth quintile;40.1;27.2;32.7;0
183;75 years or over;Germany;Females;Second quintile;27.099999999999998;30.8;42.1;2
184;75 years or over;Germany;Females;Third quintile;32.0;26.1;41.9;2
190;75 years or over;Germany;Males;Fifth quintile;73.5;6.1;20.4;0
191;75 years or over;Germany;Males;First quintile;54.8;16.0;29.2;0
192;75 years or over;Germany;Males;Fourth quintile;71.6;5.8;22.599999999999998;0
193;75 years or over;Germany;Males;Second quintile;61.0;11.3;27.7;0
194;75 years or over;Germany;Males;Third quintile;62.5;12.6;24.900000000000002;0
200;75 years or over;Greece;Females;Fifth quintile;14.5;60.5;25.0;1
201;75 years or over;Greece;Females;First quintile;5.8;76.4;17.9;1
202;75 years or over;Greece;Females;Fourth quintile;7.1;66.7;26.1;1
203;75 years or over;Greece;Females;Second quintile;10.9;67.7;21.4;1
204;75 years or over;Greece;Females;Third quintile;7.9;75.6;16.5;1
210;75 years or over;Greece;Males;Fifth quintile;46.0;32.4;21.5;0
211;75 years or over;Greece;Males;First quintile;44.800000000000004;35.5;19.700000000000003;0
212;75 years or over;Greece;Males;Fourth quintile;45.3;29.6;25.1;0
213;75 years or over;Greece;Males;Second quintile;35.8;39.4;24.8;2
214;75 years or over;Greece;Males;Third quintile;35.7;31.9;32.3;2
221;75 years or over;Hungary;Females;First quintile;11.6;61.6;26.799999999999997;1
222;75 years or over;Hungary;Females;Fourth quintile;16.2;49.3;34.5;2
223;75 years or over;Hungary;Females;Second quintile;14.1;60.1;25.8;1
224;75 years or over;Hungary;Females;Third quintile;21.5;54.2;24.2;2
231;75 years or over;Hungary;Males;First quintile;41.2;32.1;26.6;0
232;75 years or over;Hungary;Males;Fourth quintile;65.7;14.9;19.3;0
233;75 years or over;Hungary;Males;Second quintile;42.8;31.4;25.8;0
234;75 years or over;Hungary;Males;Third quintile;40.6;39.8;19.6;2
241;75 years or over;Iceland;Females;First quintile;2.6;61.1;36.3;1
243;75 years or over;Iceland;Females;Second quintile;8.9;43.5;47.6;2
251;75 years or over;Iceland;Males;First quintile;18.3;41.2;40.5;2
253;75 years or over;Iceland;Males;Second quintile;12.8;44.0;43.2;2
254;75 years or over;Iceland;Males;Third quintile;22.8;21.2;56.0;3
260;75 years or over;Ireland;Females;Fifth quintile;26.1;49.0;24.8;2
261;75 years or over;Ireland;Females;First quintile;18.4;48.8;32.900000000000006;2
262;75 years or over;Ireland;Females;Fourth quintile;30.0;46.5;23.6;2
263;75 years or over;Ireland;Females;Second quintile;16.6;60.6;22.799999999999997;1
264;75 years or over;Ireland;Females;Third quintile;19.5;58.0;22.5;1
270;75 years or over;Ireland;Males;Fifth quintile;41.6;38.2;20.2;0
271;75 years or over;Ireland;Males;First quintile;42.6;35.1;22.3;0
272;75 years or over;Ireland;Males;Fourth quintile;45.4;36.7;18.0;0
273;75 years or over;Ireland;Males;Second quintile;41.0;36.7;22.4;0
274;75 years or over;Ireland;Males;Third quintile;40.2;42.8;17.0;2
281;75 years or over;Latvia;Females;First quintile;2.2;72.4;25.3;1
282;75 years or over;Latvia;Females;Fourth quintile;0.0;58.1;41.9;2
283;75 years or over;Latvia;Females;Second quintile;0.0;63.5;36.4;1
284;75 years or over;Latvia;Females;Third quintile;3.2;60.9;35.9;1
291;75 years or over;Latvia;Males;First quintile;17.2;43.3;39.5;2
292;75 years or over;Latvia;Males;Fourth quintile;11.6;39.3;49.0;2
293;75 years or over;Latvia;Males;Second quintile;8.0;41.3;50.8;2
294;75 years or over;Latvia;Males;Third quintile;7.800000000000001;35.6;56.7;2
301;75 years or over;Lithuania;Females;First quintile;0.0;65.2;34.8;1
302;75 years or over;Lithuania;Females;Fourth quintile;0.0;41.3;58.6;2
303;75 years or over;Lithuania;Females;Second quintile;0.0;77.6;22.400000000000002;1
304;75 years or over;Lithuania;Females;Third quintile;0.8;63.6;35.5;1
311;75 years or over;Lithuania;Males;First quintile;15.9;40.8;43.2;2
312;75 years or over;Lithuania;Males;Fourth quintile;7.7;45.6;46.8;2
313;75 years or over;Lithuania;Males;Second quintile;8.1;39.3;52.599999999999994;2
314;75 years or over;Lithuania;Males;Third quintile;16.099999999999998;35.6;48.3;2
323;75 years or over;Luxembourg;Females;Second quintile;43.8;42.3;13.8;0
330;75 years or over;Luxembourg;Males;Fifth quintile;90.2;4.9;4.9;0
332;75 years or over;Luxembourg;Males;Fourth quintile;81.1;12.9;6.0;0
334;75 years or over;Luxembourg;Males;Third quintile;73.4;8.5;18.1;0
341;75 years or over;Malta;Females;First quintile;6.2;64.0;29.7;1
343;75 years or over;Malta;Females;Second quintile;18.1;59.1;22.799999999999997;1
351;75 years or over;Malta;Males;First quintile;29.8;30.2;40.0;2
353;75 years or over;Malta;Males;Second quintile;31.1;27.6;41.2;2
371;75 years or over;Norway;Females;First quintile;11.899999999999999;56.8;31.3;2
372;75 years or over;Norway;Females;Fourth quintile;53.5;14.7;31.7;0
373;75 years or over;Norway;Females;Second quintile;18.6;49.2;32.2;2
374;75 years or over;Norway;Females;Third quintile;25.9;37.1;37.0;2
381;75 years or over;Norway;Males;First quintile;21.0;46.8;32.2;2
382;75 years or over;Norway;Males;Fourth quintile;54.6;14.0;31.4;0
383;75 years or over;Norway;Males;Second quintile;24.5;41.7;33.8;2
384;75 years or over;Norway;Males;Third quintile;46.8;34.3;18.9;0
390;75 years or over;Poland;Females;Fifth quintile;4.6;60.2;35.1;1
391;75 years or over;Poland;Females;First quintile;1.5;85.3;13.3;1
392;75 years or over;Poland;Females;Fourth quintile;5.1;62.4;32.5;1
393;75 years or over;Poland;Females;Second quintile;0.4;80.7;18.9;1
394;75 years or over;Poland;Females;Third quintile;2.6;71.1;26.3;1
400;75 years or over;Poland;Males;Fifth quintile;20.099999999999998;30.4;49.4;2
401;75 years or over;Poland;Males;First quintile;18.1;38.3;43.5;2
402;75 years or over;Poland;Males;Fourth quintile;8.3;45.1;46.6;2
403;75 years or over;Poland;Males;Second quintile;7.1;52.0;40.8;2
404;75 years or over;Poland;Males;Third quintile;10.799999999999999;44.8;44.3;2
410;75 years or over;Portugal;Females;Fifth quintile;39.3;35.7;25.0;2
411;75 years or over;Portugal;Females;First quintile;21.6;67.6;10.8;1
412;75 years or over;Portugal;Females;Fourth quintile;32.7;51.1;16.2;2
413;75 years or over;Portugal;Females;Second quintile;22.2;65.3;12.4;1
414;75 years or over;Portugal;Females;Third quintile;22.2;66.5;11.3;1
420;75 years or over;Portugal;Males;Fifth quintile;68.5;16.1;15.4;0
421;75 years or over;Portugal;Males;First quintile;53.8;39.0;7.3;0
422;75 years or over;Portugal;Males;Fourth quintile;74.6;17.9;7.5;0
423;75 years or over;Portugal;Males;Second quintile;63.5;28.5;8.0;0
424;75 years or over;Portugal;Males;Third quintile;75.6;15.5;8.9;0
430;75 years or over;Romania;Females;Fifth quintile;1.1;72.5;26.4;1
431;75 years or over;Romania;Females;First quintile;5.3;76.2;18.5;1
432;75 years or over;Romania;Females;Fourth quintile;2.9;77.9;19.2;1
433;75 years or over;Romania;Females;Second quintile;3.9000000000000004;76.5;19.7;1
434;75 years or over;Romania;Females;Third quintile;2.4;81.9;15.7;1
440;75 years or over;Romania;Males;Fifth quintile;9.8;53.6;36.7;2
441;75 years or over;Romania;Males;First quintile;24.6;37.6;37.8;2
442;75 years or over;Romania;Males;Fourth quintile;19.700000000000003;42.4;37.8;2
443;75 years or over;Romania;Males;Second quintile;20.1;46.8;33.2;2
444;75 years or over;Romania;Males;Third quintile;15.8;52.6;31.5;2
461;75 years or over;Slovakia;Females;First quintile;0.0;91.2;8.8;1
462;75 years or over;Slovakia;Females;Fourth quintile;7.6;58.2;34.099999999999994;2
463;75 years or over;Slovakia;Females;Second quintile;1.7;76.4;21.9;1
464;75 years or over;Slovakia;Females;Third quintile;4.7;58.2;37.2;2
472;75 years or over;Slovakia;Males;Fourth quintile;18.1;45.1;36.8;2
473;75 years or over;Slovakia;Males;Second quintile;16.4;41.3;42.400000000000006;2
474;75 years or over;Slovakia;Males;Third quintile;24.1;29.2;46.8;2
481;75 years or over;Slovenia;Females;First quintile;21.6;42.1;36.3;2
482;75 years or over;Slovenia;Females;Fourth quintile;20.599999999999998;45.8;33.6;2
483;75 years or over;Slovenia;Females;Second quintile;22.200000000000003;37.5;40.3;2
484;75 years or over;Slovenia;Females;Third quintile;28.8;38.1;33.099999999999994;2
491;75 years or over;Slovenia;Males;First quintile;50.7;20.1;29.200000000000003;0
492;75 years or over;Slovenia;Males;Fourth quintile;66.2;13.1;20.7;0
493;75 years or over;Slovenia;Males;Second quintile;55.599999999999994;22.9;21.6;0
494;75 years or over;Slovenia;Males;Third quintile;70.0;13.2;16.8;0
500;75 years or over;Spain;Females;Fifth quintile;25.900000000000002;55.7;18.3;1
501;75 years or over;Spain;Females;First quintile;10.1;75.0;15.0;1
502;75 years or over;Spain;Females;Fourth quintile;24.0;55.3;20.799999999999997;2
503;75 years or over;Spain;Females;Second quintile;11.5;74.6;14.0;1
504;75 years or over;Spain;Females;Third quintile;14.9;64.4;20.700000000000003;1
510;75 years or over;Spain;Males;Fifth quintile;58.0;27.7;14.4;0
511;75 years or over;Spain;Males;First quintile;35.8;51.0;13.200000000000001;2
512;75 years or over;Spain;Males;Fourth quintile;59.7;22.1;18.2;0
513;75 years or over;Spain;Males;Second quintile;44.2;38.0;17.9;0
514;75 years or over;Spain;Males;Third quintile;53.3;33.3;13.399999999999999;0
521;75 years or over;Sweden;Females;First quintile;26.1;54.2;19.8;2
523;75 years or over;Sweden;Females;Second quintile;27.099999999999998;36.9;36.0;2
524;75 years or over;Sweden;Females;Third quintile;17.7;21.5;60.7;3
530;75 years or over;Sweden;Males;Fifth quintile;72.9;0.0;27.1;0
533;75 years or over;Sweden;Males;Second quintile;36.2;33.2;30.6;2
534;75 years or over;Sweden;Males;Third quintile;53.9;19.3;26.7;0
540;75 years or over;Türkiye;Females;Fifth quintile;0.0;100.0;0.0;1
541;75 years or over;Türkiye;Females;First quintile;0.0;100.0;0.0;1
542;75 years or over;Türkiye;Females;Fourth quintile;0.0;96.6;3.4;1
543;75 years or over;Türkiye;Females;Second quintile;0.0;99.0;1.0;1
544;75 years or over;Türkiye;Females;Third quintile;0.0;100.0;0.0;1
550;75 years or over;Türkiye;Males;Fifth quintile;4.0;92.8;3.2;1
551;75 years or over;Türkiye;Males;First quintile;1.2;95.5;3.3;1
552;75 years or over;Türkiye;Males;Fourth quintile;1.9;93.2;4.8;1
553;75 years or over;Türkiye;Males;Second quintile;0.0;97.2;2.9;1
554;75 years or over;Türkiye;Males;Third quintile;0.0;96.9;3.2;1
560;75 years or over;United Kingdom;Females;Fifth quintile;60.5;14.8;24.700000000000003;0
561;75 years or over;United Kingdom;Females;First quintile;26.599999999999998;41.9;31.5;2
562;75 years or over;United Kingdom;Females;Fourth quintile;48.0;27.0;25.0;0
563;75 years or over;United Kingdom;Females;Second quintile;36.5;35.0;28.5;2
564;75 years or over;United Kingdom;Females;Third quintile;36.1;27.7;36.099999999999994;2
565;75 years or over;United Kingdom;Males;Fifth quintile;80.0;8.5;11.6;0
566;75 years or over;United Kingdom;Males;First quintile;41.2;28.0;30.8;0
567;75 years or over;United Kingdom;Males;Fourth quintile;67.80000000000001;13.0;19.200000000000003;0
568;75 years or over;United Kingdom;Males;Second quintile;51.2;22.0;26.8;0
569;75 years or over;United Kingdom;Males;Third quintile;64.2;17.5;18.4;0
570;From 15 to 24 years;Austria;Females;Fifth quintile;21.3;13.9;64.8;3
571;From 15 to 24 years;Austria;Females;First quintile;22.4;23.6;53.9;3
572;From 15 to 24 years;Austria;Females;Fourth quintile;16.4;17.0;66.6;3
573;From 15 to 24 years;Austria;Females;Second quintile;17.8;13.2;69.1;3
574;From 15 to 24 years;Austria;Females;Third quintile;25.2;12.4;62.5;3
580;From 15 to 24 years;Austria;Males;Fifth quintile;36.699999999999996;15.3;48.0;3
581;From 15 to 24 years;Austria;Males;First quintile;33.5;15.9;50.699999999999996;3
582;From 15 to 24 years;Austria;Males;Fourth quintile;51.5;3.6;44.9;0
583;From 15 to 24 years;Austria;Males;Second quintile;28.7;22.8;48.5;3
584;From 15 to 24 years;Austria;Males;Third quintile;39.599999999999994;17.3;43.1;0
590;From 15 to 24 years;Belgium;Females;Fifth quintile;30.9;12.9;56.3;3
591;From 15 to 24 years;Belgium;Females;First quintile;34.3;34.2;31.5;2
592;From 15 to 24 years;Belgium;Females;Fourth quintile;47.1;14.6;38.3;0
593;From 15 to 24 years;Belgium;Females;Second quintile;17.4;40.0;42.599999999999994;2
594;From 15 to 24 years;Belgium;Females;Third quintile;27.8;26.0;46.2;3
600;From 15 to 24 years;Belgium;Males;Fifth quintile;45.400000000000006;14.5;40.099999999999994;0
601;From 15 to 24 years;Belgium;Males;First quintile;32.2;46.6;21.2;2
602;From 15 to 24 years;Belgium;Males;Fourth quintile;48.5;15.4;36.0;0
603;From 15 to 24 years;Belgium;Males;Second quintile;60.0;15.2;24.799999999999997;0
604;From 15 to 24 years;Belgium;Males;Third quintile;54.4;22.0;23.6;0
610;From 15 to 24 years;Bulgaria;Females;Fifth quintile;14.6;47.2;38.3;2
611;From 15 to 24 years;Bulgaria;Females;First quintile;7.3;51.9;40.8;2
612;From 15 to 24 years;Bulgaria;Females;Fourth quintile;6.8;57.2;36.0;2
613;From 15 to 24 years;Bulgaria;Females;Second quintile;3.7;66.3;30.0;1
614;From 15 to 24 years;Bulgaria;Females;Third quintile;1.7;66.0;32.3;1
620;From 15 to 24 years;Bulgaria;Males;Fifth quintile;11.5;49.5;38.9;2
621;From 15 to 24 years;Bulgaria;Males;First quintile;29.400000000000002;50.9;19.7;2
622;From 15 to 24 years;Bulgaria;Males;Fourth quintile;19.5;37.3;43.3;2
623;From 15 to 24 years;Bulgaria;Males;Second quintile;17.5;46.2;36.2;2
624;From 15 to 24 years;Bulgaria;Males;Third quintile;25.7;45.5;28.9;2
630;From 15 to 24 years;Croatia;Females;Fifth quintile;7.4;28.6;64.0;3
631;From 15 to 24 years;Croatia;Females;First quintile;5.7;51.0;43.3;2
632;From 15 to 24 years;Croatia;Females;Fourth quintile;1.7;59.8;38.599999999999994;1
633;From 15 to 24 years;Croatia;Females;Second quintile;2.7;41.5;55.9;2
634;From 15 to 24 years;Croatia;Females;Third quintile;2.7;58.5;38.9;2
640;From 15 to 24 years;Croatia;Males;Fifth quintile;21.0;31.4;47.6;2
641;From 15 to 24 years;Croatia;Males;First quintile;9.6;40.7;49.7;2
642;From 15 to 24 years;Croatia;Males;Fourth quintile;17.7;34.0;48.4;2
643;From 15 to 24 years;Croatia;Males;Second quintile;3.3;24.8;71.9;3
644;From 15 to 24 years;Croatia;Males;Third quintile;15.2;48.4;36.4;2
650;From 15 to 24 years;Cyprus;Females;Fifth quintile;11.7;63.1;25.1;1
651;From 15 to 24 years;Cyprus;Females;First quintile;9.4;67.1;23.5;1
652;From 15 to 24 years;Cyprus;Females;Fourth quintile;5.3;66.9;27.7;1
653;From 15 to 24 years;Cyprus;Females;Second quintile;1.6;73.7;24.7;1
654;From 15 to 24 years;Cyprus;Females;Third quintile;13.6;60.7;25.6;1
660;From 15 to 24 years;Cyprus;Males;Fifth quintile;35.4;34.6;29.9;2
661;From 15 to 24 years;Cyprus;Males;First quintile;10.200000000000001;41.1;48.8;2
662;From 15 to 24 years;Cyprus;Males;Fourth quintile;19.8;31.6;48.599999999999994;2
663;From 15 to 24 years;Cyprus;Males;Second quintile;16.900000000000002;37.2;45.9;2
664;From 15 to 24 years;Cyprus;Males;Third quintile;16.7;49.5;33.8;2
670;From 15 to 24 years;Czechia;Females;Fifth quintile;17.8;8.2;74.0;3
671;From 15 to 24 years;Czechia;Females;First quintile;12.9;25.1;62.099999999999994;3
672;From 15 to 24 years;Czechia;Females;Fourth quintile;28.9;19.7;51.5;3
673;From 15 to 24 years;Czechia;Females;Second quintile;23.6;29.6;46.8;2
674;From 15 to 24 years;Czechia;Females;Third quintile;32.0;12.6;55.300000000000004;3
680;From 15 to 24 years;Czechia;Males;Fifth quintile;68.5;20.4;11.1;0
681;From 15 to 24 years;Czechia;Males;First quintile;39.3;16.0;44.8;3
682;From 15 to 24 years;Czechia;Males;Fourth quintile;57.0;10.3;32.7;0
683;From 15 to 24 years;Czechia;Males;Second quintile;23.7;16.5;59.8;3
684;From 15 to 24 years;Czechia;Males;Third quintile;45.800000000000004;14.9;39.3;0
690;From 15 to 24 years;Denmark;Females;Fifth quintile;27.5;11.8;60.8;3
691;From 15 to 24 years;Denmark;Females;First quintile;26.3;1.3;72.5;3
692;From 15 to 24 years;Denmark;Females;Fourth quintile;18.6;14.0;67.5;3
693;From 15 to 24 years;Denmark;Females;Second quintile;19.5;9.8;70.8;3
694;From 15 to 24 years;Denmark;Females;Third quintile;18.2;6.1;75.8;3
700;From 15 to 24 years;Denmark;Males;Fifth quintile;47.900000000000006;8.7;43.5;0
701;From 15 to 24 years;Denmark;Males;First quintile;35.5;15.6;48.9;3
702;From 15 to 24 years;Denmark;Males;Fourth quintile;32.2;9.7;58.1;3
703;From 15 to 24 years;Denmark;Males;Second quintile;28.6;14.3;57.1;3
704;From 15 to 24 years;Denmark;Males;Third quintile;23.3;20.0;56.7;3
710;From 15 to 24 years;Estonia;Females;Fifth quintile;19.2;22.9;57.9;3
711;From 15 to 24 years;Estonia;Females;First quintile;7.8;35.3;57.0;2
712;From 15 to 24 years;Estonia;Females;Fourth quintile;5.3;21.5;73.2;3
713;From 15 to 24 years;Estonia;Females;Second quintile;11.0;25.4;63.6;3
714;From 15 to 24 years;Estonia;Females;Third quintile;14.8;27.6;57.6;3
720;From 15 to 24 years;Estonia;Males;Fifth quintile;18.1;12.0;70.0;3
721;From 15 to 24 years;Estonia;Males;First quintile;17.9;35.8;46.2;2
722;From 15 to 24 years;Estonia;Males;Fourth quintile;23.4;26.8;49.7;3
723;From 15 to 24 years;Estonia;Males;Second quintile;14.9;27.5;57.7;3
724;From 15 to 24 years;Estonia;Males;Third quintile;26.3;22.9;50.800000000000004;3
730;From 15 to 24 years;Finland;Females;Fifth quintile;22.7;13.5;63.7;3
731;From 15 to 24 years;Finland;Females;First quintile;24.2;22.3;53.5;3
732;From 15 to 24 years;Finland;Females;Fourth quintile;10.6;26.5;63.0;3
733;From 15 to 24 years;Finland;Females;Second quintile;20.7;21.3;58.0;3
734;From 15 to 24 years;Finland;Females;Third quintile;10.3;23.6;66.1;3
735;From 15 to 24 years;Finland;Males;Fifth quintile;34.0;13.3;52.6;3
736;From 15 to 24 years;Finland;Males;First quintile;36.9;21.8;41.300000000000004;0
737;From 15 to 24 years;Finland;Males;Fourth quintile;18.1;27.8;54.099999999999994;3
738;From 15 to 24 years;Finland;Males;Second quintile;22.5;18.0;59.5;3
739;From 15 to 24 years;Finland;Males;Third quintile;19.3;21.2;59.5;3
750;From 15 to 24 years;Germany;Females;Fifth quintile;25.8;17.6;56.599999999999994;3
751;From 15 to 24 years;Germany;Females;First quintile;26.8;17.7;55.6;3
752;From 15 to 24 years;Germany;Females;Fourth quintile;26.8;16.6;56.599999999999994;3
753;From 15 to 24 years;Germany;Females;Second quintile;27.8;17.4;54.699999999999996;3
754;From 15 to 24 years;Germany;Females;Third quintile;25.7;13.2;61.0;3
760;From 15 to 24 years;Germany;Males;Fifth quintile;44.2;18.3;37.5;0
761;From 15 to 24 years;Germany;Males;First quintile;38.699999999999996;17.1;44.2;3
762;From 15 to 24 years;Germany;Males;Fourth quintile;45.199999999999996;14.3;40.5;0
763;From 15 to 24 years;Germany;Males;Second quintile;38.2;15.5;46.3;3
764;From 15 to 24 years;Germany;Males;Third quintile;40.0;13.9;46.1;3
770;From 15 to 24 years;Greece;Females;Fifth quintile;23.7;31.1;45.1;2
771;From 15 to 24 years;Greece;Females;First quintile;20.1;38.1;41.8;2
772;From 15 to 24 years;Greece;Females;Fourth quintile;21.3;30.9;47.8;2
773;From 15 to 24 years;Greece;Females;Second quintile;28.2;24.0;47.7;3
774;From 15 to 24 years;Greece;Females;Third quintile;43.3;26.8;30.0;0
780;From 15 to 24 years;Greece;Males;Fifth quintile;44.3;24.4;31.3;0
781;From 15 to 24 years;Greece;Males;First quintile;28.3;23.1;48.6;3
782;From 15 to 24 years;Greece;Males;Fourth quintile;39.1;29.5;31.4;0
783;From 15 to 24 years;Greece;Males;Second quintile;25.0;18.6;56.4;3
784;From 15 to 24 years;Greece;Males;Third quintile;42.2;14.7;43.2;0
790;From 15 to 24 years;Hungary;Females;Fifth quintile;11.9;27.1;61.0;3
791;From 15 to 24 years;Hungary;Females;First quintile;4.6;50.3;45.1;2
792;From 15 to 24 years;Hungary;Females;Fourth quintile;1.9;37.8;60.3;2
793;From 15 to 24 years;Hungary;Females;Second quintile;1.7;54.4;44.0;2
794;From 15 to 24 years;Hungary;Females;Third quintile;7.7;33.4;58.900000000000006;2
800;From 15 to 24 years;Hungary;Males;Fifth quintile;30.7;15.1;54.199999999999996;3
801;From 15 to 24 years;Hungary;Males;First quintile;19.0;18.9;62.099999999999994;3
802;From 15 to 24 years;Hungary;Males;Fourth quintile;19.299999999999997;23.0;57.7;3
803;From 15 to 24 years;Hungary;Males;Second quintile;15.3;26.5;58.1;3
804;From 15 to 24 years;Hungary;Males;Third quintile;21.0;25.1;53.9;3
810;From 15 to 24 years;Iceland;Females;Fifth quintile;7.1;34.4;58.5;2
811;From 15 to 24 years;Iceland;Females;First quintile;7.0;29.0;64.0;3
812;From 15 to 24 years;Iceland;Females;Fourth quintile;12.5;29.0;58.5;3
813;From 15 to 24 years;Iceland;Females;Second quintile;5.9;30.8;63.3;3
814;From 15 to 24 years;Iceland;Females;Third quintile;6.5;33.1;60.400000000000006;3
820;From 15 to 24 years;Iceland;Males;Fifth quintile;9.3;27.2;63.6;3
821;From 15 to 24 years;Iceland;Males;First quintile;12.8;47.1;40.2;2
